location,estimate
mongolia,105735.39333524555
guatemala,107664.68720657006
cyprus,117639.45073450357
panama,113559.46214440092
malawi,132504.8568250984
cambodia,103294.41393343732
honduras,107644.64807062969
aruba,115720.49032326415
uganda,139050.48965140805
oman,38658.929633937776
jamaica,122163.28864822909
guadeloupe,134909.30605524406
serbia,112623.78226178512
liberia,118661.38931171969
french guiana,128864.67295074835
japan,123907.19661193714
spain,114559.68823864311
kyrgyzstan,112301.47213074192
india,96027.11697259173
costa rica,107604.69420232996
china,102473.97849459946
south sudan,105692.25493542477
zambia,124431.00066116825
papua new guinea,99558.44743099064
togo,125468.31220870093
comoros,108254.91990977526
chile,102172.09853169322
el salvador,107152.09324191883
namibia,122468.03685257584
south korea,115769.02215417102
peru,107580.3493883796
ethiopia,124644.88882134482
republic of moldova,110918.45168972388
germany,132948.50955977663
afghanistan,83675.73194152862
azerbaijan,88845.31537801772
israel,128001.24367821962
estonia,128610.41855213419
ghana,138556.10868292674
guyana,114938.63116664067
mayotte,130525.72793726996
portugal,114976.22354982048
albania,106720.14883532748
zimbabwe,137542.29224593565
gabon,124459.53520427644
belgium,128712.67652772367
croatia,112921.81147045642
guinea,106704.03532088175
lesotho,133243.32321804762
iraq,76384.39765923098
tajikistan,93426.3422857821
belarus,123759.90220046416
nicaragua,95930.15699634328
venezuela,101820.46356835589
nigeria,125590.5991316624
angola,133723.10768615082
bangladesh,99282.82055342942
romania,111916.17821922898
france,134445.0043899715
malaysia,91145.42543920502
mozambique,137668.14334940165
morocco,84995.72173005715
kazakhstan,118453.537303444
finland,135829.03038335964
nepal,109680.88636210188
new zealand,124515.97963434085
moldova,110945.1308937706
niger,125441.22147106379
armenia,104344.34764552489
puerto rico,119063.02735244855
pakistan,80543.27783854306
lithuania,126824.94414727762
vietnam,103485.56598992646
kenya,139469.66168209538
bahamas,110995.12425614148
fiji,99824.62396082282
gambia,84923.25823704526
central african republic,128579.26833572984
congo,130470.45129363239
benin,117999.91411656514
latvia,120907.63957140595
samoa,85283.70459230244
senegal,77451.02441010624
burundi,130339.98643838987
usa,127862.67127562314
indonesia,108377.8363302648
uruguay,124096.98022314534
korea,115743.74879438058
chad,120441.04549983889
united republic of tanzania,126763.54469132051
uzbekistan,87515.60377920046
bulgaria,124596.23846389353
italy,121398.31746470183
hungary,117568.13305357099
philippines,109776.60667607933
sierra leone,104239.08570720628
paraguay,100417.41362229735
czechia,124364.98098430037
brazil,111158.34075621516
argentina,119267.02732383832
seychelles,104029.13937845826
canada,123977.29165724665
australia,127165.85670776665
yemen,91091.23233063146
slovenia,121547.8709326312
haiti,113664.46181955934
mexico,111350.24228820577
trinidad and tobago,109014.76534418389
state of palestine,105381.49594542384
poland,112714.59850833192
maldives,67627.47890907153
sudan,107838.90495618433
dominican republic,120061.88934670389
united kingdom,132248.81602707133
martinique,131400.93890561536
turkey,100794.23461126909
malta,111484.71118084714
rwanda,128110.77266139165
russian federation,122854.75628645718
russia,122798.51245184615
sao tome and principe,142281.20569503307
réunion,131007.96329091862
austria,126767.85623150319
burkina faso,112684.17051328346
cameroon,121247.22887465358
ukraine,122268.8734222129
burkina,112713.08735261112
singapore,95861.60217682645
georgia,108246.04584413022
montenegro,108591.50982301682
madagascar,118125.8991824314
switzerland,129041.32093303278
jordan,106284.96895736828
bolivia,125091.1009221077
netherlands,131162.47654023767
colombia,109700.19964235276
iran,111739.00708433986
slovakia,113107.17864012718
mali,120366.325160373
mauritius,101459.17362855747
luxembourg,123928.20211903378
timor-leste,108088.88945259154
thailand,95111.00782231987
myanmar,101350.63245585561
republic of korea,115774.72251173481
botswana,130069.63407776132
cuba,106398.79733953252
ireland,123238.56722759455
norway,133276.38560853899
egypt,117651.53598266467
tanzania,126756.02347442135
palestine,105320.08979934454
suriname,108386.73476935178
ecuador,113586.29646033049
south africa,123605.10009725764
greece,121242.67531924695
