,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
0,9,22196.88099633239,0.1996218344934114,0.5306506930505286,1.0387097322348744e-12,0.3735318444995864,4.503088984528589e-12
13000,9,16826.765437296588,0.1845016352186134,0.2177869798169777,0.0063114811241167,0.1578163771712158,0.0034571818299067
12500,9,19563.362570479392,0.204597853613846,0.8023833983973699,2.3999511029418173e-36,0.6256410256410256,4.564621670972412e-31
12000,9,19045.27914546589,0.224399197183305,-0.1567890502757977,0.050624221248175,-0.1288668320926385,0.0169627567714419
11500,9,24276.027361453693,0.2189391549603044,-0.1562990943718291,0.0513591115009398,-0.1136476426799007,0.0352436085925295
11000,9,15483.164447192752,0.1566504850082186,0.8497068167090767,1.170544613036689e-44,0.6691480562448304,2.7028910531032175e-35
10500,9,38161.78473378524,0.4176920832536913,0.1439237565393308,0.073053865711178,0.0931348221670802,0.0844360444934737
10000,9,15653.591517872414,0.1849529930470486,0.155107395173144,0.0531835254379024,0.103556658395368,0.0550358921482353
9500,9,29399.53465812675,0.3023326841264742,0.3024197499644386,0.0001245024531537,0.2102564102564102,9.80296951185009e-05
9000,9,9990.89149770694,0.0985963180222227,0.8775331510486635,5.0939878617321416e-51,0.6990901571546733,2.288113697564637e-38
8500,9,33884.16523274675,0.3613844613788359,0.22392565314283,0.0049524204055791,0.1487179487179487,0.0058639174054387
500,9,16145.103341200022,0.178224106054418,0.1576456828562848,0.0493603136023027,0.1148056244830438,0.0334199003201143
14500,9,15581.295644701862,0.1877498520749569,0.6793254413554393,1.8817315620001372e-22,0.5156327543424318,1.2584697513453265e-21
7500,9,27583.17726253476,0.3365542381406224,-0.4140538319293199,7.740779970115594e-08,-0.2946236559139785,4.802053465577836e-08
7000,9,16828.75388088684,0.2163427117102191,0.772562469377756,3.454488388592174e-32,0.5685690653432589,6.030242189401311e-26
6500,9,25934.664824214884,0.2485134967647498,0.3666008123784988,2.514578656783373e-06,0.2698097601323408,5.769967039524122e-07
6000,9,15923.716551065529,0.1884713382034985,0.7259439553665976,8.105784639428972e-27,0.5488833746898263,2.7226134719747288e-24
5500,9,16737.35627783829,0.152772491032031,0.6387855415593241,2.9126461733910003e-19,0.4931348221670802,6.462441680254586e-20
5000,9,3591.4444607228465,0.0356486360500035,0.9728532819143048,8.665692939168833e-100,0.864185277088503,1.0750856476446196e-57
4500,9,22585.16758540948,0.2149305642111834,0.0725766939040002,0.3679178931087683,0.0418527708850289,0.4380999671487442
4000,9,20183.31440604692,0.2487704791510729,-0.8833083087038295,1.5545552236292477e-52,-0.7081885856079405,2.5094015749812464e-39
3500,9,24203.511826219743,0.2233166174809657,0.2151096078772265,0.0070018732083287,0.1465674110835401,0.0066185294480314
3000,9,22762.97653412008,0.2036603138332244,0.4668710783771395,8.073529353662082e-10,0.3435897435897436,1.944233962524979e-10
2500,9,13760.05989274516,0.134647795640604,0.730562184887231,2.6738765190539446e-27,0.5330024813895782,5.347053281319882e-23
1000,9,11451.555997155629,0.10227523978317,0.7348516698013307,9.349330063235902e-28,0.5619520264681556,2.202463631508595e-25
2000,9,13502.234799439046,0.1555892503446446,0.8759905802026204,1.2557568833555072e-50,0.6866832092638544,4.453175933077254e-37
13500,9,25929.793739086825,0.2354659066704227,0.4169619572948111,6.141325437200033e-08,0.3159636062861869,4.8031227429127234e-09
14000,9,7086.557743255311,0.0625247363386464,0.986404513916328,1.0862999123671872e-122,0.906038047973532,3.0817873936500965e-63
8000,9,40766.45169140705,0.4977984160542997,-0.4450885871884433,5.827717715437981e-09,-0.3530190239867659,6.136332164928486e-11
1500,9,41761.563176444455,0.3627664329359732,0.1057135180414407,0.1890394848953766,0.0650124069478908,0.2284025798141914
2001,19,7538.882981704779,0.0648293268054277,0.91178581024482,2.110087781746646e-61,0.7584780810587263,7.455869677821146e-45
13501,19,16381.13600300965,0.1682264693949486,0.6976877242338511,4.519310100124275e-24,0.5328370554177007,5.513008045777542e-23
13001,19,9839.178028278857,0.1054034684497713,0.829824090025446,7.44577868512245e-41,0.6524400330851944,1.2260227440672509e-33
