,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
3151,3151,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,767206.0,1882.0,800022,27.628,0.01401,3.425,19.994,16.004,20.001,1648628,3288302,3880233,10000480,18817643,1648628,3288302,10000480,3880233,0.8131263
3278,3278,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,929055.0,8539.0,321905,42.475,0.02563,2.163,19.98,16.001,19.998,904378,1605368,4699451,9999047,17208244,904378,1605368,9999047,4699451,0.99239075
1349,1349,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,940717.0,1534.0,529022,25.611,0.03657,3.244,19.994,16.001,20.003,1548484,3309919,3759792,10001310,18619505,1548484,3309919,10001310,3759792,0.7772245
1382,1382,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,961214.0,10318.0,428784,44.014,0.0351,2.151,20.0,15.998,19.993,896418,1604561,4555349,9996594,17052922,896418,1604561,9996594,4555349,1.006225
59,59,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954830.0,2441.0,847372,26.772,0.03523,3.896,20.004,16.003,19.996,1904785,3442673,3745384,9997932,19090774,1904785,3442673,9997932,3745384,0.8044683
1862,1862,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,916856.0,3522.0,623685,32.292,0.02769,2.725,20.003,16.0,20.0,1250464,2541463,4305388,10000127,18097442,1250464,2541463,10000127,4305388,0.85606724
1617,1617,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,820353.0,3205.0,93283,32.258,0.01502,3.458,20.0,16.005,19.999,1667546,2820484,4199862,9999663,18687555,1667546,2820484,9999663,4199862,0.8626004
4287,4287,thailand,1000000,1000,2020-01-01,2020-12-31,hybrid,969463.0,5915.0,773620,39.621,0.03527,2.892,19.996,15.995,20.005,1348533,1924114,4848017,10002372,18123036,1348533,1924114,10002372,4848017,0.954628
1915,1915,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,911211.0,9731.0,825634,43.426,0.02619,1.631,20.013,15.997,19.995,536423,1755317,4300825,9997678,16590243,536423,1755317,9997678,4300825,1.0023388
763,763,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,958996.0,1359.0,399995,24.505,0.03826,4.427,19.995,15.993,20.006,2185104,3633828,3502089,10003098,19324119,2185104,3633828,10003098,3502089,0.7633799
3006,3006,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,802779.0,3331.0,886017,34.775,0.01454,2.955,20.008,16.004,19.996,1386257,2324911,4645934,9997765,18354867,1386257,2324911,9997765,4645934,0.88955957
7,7,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,827665.0,1861.0,656631,29.398,0.01655,3.447,19.992,16.006,19.999,1660705,2728609,4347712,9999359,18736385,1660705,2728609,9999359,4347712,0.8241855
3342,3342,sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,958041.0,1570.0,442160,24.352,0.03701,4.632,20.0,16.006,19.995,2292584,3760562,3351390,9997463,19401999,2292584,3760562,9997463,3351390,0.76001126
4670,4670,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,922996.0,11667.0,906743,45.213,0.02527,1.887,19.992,15.999,19.997,719631,1564265,4524316,9998469,16806681,719631,1564265,9998469,4524316,1.0177534
3075,3075,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,931698.0,7766.0,944396,39.333,0.02979,1.967,19.997,15.997,20.0,774184,2015302,4439114,9999785,17228385,774184,2015302,9999785,4439114,0.9519775
2316,2316,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,799854.0,1085.0,803837,22.348,0.01662,3.988,19.992,15.992,19.998,1953945,4150483,3009234,9998817,19112479,1953945,4150483,9998817,3009234,0.73227984
3067,3067,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,920382.0,7543.0,965157,39.382,0.02719,1.964,19.998,16.001,19.995,772810,2014249,4437158,9997464,17221681,772810,2014249,9997464,4437158,0.95250523
2065,2065,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,915157.0,5907.0,201860,37.281,0.02326,2.762,20.001,15.999,20.002,1273289,2089782,4616993,10001186,17981250,1273289,2089782,10001186,4616993,0.92696077
2406,2406,latvia,1000000,1000,2020-01-01,2020-12-31,hybrid,964150.0,10656.0,22125,43.416,0.04009,1.993,20.021,15.994,19.991,790801,1634704,4483649,9995382,16904536,790801,1634704,9995382,4483649,0.9935532
3420,3420,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,914109.0,10543.0,354669,44.284,0.02553,1.748,19.986,16.002,19.999,622633,1854398,4272613,9999593,16749237,622633,1854398,9999593,4272613,1.0008448
625,625,china,1000000,1000,2020-01-01,2020-12-31,hybrid,957298.0,4828.0,785021,38.585,0.03209,2.625,20.0,15.997,19.999,1191424,1891916,4947427,9999532,18030299,1191424,1891916,9999532,4947427,0.94076806
795,795,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959516.0,5823.0,47243,37.258,0.03332,2.788,19.99,15.995,20.002,1288368,2129755,4666798,10001019,18085940,1288368,2129755,10001019,4666798,0.93313056
1898,1898,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,915369.0,9839.0,462641,43.455,0.02704,1.634,20.004,16.007,20.005,538125,1747146,4304662,10002705,16592638,538125,1747146,10002705,4304662,1.0026072
2048,2048,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,928158.0,5814.0,275345,37.247,0.02546,2.755,19.972,16.0,20.006,1269048,2087574,4616652,10003138,17976412,1269048,2087574,10003138,4616652,0.92655164
3189,3189,mexico,1000000,1000,2020-01-01,2020-12-31,hybrid,850780.0,3244.0,249078,32.027,0.01771,2.926,20.0,16.006,19.998,1368507,2766135,4321874,9999119,18455635,1368507,2766135,9999119,4321874,0.86729103
2605,2605,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,928137.0,7656.0,128360,38.078,0.02836,2.14,19.995,15.991,20.002,888691,2217622,4336948,10000921,17444182,888691,2217622,10000921,4336948,0.93843055
2639,2639,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,956967.0,7269.0,543332,42.861,0.03238,1.957,19.993,16.002,19.994,767091,1507469,5053465,9996965,17324990,767091,1507469,9996965,5053465,0.9956135
3135,3135,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,840395.0,8425.0,123230,44.031,0.01772,1.909,19.996,15.99,19.998,734862,1542680,4605617,9998783,16881942,734862,1542680,9998783,4605617,1.0009944
3304,3304,maldives,1000000,1000,2020-01-01,2020-12-31,hybrid,976232.0,2042.0,55227,30.778,0.03462,4.461,19.99,16.002,20.005,2203311,2157904,5307618,10002390,19671223,2203311,2157904,10002390,5307618,0.89430785
1624,1624,nigeria,1000000,1000,2020-01-01,2020-12-31,hybrid,938729.0,1019.0,82825,22.865,0.03522,3.981,20.005,16.001,19.998,1950581,3873210,3175208,9999055,18998054,1950581,3873210,9999055,3175208,0.733576
3965,3965,jordan,1000000,1000,2020-01-01,2020-12-31,hybrid,935377.0,1791.0,793545,27.226,0.02836,3.804,19.983,15.999,20.0,1856102,3352341,3930825,9999769,19139037,1856102,3352341,9999769,3930825,0.80685437
3258,3258,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,938975.0,1464.0,519178,24.511,0.02969,4.529,20.005,16.005,19.999,2238868,3619534,3540658,9999623,19398683,2238868,3619534,9999623,3540658,0.76767504
2321,2321,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,800479.0,1070.0,899422,22.326,0.01669,3.989,20.009,16.004,20.002,1954282,4162378,3003374,10001150,19121184,1954282,4162378,10001150,3003374,0.73207086
3311,3311,maldives,1000000,1000,2020-01-01,2020-12-31,hybrid,970406.0,1956.0,844102,30.764,0.03109,4.451,19.999,16.002,20.008,2198418,2151851,5305728,10003924,19659921,2198418,2151851,10003924,5305728,0.89390194
3037,3037,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,941996.0,8294.0,80472,41.809,0.03082,1.89,19.998,16.008,20.001,723133,1742980,4610361,10000530,17077004,723133,1742980,10000530,4610361,0.984456
4417,4417,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,953096.0,6589.0,114570,38.393,0.03624,2.128,19.999,16.001,20.004,882176,2131307,4460856,10002159,17476498,882176,2131307,10002159,4460856,0.9351843
747,747,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,932711.0,1165.0,45744,23.8,0.03277,3.664,19.999,15.999,20.008,1779493,3775440,3368970,10003891,18927794,1779493,3775440,10003891,3368970,0.75189966
1820,1820,mozambique,1000000,1000,2020-01-01,2020-12-31,hybrid,785399.0,1025.0,912277,22.272,0.01721,3.489,19.996,15.998,19.997,1684281,4011293,3054740,9998381,18748695,1684281,4011293,9998381,3054740,0.7287125
250,250,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,903437.0,779.0,131555,21.154,0.02885,3.636,20.014,15.999,19.999,1765060,4142339,2954534,9999517,18861450,1765060,4142339,9999517,2954534,0.7137209
