,data_points,rmsd,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
0,1,117668.83665577944,0.3454568443678778,1.0016917159387508e-05,0.2473118279569892,4.606759576770719e-06
12974,1,117601.68532506075,0.3325757456022505,2.216872967644956e-05,0.2320926385442514,1.7081578100674164e-05
12475,1,117722.46705117683,0.3168497415877732,5.578674393250879e-05,0.2180314309346567,5.357319847571903e-05
11976,1,117356.5945596163,0.3174187226375433,5.400240381506678e-05,0.2191894127377998,4.887988982578508e-05
11477,1,117071.15960187928,0.3127657220527571,7.031286225596793e-05,0.2191894127377998,4.887988982578508e-05
10978,1,117197.86315640315,0.321660792464162,4.22918951447056e-05,0.2218362282878412,3.957333114372187e-05
10479,1,117955.47685343226,0.334472349101484,1.976516776580828e-05,0.2299421009098428,2.043042966819408e-05
9980,1,117360.24613873876,0.3301259660824074,2.5682300965593585e-05,0.2261373035566584,2.7939408064861017e-05
9481,1,118014.81656795586,0.3300058478607892,2.5867399678084643e-05,0.2263027295285359,2.7564474714842304e-05
8982,1,117261.55665583756,0.3263706911539251,3.21013591911235e-05,0.2277915632754342,2.439870458139054e-05
8483,1,116991.80859327676,0.3317191130217635,2.3342355861433573e-05,0.237055417700579,1.1235279618710385e-05
7984,1,117222.16237035806,0.3135022364116261,6.745551250507181e-05,0.2231596360628618,3.5576626433390444e-05
14471,1,117505.2745999747,0.3329076512146164,2.172913353527717e-05,0.2334160463192721,1.5288109619736723e-05
13473,1,117045.46471113492,0.3077460447914526,9.30205118036228e-05,0.2153846153846153,6.595423572474636e-05
499,1,117233.39981658976,0.3468350429106541,9.18137550344442e-06,0.2489660876757651,3.976799076556047e-06
6986,1,117337.6762066688,0.3140301243855794,6.547487454719783e-05,0.2196856906534325,4.699019418339141e-05
6487,1,117453.32721604974,0.3283589638222882,2.8535294750363423e-05,0.2291149710504549,2.1877884764470988e-05
5988,1,117144.28710196054,0.321603894359185,4.243180668278386e-05,0.2297766749379652,2.0712421671685576e-05
5489,1,117114.2314913591,0.3263232760664443,3.219131132054771e-05,0.2324234904880066,1.661528900009055e-05
4990,1,117133.22970522936,0.3299457887499802,2.5960419465399927e-05,0.2354011579818031,1.2930733476228943e-05
4491,1,117517.93000806212,0.316840258570277,5.581694617188522e-05,0.2188585607940446,5.0179470006632885e-05
3992,1,117493.73573508865,0.3321584928324192,2.2733260339398887e-05,0.238213399503722,1.017708659896168e-05
3493,1,117508.63731860885,0.3083529579112073,8.994952404133573e-05,0.2130686517783292,7.896494474845351e-05
2994,1,117320.15130026347,0.3040761170204358,0.0001137805099528,0.2095947063688999,0.0001031084366804
2495,1,117518.6632242924,0.3267184017954512,3.1448899270838446e-05,0.2277915632754342,2.439870458139054e-05
1996,1,117533.78967314684,0.3327496009230136,2.1937430272064316e-05,0.2330851943755169,1.5718851087849316e-05
998,1,117618.2091699671,0.3378324983009593,1.6098762748587216e-05,0.2352357320099255,1.3113105736008482e-05
7485,1,117319.7774228432,0.3088176257685195,8.766267747739972e-05,0.2129032258064516,7.998164038227591e-05
13972,1,117017.07485212212,0.3176621200866115,5.325557460010848e-05,0.2256410256410256,2.9093517262556166e-05
1497,1,117752.80353242504,0.3378324983009593,1.6098762748587216e-05,0.2352357320099255,1.3113105736008482e-05
14472,2,49123.14937698662,-0.1130786616301307,0.1598710419559997,-0.0699751861042183,0.1948276246203721
6987,2,124556.80553565336,0.3719176241880166,1.74851185656196e-06,0.27328370554177,4.124427030751502e-07
13973,2,87992.12033742557,-0.2529784577452545,0.0014411473678919,-0.1880893300248139,0.0004926368339101
7985,2,46698.36459724368,-0.3940478260182389,3.589527386337445e-07,-0.2683209263854425,6.65472975204008e-07
