,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
1457,1457,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,903933.0,2041.0,944661,27.415,0.02724,2.591,19.988,15.998,20.0,1171345,3269052,3889317,9999932,18329646,1171345,3269052,9999932,3889317,0.8116105
187,187,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,873196.0,2237.0,740887,28.002,0.01896,3.588,20.005,16.001,20.001,1738530,3273503,3995501,10000327,19007861,1738530,3273503,10000327,3995501,0.8232138
2596,2596,uruguay,1000000,1000,2020-01-01,2020-12-31,hybrid,930836.0,7665.0,654336,38.04,0.02903,2.138,19.988,15.999,20.005,887941,2221136,4331968,10002456,17443501,887941,2221136,10002456,4331968,0.93768907
4337,4337,republic of korea,1000000,1000,2020-01-01,2020-12-31,hybrid,741743.0,5396.0,801213,42.9,0.01287,1.953,19.995,16.01,19.999,764863,1506634,5054288,9999439,17325224,764863,1506634,9999439,5054288,0.9964222
3477,3477,turkey,1000000,1000,2020-01-01,2020-12-31,hybrid,916273.0,3930.0,621710,33.682,0.02276,3.213,19.988,16.007,20.002,1532100,2560524,4436536,10000824,18529984,1532100,2560524,10000824,4436536,0.886538
4545,4545,palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,853717.0,1413.0,299689,24.518,0.01767,4.523,20.006,15.994,20.005,2235409,3620705,3542761,10002370,19401245,2235409,3620705,10002370,3542761,0.7680354
445,445,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,787905.0,1950.0,199467,29.099,0.01626,2.682,20.005,15.996,20.001,1225812,3116024,3969970,10000251,18312057,1225812,3116024,10000251,3969970,0.8192872
3707,3707,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,764696.0,803.0,314301,22.158,0.01382,4.962,19.996,15.999,19.994,2462912,3994249,3091029,9996978,19545168,2462912,3994249,9996978,3091029,0.72651064
3308,3308,maldives,1000000,1000,2020-01-01,2020-12-31,hybrid,970587.0,1999.0,965319,30.757,0.031,4.458,19.995,16.0,19.994,2201998,2154647,5305186,9997160,19658991,2201998,2154647,9997160,5305186,0.893978
2964,2964,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,839803.0,3866.0,202778,35.152,0.01663,2.562,20.007,16.004,19.999,1153231,2336290,4670875,9999541,18159937,1153231,2336290,9999541,4670875,0.9086731
42,42,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,961302.0,2485.0,406012,26.787,0.0385,3.885,20.006,15.991,19.998,1899325,3444209,3738017,9999200,19080751,1899325,3444209,9999200,3738017,0.80464333
317,317,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,921565.0,4119.0,720005,33.653,0.02694,2.359,20.008,15.999,20.0,1028200,2556650,4436383,9999785,18021018,1028200,2556650,9999785,4436383,0.8901152
3665,3665,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,940958.0,9643.0,840916,43.296,0.03062,1.762,20.01,15.998,20.001,634683,1607116,4649119,10000676,16891594,634683,1607116,10000676,4649119,0.9982823
4604,4604,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,948470.0,3571.0,227334,31.139,0.03383,2.961,19.996,15.994,20.002,1387760,2858514,4188926,10001219,18436419,1387760,2858514,10001219,4188926,0.8561811
4294,4294,myanmar,1000000,1000,2020-01-01,2020-12-31,hybrid,960605.0,2540.0,80559,31.522,0.03475,3.351,19.994,15.998,20.004,1608826,2821601,4411031,10001773,18843231,1608826,2821601,10001773,4411031,0.8618834
3852,3852,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,836366.0,6295.0,967692,39.113,0.01644,2.588,19.995,16.001,19.998,1168816,1989723,4483668,9999136,17641343,1168816,1989723,9999136,4483668,0.9433719
1151,1151,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,930331.0,1405.0,172703,25.377,0.03568,2.721,19.991,16.009,19.993,1247043,3517410,3658674,9996746,18419873,1247043,3517410,9996746,3658674,0.7751272
2029,2029,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,767059.0,889.0,487286,20.655,0.01509,4.948,19.998,15.999,19.991,2455556,4197644,2685928,9995523,19334651,2455556,4197644,9995523,2685928,0.6943665
3782,3782,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,846509.0,1000.0,480656,22.156,0.01794,4.965,19.998,16.01,19.998,2464295,3997297,3088583,9999199,19549374,2464295,3997297,9999199,3088583,0.7263763
330,330,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,903609.0,8944.0,647774,41.811,0.0249,1.781,20.017,15.99,20.002,645621,2146677,4159510,10000751,16952559,645621,2146677,10000751,4159510,0.9708928
1694,1694,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,950384.0,2494.0,812380,30.195,0.03036,3.579,20.002,15.99,19.994,1733080,2923680,4354664,9997247,19008671,1733080,2923680,9997247,4354664,0.84986824
1281,1281,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,955038.0,6379.0,202446,38.952,0.03182,2.559,19.998,15.999,20.003,1150914,2048732,4566499,10001557,17767702,1150914,2048732,10001557,4566499,0.95539653
3077,3077,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,912325.0,7563.0,116251,39.385,0.02581,1.963,20.011,16.005,19.995,773306,2010327,4446155,9997422,17227210,773306,2010327,9997422,4446155,0.95281446
1703,1703,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,950114.0,2587.0,627132,30.153,0.03025,3.582,19.992,16.007,20.004,1734795,2932070,4352558,10002145,19021568,1734795,2932070,10002145,4352558,0.84939504
3112,3112,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,939993.0,1175.0,761027,23.836,0.0261,5.689,20.006,15.998,20.005,2834732,3730981,3472876,10002687,20041276,2834732,3730981,10002687,3472876,0.7626157
512,512,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,729218.0,1744.0,595289,28.58,0.01303,3.351,19.991,15.996,20.0,1607843,2953234,4082391,10000144,18643612,1607843,2953234,10000144,4082391,0.8148095
3123,3123,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,842706.0,8622.0,337809,44.016,0.01777,1.909,20.022,16.0,19.996,734768,1545790,4609258,9998215,16888031,734768,1545790,9998215,4609258,1.0010685
3082,3082,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,919574.0,7582.0,682379,39.338,0.02718,1.962,20.003,15.998,20.001,772055,2011974,4447347,10000296,17231672,772055,2011974,10000296,4447347,0.9519564
