location,estimate
afghanistan,85834.08472975332
albania,98357.09662814287
angola,123437.27119454951
argentina,110357.22387612704
armenia,96758.85213644255
aruba,107699.31758430076
australia,119446.28877334553
austria,121265.16866817256
azerbaijan,85549.52609283896
bahamas,104421.79686902964
bangladesh,94948.93448055582
belarus,117311.13671214553
belgium,121735.91771168425
benin,110807.5954880399
bolivia,115764.77821022947
botswana,120999.53475252818
brazil,104131.32430777152
bulgaria,117832.46838385472
burkina,107349.19078873564
burkina faso,107326.65326093789
burundi,120767.91949231259
cambodia,98434.20258667786
cameroon,113572.10225748364
canada,116997.94687467348
central african republic,118997.29418816825
chad,113168.06250713661
chile,95022.02282479603
china,95763.53705462767
colombia,102664.04415310395
comoros,103347.55482170836
congo,120933.08261244558
costa rica,100470.26422865666
croatia,103416.97084527719
cuba,98292.94311821845
cyprus,110374.83777582168
czechia,117424.98967630498
dominican republic,111789.27065465716
ecuador,106005.05787820346
egypt,109837.4553494493
el salvador,100088.70251937339
estonia,122263.54249418783
ethiopia,115785.5666701647
fiji,95151.52562748233
finland,131716.75836649223
france,128297.38715366123
french guiana,119767.37045283488
gabon,116125.3456087712
gambia,87104.44181123958
georgia,99340.55276453297
germany,129916.18825802556
ghana,128353.38474753557
greece,113250.54564910126
guadeloupe,127997.933852877
guatemala,101856.85827815591
guinea,102539.88321613602
guyana,107182.1321245376
haiti,106613.62099102291
honduras,101837.9828281455
hungary,109427.11360114673
india,91851.58086768759
indonesia,102121.84503178298
iran,105265.56763040042
iraq,79805.1223860092
ireland,114993.8164083527
israel,117565.45340628282
italy,113433.92299548793
jamaica,114317.9985976076
japan,114718.95948697755
jordan,101201.15529787412
kazakhstan,110264.26958889677
kenya,128949.59474363027
korea,109659.73750871781
kyrgyzstan,105677.0340213835
latvia,112071.18087827566
lesotho,123839.40533257311
liberia,111262.10743235867
lithuania,120041.0717918307
luxembourg,118771.45441391703
madagascar,110927.1273463422
malawi,122320.70422798349
malaysia,87553.86942380364
maldives,69828.4808888312
mali,113179.45236723125
malta,101701.635850847
martinique,124877.24012452783
mauritius,94555.39382123412
mayotte,120469.7814345907
mexico,104208.73309410235
moldova,104396.20642425935
mongolia,100534.60536128294
montenegro,99987.29306851514
morocco,82794.54377380025
mozambique,126346.71835109929
myanmar,96272.94412111188
namibia,114284.80458565312
nepal,103130.97778011276
netherlands,125682.25056036678
new zealand,115999.88993135293
nicaragua,92264.43541951058
niger,117017.22207851964
nigeria,116942.1847788553
norway,128628.7572677678
oman,49392.390909679816
pakistan,81891.80401491176
palestine,101038.66003300087
panama,105740.19128279388
papua new guinea,96315.46371027827
paraguay,95324.26382611052
peru,100699.71711823426
philippines,103360.07764696609
poland,104027.80065210396
portugal,105616.98364860239
puerto rico,109878.29592714144
republic of korea,109687.46333268075
republic of moldova,104389.75885256345
romania,102902.98393622076
russia,115479.21407868632
russian federation,115523.87162025191
rwanda,118921.05322529562
réunion,123073.05797663436
samoa,85261.32173717453
sao tome and principe,130455.50045131322
senegal,81288.07427906455
serbia,103790.93893290544
seychelles,97760.98118481436
sierra leone,100519.3163070454
singapore,89282.81571477395
slovakia,105212.08471837628
slovenia,113756.36320410005
south africa,115839.09787299915
south korea,109671.10939133016
south sudan,101468.75436850335
spain,105887.3373131738
state of palestine,101088.43552509649
sudan,102830.82559270225
suriname,101731.01055745536
switzerland,124266.82446108211
tajikistan,91974.73048201029
tanzania,117871.46805503755
thailand,88540.04212434962
timor-leste,102502.54498985433
togo,116817.100866528
trinidad and tobago,101601.07082859462
turkey,94776.249055514
uganda,127675.5250271298
ukraine,115884.57352020126
united kingdom,126410.6488889954
united republic of tanzania,117878.26579490071
uruguay,115294.37134210311
usa,120498.50861267187
uzbekistan,85925.37268959568
venezuela,95926.03595316713
vietnam,97444.94856620755
yemen,90705.61279433942
zambia,116256.93319275056
zimbabwe,126478.33643351367
