,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
2442,2442,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,897355.0,2116.0,610583,26.963,0.0186,5.766,19.996,15.992,20.006,2873753,3465509,3548677,10002827,19890766,2873753,3465509,10002827,3548677,0.7869089
4283,4283,thailand,1000000,1000,2020-01-01,2020-12-31,hybrid,968986.0,5927.0,713893,39.636,0.03514,2.89,19.99,15.997,20.0,1346665,1925125,4847888,10000106,18119784,1346665,1925125,10000106,4847888,0.95486975
4606,4606,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,946018.0,3570.0,757877,31.157,0.03288,2.964,19.992,16.001,19.995,1389557,2854552,4189737,9997541,18431387,1389557,2854552,9997541,4189737,0.8562737
3704,3704,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,842027.0,959.0,237909,22.12,0.01768,4.961,19.994,16.009,20.0,2462868,3991214,3086491,10000012,19540585,2462868,3991214,10000012,3086491,0.7259244
683,683,zambia,1000000,1000,2020-01-01,2020-12-31,hybrid,926349.0,900.0,902642,21.867,0.03043,4.198,20.001,15.998,20.003,2065431,4060607,3089014,10001285,19216337,2065431,4060607,10001285,3089014,0.7263598
2735,2735,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,956282.0,9333.0,614539,44.121,0.03542,1.813,20.013,15.995,20.0,668477,1567405,4573318,9999964,16809164,668477,1567405,9999964,4573318,1.007576
2850,2850,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,797889.0,1076.0,855119,23.694,0.01433,4.945,20.006,16.006,19.998,2454001,3820402,3356133,9999045,19629581,2454001,3820402,9999045,3356133,0.7537406
4413,4413,ireland,1000000,1000,2020-01-01,2020-12-31,hybrid,952008.0,6732.0,185030,38.417,0.03573,2.132,19.996,16.009,20.0,883736,2123302,4467596,10000245,17474879,883736,2123302,10000245,4467596,0.93552274
4289,4289,thailand,1000000,1000,2020-01-01,2020-12-31,hybrid,961977.0,5900.0,173596,39.628,0.03137,2.892,19.986,15.994,19.998,1348434,1919925,4847721,9999094,18115174,1348434,1919925,9999094,4847721,0.9547298
3282,3282,poland,1000000,1000,2020-01-01,2020-12-31,hybrid,934516.0,8411.0,828994,42.459,0.02676,2.161,19.988,16.002,20.006,902877,1610726,4702855,10002875,17219333,902877,1610726,10002875,4702855,0.99250823
543,543,india,1000000,1000,2020-01-01,2020-12-31,hybrid,954682.0,2748.0,141821,31.118,0.0312,3.675,20.003,16.005,19.999,1785586,2862061,4340677,9999729,18988053,1785586,2862061,9999729,4340677,0.8602958
278,278,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,982471.0,1423.0,573980,29.976,0.03262,7.019,20.014,16.005,20.004,3506160,2115240,5299418,10002070,20922888,3506160,2115240,10002070,5299418,0.87176317
