,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,0,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,852391.0,1866.0,582544,29.401,0.01809,3.443,20.014,16.0,19.998,1659398,2731228,4346312,9998890,18735828,1659398,2731228,9998890,4346312,0.8242253
1,1,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,857116.0,1905.0,411553,29.42,0.01843,3.452,20.012,15.998,19.997,1663159,2733810,4347048,9998654,18742671,1663159,2733810,9998654,4347048,0.82473606
4,4,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,814736.0,1822.0,657947,29.395,0.01586,3.44,20.001,16.003,19.997,1657178,2732380,4341776,9998338,18729672,1657178,2732380,9998338,4341776,0.8241373
5,5,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,761668.0,1597.0,564440,29.406,0.01354,3.447,19.997,15.999,20.001,1661591,2732810,4346655,10000277,18741333,1661591,2732810,10000277,4346655,0.8242202
9,9,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,837968.0,1825.0,561563,29.433,0.01716,3.443,19.977,16.005,20.0,1659230,2725148,4348479,10000139,18732996,1659230,2725148,10000139,4348479,0.8245298
12,12,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,828015.0,1789.0,789707,29.387,0.01652,3.437,20.004,15.997,20.004,1656266,2735237,4342383,10001820,18735706,1656266,2735237,10001820,4342383,0.82400626
15,15,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,849975.0,1800.0,159411,29.404,0.01804,3.441,20.001,16.001,20.008,1658455,2732790,4344591,10003877,18739713,1658455,2732790,10003877,4344591,0.8242289
16,16,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,778302.0,1643.0,380873,29.391,0.01422,3.45,20.008,15.999,19.998,1662822,2732868,4343587,9998807,18738084,1662822,2732868,9998807,4343587,0.8239966
22,22,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,863803.0,1850.0,869022,29.394,0.01903,3.445,19.991,16.005,19.997,1661004,2731193,4342891,9998480,18733568,1661004,2731193,9998480,4342891,0.8241552
23,23,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,857685.0,1893.0,688577,29.39,0.01854,3.444,20.008,16.004,19.993,1660271,2737700,4336483,9996483,18730937,1660271,2737700,9996483,4336483,0.82393104
27,27,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,757575.0,1625.0,633283,29.389,0.0135,3.447,20.01,16.0,19.99,1661154,2733833,4344959,9995166,18735112,1661154,2733833,9995166,4344959,0.8239752
28,28,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,786680.0,1623.0,403327,29.427,0.01447,3.447,20.008,16.009,19.995,1661571,2725864,4355233,9997709,18740377,1661571,2725864,9997709,4355233,0.8245493
30,30,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,957550.0,2493.0,769405,26.781,0.03651,3.884,19.992,15.991,20.005,1898524,3448630,3739250,10002405,19088809,1898524,3448630,10002405,3739250,0.8044094
33,33,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,958592.0,2430.0,208563,26.774,0.03687,3.891,20.007,15.998,20.003,1902121,3440190,3744535,10001489,19088335,1902121,3440190,10001489,3744535,0.80465466
35,35,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,956570.0,2348.0,831898,26.727,0.03621,3.887,20.009,16.003,20.003,1899980,3454725,3735949,10001699,19092353,1899980,3454725,10001699,3735949,0.80365616
36,36,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,956364.0,2391.0,159868,26.765,0.03573,3.9,19.999,16.007,19.997,1906988,3448415,3741056,9998511,19094970,1906988,3448415,9998511,3741056,0.8042657
39,39,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,962319.0,2399.0,18473,26.765,0.03906,3.886,20.008,15.997,20.005,1899484,3447472,3741106,10002565,19090627,1899484,3447472,10002565,3741106,0.8041406
40,40,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,949419.0,2467.0,507553,26.776,0.03291,3.896,19.994,15.99,20.003,1904683,3442439,3744594,10001585,19093301,1904683,3442439,10001585,3744594,0.8043514
42,42,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,961302.0,2485.0,406012,26.787,0.0385,3.885,20.006,15.991,19.998,1899325,3444209,3738017,9999200,19080751,1899325,3444209,9999200,3738017,0.80464333
45,45,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,955436.0,2517.0,241354,26.775,0.03537,3.891,20.001,16.011,19.997,1902625,3445474,3740403,9998659,19087161,1902625,3445474,9998659,3740403,0.8042502
46,46,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,950040.0,2362.0,958543,26.77,0.03333,3.889,20.011,16.002,20.001,1901021,3438939,3749136,10000508,19089604,1901021,3438939,10000508,3749136,0.8043665
49,49,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954080.0,2410.0,691983,26.792,0.03481,3.887,20.0,16.011,19.998,1900320,3444690,3747706,9999066,19091782,1900320,3444690,9999066,3747706,0.80485195
