,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,931097.0,1059.0,366660,22.768,0.02181,7.044,20.006,16.001,19.994,3518786,4029863,3186917,9996910,20732476,999144,402871,1000000,398328,0.7422833
1,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,799330.0,939.0,28866,22.755,0.0121,7.043,20.001,15.994,20.001,3518538,4023321,3180780,10000530,20723169,999129,402311,1000000,397756,0.74232215
2,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,854166.0,1045.0,807142,22.762,0.01448,7.059,19.994,16.002,19.997,3526475,4025831,3184623,9998328,20735257,999076,402711,1000000,398037,0.7423051
3,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,882687.0,1107.0,496703,22.758,0.01651,7.032,20.009,15.998,19.997,3512862,4028954,3181083,9998446,20721345,999110,402723,1000000,397690,0.74222106
4,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,797410.0,979.0,120549,22.776,0.01203,7.037,20.009,16.003,20.004,3515498,4025589,3185553,10001933,20728573,999079,402379,1000000,398118,0.74237835
5,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,920446.0,1079.0,255359,22.781,0.02019,7.039,19.993,16.005,20.0,3516628,4033106,3186753,9999759,20736246,999152,403448,1000000,398222,0.7426123
6,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,923480.0,1079.0,277391,22.764,0.02057,7.03,19.997,16.005,19.999,3511825,4025566,3187035,9999393,20723819,999107,402614,1000000,398253,0.74249166
7,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,920087.0,1039.0,824401,22.763,0.02024,7.026,20.009,15.993,19.995,3509738,4029528,3184336,9997339,20720941,999109,402767,1000000,398225,0.7424045
8,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,870847.0,1012.0,547736,22.744,0.0156,7.035,20.005,15.998,20.001,3514242,4029223,3180508,10000284,20724257,999095,402818,1000000,397619,0.742049
9,afghanistan,1000000,1000,2020-01-01,2020-12-31,hybrid,911162.0,1070.0,127613,22.743,0.01909,7.045,19.996,16.005,20.003,3519390,4024046,3185410,10001325,20730171,999111,402483,1000000,398048,0.7420879
