,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,963042.0,6412.0,208599,38.959,0.03566,2.553,19.99,16.0,20.001,1148818,2048635,4567373,10000746,17765572,899974,204961,1000000,570928,0.9552454
1,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959491.0,6442.0,264156,38.93,0.03346,2.562,19.992,15.997,19.995,1152705,2047793,4565813,9997506,17763817,899872,204865,1000000,570836,0.95525897
2,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,970739.0,6509.0,325904,38.933,0.04023,2.553,20.006,16.002,20.002,1148848,2055341,4565484,10001023,17770696,899851,205468,1000000,570622,0.9551572
3,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960236.0,6464.0,776589,38.927,0.03401,2.558,19.995,16.001,20.005,1150556,2050677,4569445,10002730,17773408,899480,205117,1000000,571134,0.9548315
4,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,951601.0,6270.0,417137,38.93,0.03062,2.552,20.008,15.999,20.006,1147573,2054781,4563640,10003010,17769004,899387,205396,1000000,570497,0.9552698
5,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960750.0,6388.0,400871,38.89,0.03427,2.555,20.004,16.008,20.0,1149498,2053508,4573264,10000082,17776352,899680,205306,1000000,571375,0.9545936
6,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,955618.0,6355.0,364622,38.973,0.03201,2.553,19.994,15.997,19.993,1148240,2046278,4567289,9996475,17758282,899538,204689,1000000,571011,0.9559052
7,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,961280.0,6505.0,153182,38.937,0.03445,2.559,19.981,15.999,20.004,1150454,2047810,4565827,10001806,17765897,898997,204976,1000000,570774,0.95524657
8,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,955248.0,6447.0,190056,38.983,0.03194,2.559,20.018,15.981,20.001,1151101,2043694,4563756,10000483,17759034,899705,204182,1000000,571152,0.95556176
9,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,937423.0,6319.0,701008,38.919,0.02662,2.555,20.007,16.003,20.013,1149115,2054837,4567220,10006267,17777439,899508,205409,1000000,570806,0.9547585
10,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960580.0,6537.0,501343,38.92,0.03419,2.554,20.01,16.005,19.995,1149695,2052970,4571277,9997264,17771206,900191,205194,1000000,571242,0.95483935
11,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,954242.0,6447.0,377374,38.927,0.03171,2.555,20.006,16.002,20.001,1149073,2050735,4568037,10000693,17768538,899573,205015,1000000,570946,0.9551005
12,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,955640.0,6480.0,955307,38.958,0.03205,2.555,19.985,16.003,20.003,1148651,2045255,4561777,10001680,17757363,898976,204682,1000000,570128,0.9552157
13,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959891.0,6551.0,109923,38.944,0.03389,2.562,19.995,16.009,20.003,1152746,2049693,4562574,10001698,17766711,899870,205019,1000000,570008,0.95505345
14,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,945596.0,6431.0,795847,38.949,0.02856,2.557,20.011,15.997,19.999,1150263,2047724,4572356,9999321,17769664,899867,204658,1000000,571659,0.9553438
15,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,956772.0,6514.0,211037,38.944,0.03237,2.558,19.988,15.999,19.996,1150907,2051351,4561577,9997850,17761685,899939,205259,1000000,570246,0.95535123
16,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,949305.0,6367.0,481465,38.95,0.02982,2.556,20.01,16.0,19.999,1149916,2050694,4570005,9999267,17769882,899891,204971,1000000,571267,0.9553087
17,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,956262.0,6479.0,886958,38.952,0.03229,2.557,20.004,15.993,19.996,1150743,2049888,4564827,9997871,17763329,899967,204944,1000000,570856,0.9551616
18,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,938912.0,6383.0,337303,38.977,0.02704,2.559,20.005,15.997,19.994,1151414,2042591,4564603,9996932,17755540,900007,204209,1000000,570666,0.9553769
19,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,965187.0,6457.0,842268,38.912,0.03662,2.551,20.005,16.001,19.999,1146759,2052907,4569128,9999669,17768463,899098,205238,1000000,571119,0.9550045
20,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,951517.0,6392.0,828853,38.975,0.03061,2.562,20.03,16.006,19.998,1152123,2046323,4573150,9998954,17770550,899342,204329,1000000,571428,0.9556097
21,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,953610.0,6442.0,202446,38.952,0.03127,2.559,19.998,15.999,20.003,1150914,2048732,4566499,10001557,17767702,899548,204898,1000000,570856,0.95539653
22,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,954609.0,6365.0,690821,38.96,0.03147,2.557,20.006,16.002,19.996,1151138,2045255,4571425,9998147,17765965,900414,204469,1000000,571352,0.9553632
23,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,956445.0,6388.0,133682,38.917,0.03224,2.551,19.999,16.0,19.998,1147779,2053087,4569497,9999214,17769577,899753,205314,1000000,571196,0.9550385
24,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959001.0,6548.0,731487,38.946,0.03328,2.556,19.999,15.998,20.001,1150215,2051741,4570121,10000632,17772709,899873,205189,1000000,571344,0.9554104
25,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960246.0,6326.0,394899,38.92,0.03403,2.557,20.005,15.997,20.002,1150434,2048236,4568013,10000772,17767455,899856,204772,1000000,571126,0.95485634
26,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,968137.0,6602.0,48921,38.935,0.03836,2.559,19.991,15.999,19.997,1151509,2049082,4571558,9998636,17770785,899831,204999,1000000,571495,0.9552518
27,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959160.0,6364.0,376416,38.94,0.03346,2.555,19.992,16.007,19.999,1150069,2047244,4578970,9999308,17775591,900107,204809,1000000,572127,0.9552336
28,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,941087.0,6377.0,403185,38.889,0.02762,2.553,19.992,15.998,20.001,1147768,2050883,4564638,10000338,17763627,899210,205171,1000000,570648,0.9544797
29,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,958683.0,6402.0,46213,38.946,0.03305,2.557,20.004,15.995,20.009,1150458,2054295,4558283,10004318,17767354,899720,205388,1000000,569951,0.9551394
