,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,923745.0,1031.0,25977,21.497,0.0326,3.901,19.998,15.999,19.995,1907485,4052337,2967383,9997349,18924554,977990,405279,1000000,370942,0.71311706
1,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,914517.0,1023.0,400444,21.526,0.03035,3.892,19.99,15.997,19.996,1903970,4040808,2975016,9998108,18917902,978281,404288,1000000,371937,0.71370226
2,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,934799.0,1005.0,446399,21.528,0.03559,3.897,20.008,16.004,19.991,1905467,4054957,2975046,9995422,18930892,977846,405327,1000000,371790,0.71357673
3,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,938321.0,983.0,728978,21.546,0.03686,3.895,20.01,16.004,19.999,1904443,4054657,2976531,9999424,18935055,977875,405266,1000000,371979,0.7142163
4,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,941710.0,1008.0,720109,21.554,0.03807,3.899,20.0,15.986,20.001,1906406,4044789,2974980,10000473,18926648,977869,404473,1000000,372196,0.71395
5,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,922801.0,973.0,577786,21.519,0.03227,3.907,20.002,15.995,19.993,1910347,4050845,2971929,9996644,18929765,977833,405040,1000000,371612,0.71361727
6,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,941224.0,911.0,135807,21.517,0.03813,3.907,20.003,16.005,19.994,1910505,4047796,2976854,9997193,18932348,978106,404718,1000000,372001,0.71377677
7,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,923047.0,933.0,84638,21.537,0.0322,3.907,20.008,16.0,19.999,1910221,4053095,2971666,9999525,18934507,977908,405150,1000000,371462,0.7137534
8,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,898082.0,1011.0,193299,21.548,0.02713,3.894,19.997,16.004,19.995,1904157,4048125,2976712,9997435,18926429,978085,404868,1000000,372007,0.7139657
9,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,940520.0,936.0,170174,21.523,0.03755,3.893,19.995,15.997,20.003,1903315,4051691,2973358,10001251,18929615,977845,405271,1000000,371740,0.7136994
10,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,930912.0,1000.0,409643,21.501,0.03475,3.896,19.994,15.991,19.996,1905497,4050731,2964455,9997811,18918494,978212,405199,1000000,370759,0.7130955
11,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,929155.0,1040.0,73648,21.558,0.03388,3.902,19.986,15.987,19.997,1908023,4037668,2975109,9998419,18919219,978093,404050,1000000,372184,0.71402013
12,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,932802.0,908.0,183637,21.499,0.03508,3.902,19.992,15.997,20.002,1908387,4048881,2966580,10001158,18925006,978187,405051,1000000,370896,0.71319556
13,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,900211.0,1004.0,876288,21.541,0.02754,3.902,20.003,16.006,20.006,1907497,4049977,2974232,10003104,18934810,977797,404927,1000000,371647,0.71378905
14,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925094.0,950.0,119303,21.506,0.03304,3.894,20.002,15.99,20.004,1904138,4054177,2965156,10002103,18925574,977918,405371,1000000,370878,0.7133696
15,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,927968.0,936.0,122503,21.531,0.03357,3.903,19.997,15.999,20.002,1908293,4050292,2971984,10000988,18931557,977827,405097,1000000,371521,0.7137863
16,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,924633.0,972.0,415655,21.504,0.0327,3.893,20.009,16.007,20.001,1903826,4053614,2974294,10000671,18932405,977960,405176,1000000,371621,0.7134377
17,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925535.0,992.0,737231,21.486,0.03307,3.899,19.994,15.999,20.0,1906238,4052519,2965794,10000012,18924563,977821,405371,1000000,370740,0.71316123
18,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,910435.0,997.0,824720,21.533,0.02947,3.9,19.994,16.004,20.0,1906609,4050090,2974047,9999969,18930715,977714,405125,1000000,371664,0.71376497
19,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,924268.0,997.0,370371,21.529,0.03269,3.894,20.003,15.999,20.002,1904109,4040975,2969812,10000847,18915743,978009,404032,1000000,371255,0.7135994
20,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,927253.0,985.0,162270,21.528,0.03348,3.898,20.007,16.007,20.009,1905347,4042314,2973526,10004309,18925496,977648,404092,1000000,371533,0.7135287
21,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,925556.0,1028.0,436545,21.526,0.03321,3.897,20.002,15.998,20.005,1905352,4046008,2966809,10002679,18920848,977813,404560,1000000,370896,0.7134783
22,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,918964.0,978.0,113091,21.538,0.03117,3.909,20.001,16.004,19.991,1911301,4042446,2977774,9995491,18927012,977927,404225,1000000,372122,0.71383786
23,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,931482.0,956.0,234200,21.536,0.03462,3.909,20.006,15.994,19.992,1911376,4047227,2972269,9995798,18926670,977889,404599,1000000,371671,0.7139814
24,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,906434.0,984.0,141793,21.535,0.02884,3.9,20.011,15.993,19.995,1907191,4043973,2972950,9997426,18921540,978018,404165,1000000,371791,0.7139114
25,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,932236.0,956.0,973726,21.529,0.03486,3.905,19.999,16.004,20.0,1909500,4046660,2972759,9999817,18928736,978006,404684,1000000,371505,0.7137422
26,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,924797.0,997.0,394433,21.538,0.03262,3.905,20.008,15.997,20.0,1909821,4049809,2977170,9999803,18936603,978076,404828,1000000,372220,0.7141341
27,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,908002.0,969.0,364810,21.544,0.029,3.898,20.005,15.999,20.001,1906270,4046322,2975620,10000283,18928495,978023,404538,1000000,371983,0.7140945
28,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,926214.0,940.0,411977,21.521,0.03302,3.9,20.003,15.997,19.991,1906767,4053859,2969149,9995355,18925130,977931,405324,1000000,371221,0.7135864
29,angola,1000000,1000,2020-01-01,2020-12-31,hybrid,915930.0,925.0,219279,21.54,0.03059,3.903,19.993,15.995,19.999,1908607,4045467,2972179,9999418,18925671,977986,404697,1000000,371629,0.7138517
