,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,945861.0,5895.0,847579,37.232,0.02994,2.754,19.99,15.997,20.003,1268276,2086354,4623736,10001572,17979938,920925,208735,1000000,578069,0.9263488
1,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,942027.0,6145.0,19704,37.294,0.02872,2.759,19.994,16.005,19.995,1271092,2086878,4622112,9997329,17977411,921250,208752,1000000,577595,0.9271434
2,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,913470.0,5637.0,760565,37.257,0.02294,2.757,20.007,15.997,20.0,1270273,2086162,4626490,10000189,17983114,921452,208545,1000000,578436,0.9268615
3,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,939673.0,5969.0,187429,37.233,0.02814,2.754,19.989,16.008,19.995,1267731,2086777,4626242,9997610,17978360,920735,208789,1000000,577981,0.92636454
4,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,930899.0,5712.0,318520,37.27,0.02592,2.758,20.003,16.004,19.999,1269658,2087184,4625400,9999421,17981663,920599,208686,1000000,578016,0.9270009
5,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,930020.0,5737.0,495502,37.266,0.02575,2.763,20.005,15.997,20.008,1272675,2087213,4620188,10004135,17984211,921292,208664,1000000,577645,0.9269089
6,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,925635.0,5843.0,834736,37.251,0.02493,2.755,19.996,15.997,20.001,1268687,2082866,4618973,10000569,17971095,921152,208329,1000000,577490,0.9267066
7,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,934632.0,5919.0,683460,37.289,0.02677,2.756,20.003,16.007,20.005,1269665,2081957,4624486,10002375,17978483,921334,208162,1000000,577817,0.9273134
8,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,925645.0,5868.0,275345,37.247,0.02502,2.755,19.972,16.0,20.006,1269048,2087574,4616652,10003138,17976412,921314,209050,1000000,577097,0.92655164
9,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,931798.0,5904.0,783019,37.281,0.02622,2.763,19.997,16.004,20.002,1272665,2082939,4621688,10001127,17978419,921322,208320,1000000,577576,0.9270407
10,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,948350.0,5958.0,6308,37.263,0.03056,2.761,20.005,15.994,20.003,1272317,2077506,4623200,10001577,17974600,921633,207698,1000000,578111,0.9268522
11,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,936559.0,5957.0,358542,37.224,0.02724,2.76,19.995,16.0,20.002,1271348,2094208,4615842,10000788,17982186,921373,209471,1000000,576997,0.92617255
12,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,940194.0,5968.0,931378,37.234,0.02844,2.755,19.993,15.995,20.006,1269411,2084924,4618046,10002941,17975322,921404,208562,1000000,577432,0.92653906
13,armenia,1000000,1000,2020-01-01,2020-12-31,hybrid,886131.0,5519.0,324702,37.29,0.01962,2.76,20.003,16.002,19.999,1271518,2088418,4615963,9999373,17975272,921391,208807,1000000,576922,0.92686707
