,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,949283.0,5809.0,28605,40.01,0.03115,2.225,20.009,16.002,19.991,944116,2033232,4616239,9995272,17588859,848589,203235,1000000,576975,0.95672536
1,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,934071.0,5698.0,967290,40.037,0.02705,2.227,20.006,15.996,20.001,945004,2033707,4607387,10000374,17586472,848803,203309,1000000,576068,0.9570818
2,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,921622.0,5635.0,606257,39.997,0.02471,2.223,19.997,16.0,20.003,943630,2031594,4613601,10001561,17590386,849118,203192,1000000,576698,0.95650655
3,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,938357.0,5619.0,854349,40.022,0.02811,2.225,20.017,15.993,19.999,943310,2032720,4618594,9999440,17594064,848086,203097,1000000,577566,0.95686746
4,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,933723.0,5704.0,93092,40.069,0.02689,2.227,20.006,16.002,19.994,945188,2028443,4619188,9996823,17589642,848795,202785,1000000,577338,0.9572688
5,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,956232.0,5925.0,218207,40.05,0.03373,2.228,19.994,16.005,20.009,945814,2027309,4620507,10004606,17598236,849114,202789,1000000,577385,0.9570969
6,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,941396.0,5672.0,610578,40.02,0.02887,2.223,19.995,15.997,20.003,943107,2026363,4616589,10001656,17587715,848638,202685,1000000,577175,0.95692545
7,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,925269.0,5727.0,294267,40.001,0.02535,2.226,19.988,15.994,20.002,944364,2030893,4613665,10000768,17589690,848310,203209,1000000,576939,0.95645154
8,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,911058.0,5490.0,591896,40.011,0.02304,2.226,19.994,15.999,19.997,943881,2034349,4617630,9998346,17594206,848226,203499,1000000,577229,0.9566424
9,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,930701.0,5828.0,407971,40.064,0.02626,2.227,19.993,16.005,19.992,944733,2031621,4615223,9996213,17587790,848600,203229,1000000,576714,0.95730215
10,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,933249.0,5738.0,919830,40.03,0.02684,2.226,20.009,16.0,19.996,945122,2036559,4613482,9997833,17592996,849270,203561,1000000,576685,0.9569666
11,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,943043.0,5739.0,94345,40.025,0.02929,2.232,20.009,15.995,19.999,947394,2032996,4613768,9999456,17593614,848795,203212,1000000,576908,0.95678043
12,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,941851.0,5661.0,224361,40.055,0.02888,2.23,19.996,15.998,19.994,946954,2034170,4615155,9996814,17593093,849221,203459,1000000,576949,0.95718914
13,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,924664.0,5632.0,374253,40.036,0.02524,2.229,20.005,15.994,19.993,945981,2035203,4609366,9996561,17587111,848651,203466,1000000,576395,0.9568115
14,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,923466.0,5730.0,542960,40.034,0.02474,2.227,19.979,16.001,19.998,945359,2027061,4618254,9998823,17589497,848847,202918,1000000,577233,0.9570447
15,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,932334.0,5754.0,331785,40.021,0.02678,2.229,19.986,16.004,19.999,946059,2029286,4622840,9999609,17597794,848742,203074,1000000,577717,0.9567753
16,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,938531.0,5790.0,863944,40.026,0.02794,2.226,20.001,16.0,20.002,944979,2036687,4612033,10000904,17594603,848874,203656,1000000,576503,0.9566548
17,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,944056.0,5786.0,424774,40.031,0.02969,2.224,19.995,15.999,20.005,943854,2029094,4618658,10002417,17594023,848897,202965,1000000,577354,0.9570637
18,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,917028.0,5588.0,122688,40.062,0.0238,2.229,20.007,16.007,19.995,946838,2029146,4624032,9997710,17597726,849652,202840,1000000,577769,0.95731765
19,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,897482.0,5608.0,963492,40.046,0.02132,2.228,20.005,15.995,19.994,945974,2033934,4615923,9996781,17592612,849134,203338,1000000,577172,0.9570792
20,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,924887.0,5704.0,409360,40.031,0.02509,2.225,20.001,16.008,19.989,944740,2033986,4612324,9994640,17585690,849288,203392,1000000,576252,0.9570046
21,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,897165.0,5437.0,369184,40.06,0.02137,2.223,19.999,15.987,19.999,942560,2026510,4615099,9999449,17583618,848101,202662,1000000,577346,0.9570817
22,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,936206.0,5844.0,82957,40.081,0.02765,2.226,19.988,16.005,19.995,944927,2025484,4612936,9997654,17581001,848973,202675,1000000,576446,0.9574858
23,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,897193.0,5509.0,628608,40.066,0.02131,2.22,19.985,16.004,20.006,942221,2024444,4617430,10002966,17587061,848720,202598,1000000,577035,0.95743173
24,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,927176.0,5690.0,859493,40.035,0.02571,2.225,20.001,15.993,20.0,944499,2035308,4611447,10000101,17591355,849132,203520,1000000,576671,0.95679253
25,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,920635.0,5758.0,123000,40.071,0.02453,2.227,20.002,16.004,20.005,944822,2031042,4615104,10002411,17593379,848592,203080,1000000,576736,0.95753545
26,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,934449.0,5732.0,687280,40.044,0.02701,2.224,19.998,16.005,19.999,943495,2031799,4614851,9999403,17589548,848380,203199,1000000,576672,0.9571398
27,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,934580.0,5742.0,71106,40.004,0.02716,2.225,20.0,15.998,19.991,944391,2040178,4609953,9995542,17590064,848895,204021,1000000,576329,0.95668447
28,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,929644.0,5775.0,189785,40.034,0.02594,2.222,20.002,15.992,19.998,942945,2031569,4612924,9999008,17586446,848641,203140,1000000,576892,0.9571866
29,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,946055.0,5900.0,752656,40.042,0.03009,2.228,20.008,16.0,19.998,945413,2034800,4616617,9998797,17595627,848557,203394,1000000,577060,0.9571115
