,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,890449.0,7264.0,775544,39.376,0.02278,1.964,20.0,15.991,19.997,772837,2007466,4438670,9998473,17217446,786812,200743,1000000,555147,0.95278364
1,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,870995.0,7017.0,409135,39.398,0.02066,1.971,19.983,15.997,20.0,776517,2003874,4445958,9999871,17226220,787855,200560,1000000,555836,0.9528254
2,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,904366.0,7291.0,883731,39.406,0.02449,1.964,19.997,15.989,19.992,773212,2006373,4441634,9995864,17217083,787213,200671,1000000,555577,0.95310825
3,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,895427.0,7260.0,44166,39.334,0.02354,1.966,20.008,15.99,19.998,773222,2016027,4433332,9999148,17221729,786462,201518,1000000,554497,0.9519436
4,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,911649.0,7362.0,192588,39.346,0.02567,1.957,20.008,16.004,19.999,769122,2005216,4447621,9999722,17221681,785960,200446,1000000,555820,0.9521624
5,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,923666.0,7642.0,347694,39.324,0.02801,1.96,19.993,16.0,19.999,770674,2013424,4438246,9999330,17221674,786391,201414,1000000,554780,0.9520464
6,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,923280.0,7650.0,910398,39.415,0.02771,1.962,20.006,16.004,19.991,772109,2004501,4447101,9995695,17219406,787054,200390,1000000,555739,0.95307773
7,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,924477.0,7598.0,965157,39.382,0.02806,1.964,19.998,16.001,19.995,772810,2014249,4437158,9997464,17221681,786793,201444,1000000,554599,0.95250523
8,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,915303.0,7486.0,344601,39.312,0.02648,1.959,19.99,15.996,19.998,770610,2011356,4443378,9999067,17224411,786622,201240,1000000,555566,0.9518028
9,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,928338.0,7691.0,663557,39.347,0.02894,1.961,19.995,15.999,20.001,771568,2018942,4435472,10000683,17226665,786894,201947,1000000,554460,0.9521363
