,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,935751.0,9703.0,501417,43.3,0.02922,1.768,20.011,16.0,20.0,636331,1611002,4649977,9999943,16897253,719875,161008,1000000,581231,0.99829465
1,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,933190.0,9368.0,366006,43.251,0.02886,1.767,20.008,15.998,19.992,635460,1608275,4648147,9995921,16887803,719237,160766,1000000,581078,0.9978789
2,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,939623.0,9557.0,506867,43.276,0.03031,1.768,20.014,15.999,20.004,635617,1611108,4650644,10001971,16899340,719122,161001,1000000,581373,0.9980407
3,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,935439.0,9598.0,362428,43.244,0.02934,1.766,19.993,16.002,19.998,634776,1609088,4649855,9999006,16892725,719059,160964,1000000,581165,0.9978289
4,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,949310.0,9624.0,256966,43.264,0.03331,1.765,20.007,16.005,20.0,634706,1607016,4656153,9999870,16897745,719401,160643,1000000,581832,0.9979196
5,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,949505.0,9696.0,840916,43.296,0.0333,1.762,20.01,15.998,20.001,634683,1607116,4649119,10000676,16891594,720230,160634,1000000,581207,0.9982823
6,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,942967.0,9930.0,29892,43.289,0.03115,1.77,19.988,16.004,20.002,637808,1610863,4647094,10000869,16896634,720514,161181,1000000,580759,0.99815446
7,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,956844.0,9813.0,17790,43.228,0.0366,1.765,20.002,16.004,20.002,634332,1612000,4651245,10001045,16898622,718978,161180,1000000,581246,0.9976659
8,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,941857.0,9528.0,375039,43.225,0.03097,1.764,20.007,16.005,19.992,634908,1613176,4655542,9995758,16899384,719830,161261,1000000,581771,0.997662
9,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,934628.0,9613.0,933775,43.253,0.02895,1.765,19.99,16.004,19.996,635079,1607016,4654061,9998090,16894246,719476,160782,1000000,581607,0.99799305
10,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,926679.0,9294.0,149505,43.278,0.02729,1.765,20.003,16.001,20.002,634938,1607135,4657292,10000784,16900149,719437,160688,1000000,582116,0.9980976
11,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,922921.0,9339.0,529155,43.271,0.02665,1.763,20.002,16.012,20.0,633896,1609875,4655939,10000152,16899862,719234,160974,1000000,581562,0.9980561
12,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,953120.0,9870.0,718649,43.34,0.03459,1.764,20.003,15.996,20.004,635102,1604915,4648949,10002210,16891176,720007,160469,1000000,581276,0.99884474
13,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,935299.0,9503.0,974116,43.247,0.02909,1.765,19.996,16.0,19.999,634641,1613821,4650478,9999662,16898602,719243,161411,1000000,581297,0.9978079
14,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,947280.0,9583.0,993552,43.266,0.03251,1.766,19.998,15.995,19.999,634854,1608214,4650026,9999320,16892414,719163,160835,1000000,581436,0.99801725
15,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,951213.0,9911.0,256353,43.289,0.03398,1.762,19.984,15.993,20.0,632967,1609158,4651588,9999956,16893669,718584,161047,1000000,581718,0.9981772
16,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,941089.0,9673.0,542871,43.252,0.03055,1.768,20.01,16.007,19.993,635690,1609690,4653754,9996648,16895782,719265,160891,1000000,581482,0.9978583
17,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,951846.0,9815.0,99285,43.29,0.03421,1.768,19.998,16.0,19.997,636826,1604144,4651236,9998336,16890542,720420,160431,1000000,581421,0.99805677
18,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,942620.0,9643.0,635105,43.283,0.03125,1.766,20.009,16.0,19.999,634755,1609055,4652687,9999567,16896064,718748,160831,1000000,581599,0.9983048
19,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,941086.0,9563.0,833296,43.277,0.03071,1.767,20.012,15.997,20.0,635201,1611786,4648217,10000103,16895307,719012,161083,1000000,581118,0.998435
20,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,958839.0,9814.0,408040,43.228,0.0372,1.765,19.98,16.003,19.994,635266,1608446,4657952,9997063,16898727,719694,161003,1000000,582130,0.9977346
21,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,948669.0,9782.0,143876,43.283,0.03296,1.766,19.989,16.002,20.006,635185,1602984,4654591,10002788,16895548,719541,160389,1000000,581744,0.9981188
22,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,948741.0,9844.0,665969,43.277,0.0332,1.766,20.014,15.997,19.996,636094,1607560,4646104,9997934,16887692,720320,160642,1000000,580869,0.99824876
23,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,941943.0,9589.0,701736,43.261,0.03094,1.769,20.005,15.995,19.994,636419,1604786,4654781,9997174,16893160,719410,160437,1000000,582043,0.9982599
24,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,945397.0,9654.0,399982,43.238,0.03196,1.766,20.0,16.005,20.001,635133,1609874,4654515,10000673,16900195,719239,160987,1000000,581619,0.99781746
25,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,953548.0,9692.0,118395,43.315,0.03465,1.767,19.996,15.995,20.002,635547,1610810,4648758,10000833,16895948,719220,161115,1000000,581292,0.99867886
26,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,951117.0,9716.0,900184,43.257,0.03384,1.769,20.0,15.999,20.001,636019,1612570,4657254,10000537,16906380,718982,161254,1000000,582180,0.99791914
27,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,942290.0,9640.0,338423,43.272,0.03091,1.767,20.007,15.999,20.006,635390,1610815,4653063,10002996,16902264,719354,161025,1000000,581657,0.99777484
28,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,946783.0,9803.0,83116,43.287,0.03215,1.767,20.0,15.996,20.001,635112,1602835,4663450,10000650,16902047,718911,160281,1000000,583070,0.9982557
29,austria,1000000,1000,2020-01-01,2020-12-31,hybrid,952579.0,9901.0,493986,43.326,0.03432,1.767,20.0,16.005,20.0,636690,1604928,4653609,9999772,16894999,720680,160490,1000000,581502,0.9987064
