,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,943895.0,3215.0,570931,33.662,0.02692,3.658,20.01,16.001,20.003,1776089,2299092,4746298,10001739,18823218,971069,229798,1000000,593261,0.88341874
1,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,948191.0,3229.0,498903,33.633,0.02835,3.655,20.006,16.001,19.994,1774576,2304202,4745228,9997240,18821246,971034,230350,1000000,593104,0.88308305
2,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,925951.0,3071.0,216171,33.632,0.02305,3.65,19.992,15.995,20.003,1772848,2295770,4751812,10001720,18822150,971407,229670,1000000,594166,0.8831843
3,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,929208.0,3202.0,842602,33.651,0.02365,3.653,20.009,15.998,20.003,1773444,2299302,4744751,10001490,18818987,971023,229826,1000000,593185,0.8834981
4,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,948385.0,3178.0,992438,33.661,0.0283,3.65,19.979,15.997,20.0,1773181,2295386,4751314,9999822,18819703,971543,229775,1000000,594029,0.8836014
5,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,952180.0,3237.0,294926,33.653,0.0295,3.651,20.015,15.996,20.001,1773258,2296028,4756753,10000425,18826464,971511,229426,1000000,594727,0.88366675
6,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,940348.0,3199.0,171849,33.629,0.02613,3.648,19.999,16.002,19.999,1771794,2300059,4748876,9999440,18820169,971257,230021,1000000,593543,0.88316387
7,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,931752.0,3256.0,16500,33.673,0.02415,3.65,19.996,16.003,19.993,1772830,2289499,4754825,9996617,18813771,971292,228998,1000000,594232,0.8834944
8,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,938688.0,3164.0,362475,33.618,0.02562,3.644,20.002,15.994,19.992,1768694,2301685,4744749,9996015,18811143,970861,230147,1000000,593316,0.88310885
9,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,958778.0,3298.0,880598,33.652,0.03226,3.646,19.989,15.998,19.999,1770785,2298857,4748048,9999443,18817133,971460,230010,1000000,593581,0.8833524
10,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,929014.0,3171.0,650097,33.665,0.02353,3.659,19.986,15.995,20.005,1777149,2297914,4744655,10002276,18821994,971428,229954,1000000,593282,0.883546
11,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,938495.0,3236.0,309295,33.602,0.02567,3.663,20.009,16.007,20.007,1778568,2305925,4742632,10003469,18830594,971164,230485,1000000,592567,0.8828735
12,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,951429.0,3265.0,667237,33.642,0.02943,3.649,19.999,15.993,19.998,1771512,2303123,4743551,9998806,18816992,971083,230322,1000000,593207,0.8830634
13,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,947990.0,3183.0,177646,33.659,0.02836,3.649,19.998,16.002,20.002,1771601,2299220,4747609,10001198,18819628,971088,229941,1000000,593391,0.88355327
14,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,936688.0,3166.0,197633,33.64,0.0251,3.652,19.996,16.008,19.998,1773538,2302516,4753962,9998851,18828867,971327,230302,1000000,593951,0.88329655
15,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,951816.0,3286.0,77154,33.634,0.02949,3.648,20.013,15.994,20.003,1771681,2302612,4746579,10001601,18822473,971315,230115,1000000,593533,0.88317674
16,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,932349.0,3261.0,205523,33.612,0.02422,3.656,20.013,15.992,20.001,1775402,2301429,4743943,10000498,18821272,971168,229989,1000000,593276,0.88268155
17,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,949109.0,3239.0,779091,33.671,0.02852,3.656,20.009,16.011,19.998,1774965,2298970,4754015,9998898,18826848,971079,229794,1000000,593837,0.88386446
18,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,903698.0,3248.0,398203,33.591,0.02002,3.644,19.986,16.005,19.998,1769252,2306247,4745518,9998857,18819874,971179,230782,1000000,593014,0.8824919
19,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,941711.0,3223.0,423362,33.654,0.02643,3.647,20.011,16.001,19.999,1770731,2302287,4750082,9999470,18822570,971160,230101,1000000,593714,0.8833771
20,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,950366.0,3270.0,941481,33.656,0.0288,3.655,19.991,16.002,19.998,1775474,2297198,4750407,9999209,18822288,971510,229822,1000000,593745,0.8836138
21,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,908467.0,3109.0,891087,33.653,0.02053,3.655,20.008,15.995,19.992,1774825,2295970,4748933,9996056,18815784,971279,229501,1000000,593814,0.8834163
22,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,945993.0,3149.0,212102,33.618,0.02772,3.645,20.018,16.007,19.996,1769840,2309269,4746621,9998031,18823761,970998,230714,1000000,593086,0.88311857
23,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,953552.0,3141.0,891480,33.637,0.03007,3.649,20.011,16.005,19.996,1772234,2301714,4751230,9998099,18823277,971247,230043,1000000,593715,0.8830848
24,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,936900.0,3226.0,273771,33.64,0.02539,3.649,20.012,16.003,19.995,1771897,2301945,4745678,9997369,18816889,971152,230055,1000000,593105,0.88326913
25,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,925136.0,3163.0,917813,33.695,0.02285,3.652,19.998,16.006,20.008,1773625,2292140,4753204,10003903,18822872,971399,229239,1000000,593917,0.8839251
26,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,928025.0,3075.0,397801,33.646,0.02341,3.648,20.005,16.002,19.994,1771149,2303168,4748830,9997194,18820341,971010,230262,1000000,593523,0.8833292
27,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,944671.0,3279.0,611902,33.638,0.02724,3.651,19.998,16.008,19.999,1772793,2306352,4750574,9999460,18829179,971160,230662,1000000,593538,0.883507
28,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,951139.0,3278.0,438943,33.627,0.02921,3.651,19.999,15.995,20.002,1773041,2297226,4748633,10000786,18819686,971220,229737,1000000,593758,0.883173
29,azerbaijan,1000000,1000,2020-01-01,2020-12-31,hybrid,933163.0,3140.0,526152,33.654,0.02444,3.658,19.985,16.003,20.006,1775952,2296493,4753311,10002907,18828663,971062,229822,1000000,594070,0.8833622
