,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954598.0,3447.0,98159,34.252,0.03308,2.64,20.002,15.994,19.999,1200114,2512584,4650560,9999639,18362897,909061,251227,1000000,581546,0.89659864
1,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,959494.0,3518.0,80122,34.264,0.03501,2.639,19.995,15.993,20.006,1198988,2506684,4656489,10002862,18365023,908718,250729,1000000,582299,0.89662635
2,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,961018.0,3437.0,733360,34.222,0.03618,2.635,20.014,16.0,20.006,1197688,2512862,4655958,10003179,18369687,908893,251110,1000000,581978,0.89639026
3,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,966755.0,3403.0,596876,34.221,0.03953,2.636,20.014,16.008,19.999,1197685,2509225,4659670,9999655,18366235,908830,250751,1000000,582164,0.89640236
4,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954417.0,3325.0,120755,34.222,0.03301,2.64,20.018,16.003,19.997,1200225,2507659,4658831,9998539,18365254,909143,250545,1000000,582254,0.89622915
5,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,937821.0,3281.0,284969,34.211,0.02774,2.632,19.985,15.998,19.998,1195413,2506318,4657117,9998992,18357840,908397,250821,1000000,582216,0.8963318
6,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,940764.0,3344.0,685512,34.236,0.02822,2.634,19.994,16.001,20.007,1196734,2504189,4666119,10003266,18370308,908620,250495,1000000,583227,0.89655554
7,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954251.0,3313.0,905770,34.242,0.03292,2.636,20.009,16.003,20.002,1197746,2503246,4667993,10000951,18369936,908890,250213,1000000,583387,0.8965891
8,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,954620.0,3436.0,708070,34.232,0.03294,2.636,20.006,16.0,19.995,1197597,2509442,4657975,9997575,18362589,908700,250864,1000000,582254,0.89638144
9,bahamas,1000000,1000,2020-01-01,2020-12-31,hybrid,945967.0,3278.0,745152,34.266,0.02998,2.64,19.995,15.998,19.995,1199459,2503878,4665768,9997514,18366619,908708,250452,1000000,583299,0.8972871
