,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957026.0,2538.0,710269,30.141,0.03323,3.57,19.993,15.993,19.999,1728973,2928924,4349736,9999591,19007224,968515,292999,1000000,543939,0.8494407
1,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,955308.0,2635.0,113713,30.164,0.03234,3.584,20.007,16.005,20.0,1735660,2928299,4354542,9999752,19018253,968650,292729,1000000,544160,0.84955233
2,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957341.0,2661.0,40199,30.146,0.03312,3.576,19.996,15.992,19.999,1732187,2925223,4345052,9999258,19001720,968730,292578,1000000,543411,0.84926444
3,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,965561.0,2597.0,520478,30.138,0.03767,3.574,20.008,15.998,20.003,1731064,2939898,4340685,10001359,19013006,968705,293872,1000000,542670,0.8491334
4,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962317.0,2618.0,578497,30.197,0.03569,3.587,20.01,15.994,19.997,1737798,2925688,4353936,9998534,19015956,969011,292419,1000000,544457,0.8501243
5,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,961870.0,2578.0,389849,30.159,0.03545,3.581,19.997,15.995,19.999,1734660,2930879,4349606,9999517,19014662,968697,293129,1000000,543855,0.84946
6,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962662.0,2632.0,987686,30.173,0.03578,3.585,19.993,15.995,20.005,1736526,2923508,4353863,10002556,19016453,968784,292452,1000000,544404,0.84982866
7,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957553.0,2661.0,165138,30.167,0.03322,3.578,20.019,16.0,19.995,1732925,2933006,4355468,9997548,19018947,968734,293018,1000000,544428,0.84961146
8,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,952576.0,2664.0,904079,30.155,0.03108,3.589,19.978,16.005,19.994,1738692,2923402,4357580,9996931,19016605,968961,292660,1000000,544529,0.8496986
9,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962808.0,2655.0,411544,30.159,0.03574,3.584,19.989,16.005,19.999,1736441,2925564,4353626,9999461,19015092,968916,292724,1000000,544039,0.84963536
10,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,951296.0,2624.0,800745,30.144,0.03054,3.586,20.012,15.993,19.995,1737800,2937228,4344185,9997589,19016802,969104,293547,1000000,543275,0.849182
11,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,934369.0,2592.0,565483,30.127,0.02597,3.581,19.998,16.011,20.007,1734472,2936684,4345292,10003710,19020158,968777,293692,1000000,542780,0.84908354
12,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962328.0,2646.0,920033,30.153,0.03537,3.574,20.004,15.994,20.001,1731351,2931309,4352863,10000293,19015816,968864,293069,1000000,544306,0.8494484
13,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,965061.0,2618.0,81067,30.127,0.03703,3.572,20.01,15.992,20.004,1730431,2934946,4345065,10001981,19012423,968761,293352,1000000,543398,0.84922516
14,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956816.0,2582.0,812380,30.195,0.03289,3.579,20.002,15.99,19.994,1733080,2923680,4354664,9997247,19008671,968599,292335,1000000,544657,0.84986824
15,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,949520.0,2642.0,353262,30.165,0.0301,3.578,20.0,16.001,20.0,1732903,2922957,4357566,9999935,19013361,968620,292303,1000000,544662,0.84956926
16,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,965823.0,2683.0,101862,30.165,0.03739,3.578,19.993,16.005,20.0,1733251,2929041,4354298,10000056,19016646,968953,293011,1000000,544125,0.84973073
17,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,958058.0,2541.0,305443,30.172,0.03348,3.585,20.016,16.006,19.991,1736790,2930019,4352555,9995254,19014618,968937,292762,1000000,543878,0.8495293
18,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,959581.0,2586.0,801937,30.144,0.03406,3.581,19.994,16.002,19.999,1735137,2930871,4349569,9999728,19015305,969035,293180,1000000,543628,0.84958327
19,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,953057.0,2613.0,598560,30.172,0.03141,3.578,20.009,16.002,19.999,1733175,2925351,4356306,9999659,19014491,968797,292400,1000000,544468,0.8496643
20,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956402.0,2581.0,279052,30.182,0.03272,3.581,20.01,16.002,19.998,1735070,2928460,4356573,9998874,19018977,968955,292706,1000000,544506,0.8499249
21,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,951299.0,2633.0,803028,30.155,0.03066,3.579,19.994,15.993,20.007,1733352,2927226,4350960,10003410,19014948,968499,292813,1000000,544098,0.8494164
22,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,957202.0,2527.0,167581,30.179,0.03288,3.579,20.009,16.006,19.993,1733109,2931300,4355113,9996287,19015809,968536,293001,1000000,544180,0.849592
23,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,956273.0,2606.0,627132,30.153,0.03258,3.582,19.992,16.007,20.004,1734795,2932070,4352558,10002145,19021568,968701,293325,1000000,543835,0.84939504
24,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,936818.0,2451.0,659836,30.16,0.02634,3.573,20.004,15.992,19.995,1730669,2928265,4351676,9997648,19008258,968837,292769,1000000,544228,0.8495398
25,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,962292.0,2586.0,527612,30.133,0.03549,3.574,20.001,15.995,20.001,1731516,2930517,4353198,10000563,19015794,968847,293043,1000000,544311,0.84936404
26,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,952474.0,2608.0,697473,30.161,0.03097,3.579,20.006,16.001,20.0,1733762,2930439,4350704,10000114,19015019,968878,292955,1000000,543814,0.84966123
27,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,944155.0,2497.0,601983,30.113,0.0284,3.577,19.994,15.999,20.0,1732698,2938289,4346828,9999834,19017649,968819,293910,1000000,543400,0.8490351
28,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,968719.0,2614.0,728547,30.145,0.03954,3.579,20.006,15.998,20.003,1733795,2938138,4347688,10001591,19021212,968798,293722,1000000,543526,0.8493238
29,bangladesh,1000000,1000,2020-01-01,2020-12-31,hybrid,953165.0,2638.0,779301,30.207,0.03126,3.583,19.985,15.998,20.002,1735824,2916470,4356486,10000850,19009630,969004,291870,1000000,544637,0.8503228
