,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,952991.0,7499.0,205903,40.782,0.03593,1.915,20.0,16.007,20.002,740283,1698341,4780196,10001169,17219989,773208,169832,1000000,597263,0.96374947
1,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,952410.0,7568.0,438036,40.779,0.03597,1.92,19.999,15.999,19.998,741596,1693961,4780135,9999204,17214896,772533,169401,1000000,597563,0.96361023
2,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,960472.0,7502.0,77997,40.809,0.03977,1.923,19.985,16.001,19.999,743479,1692443,4776796,9999597,17212315,773253,169375,1000000,597058,0.9638965
3,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,959460.0,7329.0,93921,40.746,0.03929,1.917,20.008,16.002,19.997,740252,1699167,4778127,9998372,17215918,772176,169847,1000000,597183,0.9634176
4,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,954908.0,7329.0,561536,40.848,0.03679,1.922,20.002,16.009,19.999,742760,1691611,4774386,9999350,17208107,772973,169147,1000000,596474,0.9644935
5,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,948407.0,7300.0,810589,40.752,0.03423,1.914,20.007,16.003,20.002,740149,1694908,4784148,10000818,17220023,773379,169435,1000000,597893,0.9634893
6,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,946778.0,7307.0,396516,40.759,0.03348,1.918,19.988,16.002,20.001,740546,1703550,4774256,10000335,17218687,772106,170456,1000000,596718,0.96319455
7,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,958263.0,7366.0,739239,40.81,0.03853,1.916,19.994,15.994,19.998,740946,1696198,4778751,9998764,17214659,773475,169667,1000000,597576,0.96393853
8,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,958442.0,7408.0,205766,40.803,0.0385,1.918,20.016,15.998,20.002,742184,1692486,4778091,10000984,17213745,773741,169111,1000000,597343,0.9640229
9,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,944121.0,7346.0,826302,40.792,0.03262,1.921,19.999,15.995,19.998,742673,1693605,4773178,9999194,17208650,773347,169368,1000000,596850,0.96371484
10,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,962234.0,7509.0,568653,40.776,0.04083,1.918,20.005,16.001,19.995,740814,1694465,4780589,9997538,17213406,772654,169403,1000000,597527,0.96362066
11,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,939529.0,7283.0,715153,40.779,0.03116,1.916,20.002,15.997,19.999,740375,1697376,4775755,9999379,17212885,772788,169724,1000000,597075,0.9635954
12,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,950347.0,7435.0,793860,40.766,0.03504,1.918,19.992,15.998,20.002,740848,1698426,4775667,10001009,17215950,772414,169912,1000000,597031,0.9634317
13,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,941407.0,7434.0,710822,40.76,0.03184,1.917,19.998,16.004,20.002,740761,1693329,4782468,10000980,17217538,772698,169351,1000000,597656,0.9633909
