,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,777101.0,7501.0,253542,42.117,0.01524,1.832,20.003,15.989,20.001,680572,1824270,4418076,10000273,16923191,743070,182400,1000000,552635,0.98114055
1,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,713769.0,7020.0,400976,42.131,0.01329,1.832,20.027,15.993,20.002,681959,1822737,4429933,10000891,16935520,744564,182024,1000000,553993,0.9815119
2,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,868057.0,8890.0,50779,42.152,0.02039,1.835,20.002,15.996,20.0,682470,1822115,4428477,10000024,16933086,743742,182197,1000000,553691,0.9816097
3,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,891517.0,9171.0,933868,42.172,0.02278,1.832,20.012,15.994,19.997,681563,1824165,4430241,9998526,16934495,743965,182309,1000000,553972,0.9818127
4,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,818857.0,8205.0,712173,42.113,0.0172,1.83,19.99,15.993,20.003,680602,1822218,4425307,10001271,16929398,743922,182314,1000000,553394,0.9812093
5,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,623414.0,5997.0,779156,42.139,0.01138,1.83,20.001,15.998,19.999,680939,1822239,4423904,9999437,16926519,744342,182217,1000000,553071,0.98140293
6,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,877437.0,9072.0,853114,42.122,0.02135,1.827,20.0,16.007,20.0,679467,1823642,4427943,9999919,16930971,743713,182360,1000000,553264,0.9812121
7,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,887605.0,9208.0,454118,42.16,0.02234,1.836,20.002,16.005,20.001,683173,1820746,4432188,10000503,16936610,744060,182056,1000000,553850,0.9816206
8,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,430759.0,3939.0,441425,42.12,0.0089,1.832,20.003,15.997,19.998,681365,1821493,4425780,9999110,16927748,743696,182126,1000000,553318,0.9811572
9,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,766819.0,7705.0,981771,42.154,0.01493,1.832,20.004,16.003,20.002,681166,1821184,4427163,10000974,16930487,743542,182080,1000000,553296,0.9815679
10,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,786857.0,7829.0,435785,42.125,0.01576,1.831,20.004,15.998,20.0,680579,1826629,4423506,9999819,16930533,743269,182627,1000000,553017,0.9813192
11,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,863664.0,8793.0,276068,42.152,0.02012,1.827,20.004,15.996,19.993,680059,1821944,4423747,9996535,16922285,744260,182157,1000000,553106,0.9815118
12,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,790268.0,7771.0,179768,42.146,0.01586,1.827,20.002,15.998,20.0,679905,1819537,4428654,9999984,16928080,744188,181933,1000000,553648,0.98148423
13,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,668425.0,6498.0,167576,42.143,0.01221,1.829,20.009,16.005,19.997,679914,1821470,4428316,9998494,16928194,743485,182066,1000000,553370,0.98151815
14,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,849549.0,8569.0,276389,42.161,0.01897,1.833,19.997,15.995,20.004,681855,1824054,4422170,10002106,16930185,744031,182435,1000000,552952,0.98181784
15,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,641468.0,6158.0,298407,42.163,0.01167,1.833,19.993,16.001,19.999,682085,1816345,4424207,9999667,16922304,744105,181698,1000000,553006,0.98182654
16,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,508048.0,4742.0,527535,42.158,0.00971,1.831,19.994,15.987,19.996,680567,1819124,4425550,9998001,16923242,743515,181965,1000000,553657,0.9814092
17,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,743619.0,7359.0,380605,42.163,0.01413,1.831,19.991,16.0,19.992,681161,1819060,4427698,9996199,16924118,743989,181990,1000000,553473,0.981817
18,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,786440.0,7864.0,415901,42.178,0.01567,1.833,19.986,15.998,20.0,681809,1813039,4428725,10000211,16923784,744115,181427,1000000,553651,0.9821143
19,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,748519.0,7297.0,26506,42.184,0.0143,1.831,19.979,16.004,19.999,681579,1817509,4426170,9999706,16924964,744387,181941,1000000,553136,0.9820219
20,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,840014.0,8577.0,878471,42.119,0.01838,1.832,19.994,16.0,20.0,681551,1824117,4426479,9999871,16932018,743969,182466,1000000,553305,0.98129857
21,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,529028.0,4829.0,214135,42.172,0.00998,1.829,20.013,16.009,19.994,680293,1819212,4432532,9997105,16929142,743967,181801,1000000,553757,0.98182666
22,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,785934.0,7800.0,185133,42.155,0.0157,1.831,19.973,16.0,20.002,681655,1819850,4426402,10001116,16929023,744490,182228,1000000,553300,0.98175466
23,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,770559.0,7762.0,703886,42.129,0.01507,1.829,20.005,16.003,20.002,679927,1821336,4426662,10000914,16928839,743334,182092,1000000,553214,0.9814326
24,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,853870.0,8775.0,302949,42.212,0.01939,1.829,19.997,16.0,20.003,681000,1812059,4430197,10001437,16924693,744587,181233,1000000,553791,0.9822779
25,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,785082.0,7707.0,873873,42.123,0.01561,1.834,20.007,15.995,19.999,681593,1819140,4424595,9999716,16925044,743151,181853,1000000,553234,0.9814099
26,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,838134.0,8555.0,354357,42.149,0.01826,1.834,20.015,16.005,19.994,682327,1824106,4422390,9996817,16925640,744214,182273,1000000,552643,0.9816642
27,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,845003.0,8534.0,297311,42.152,0.0187,1.832,19.995,15.993,20.006,680780,1816966,4427337,10002776,16927859,743342,181744,1000000,553652,0.9813813
28,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,775123.0,7793.0,777260,42.165,0.01525,1.83,20.001,15.996,19.998,680702,1823746,4424867,9999054,16928369,743768,182364,1000000,553253,0.98171717
29,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,591699.0,5640.0,247282,42.181,0.01089,1.831,20.018,15.997,20.009,681354,1822610,4420028,10004749,16928741,744204,182097,1000000,552592,0.981772
