,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,923305.0,1846.0,898758,27.239,0.03074,2.743,19.99,15.999,20.008,1261775,3260986,3907291,10003844,18433896,920118,326265,1000000,488450,0.8057838
1,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,938793.0,1834.0,944648,27.187,0.0356,2.744,20.016,16.007,19.998,1261833,3273657,3895593,9998985,18430068,919792,327106,1000000,486750,0.8049113
2,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,931939.0,1796.0,356596,27.196,0.03346,2.745,20.014,16.007,20.004,1262125,3267466,3900717,10002223,18432531,919703,326518,1000000,487366,0.805203
3,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,911588.0,1678.0,665660,27.174,0.02843,2.741,20.014,15.99,19.998,1260554,3276033,3897701,9998919,18433207,919660,327369,1000000,487515,0.80511296
4,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,946852.0,1825.0,667419,27.203,0.03897,2.741,19.995,16.001,19.996,1260544,3275476,3897639,9997878,18431537,919751,327622,1000000,487178,0.805419
5,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,938950.0,1845.0,404540,27.217,0.03558,2.743,20.004,15.999,19.995,1261667,3269485,3901759,9997691,18430602,919839,326876,1000000,487755,0.8054382
6,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,945078.0,1811.0,789431,27.171,0.03831,2.741,20.004,15.992,19.995,1260472,3266803,3897066,9997723,18422064,919851,326609,1000000,487376,0.80503774
7,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,929397.0,1760.0,847555,27.224,0.03253,2.75,19.986,15.998,20.0,1265091,3259124,3902367,10000191,18426773,920120,326147,1000000,487862,0.805815
8,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,941317.0,1829.0,86959,27.189,0.03658,2.745,20.011,15.991,20.0,1262406,3268996,3895453,9999899,18426754,919740,326727,1000000,487209,0.8049094
9,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,929026.0,1769.0,917123,27.229,0.03252,2.75,20.012,15.997,20.003,1264419,3259350,3904269,10001420,18429458,919494,325732,1000000,488112,0.8054761
10,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,916621.0,1703.0,203223,27.207,0.02933,2.745,20.0,15.997,20.0,1262355,3272130,3899435,9999810,18433730,919690,327213,1000000,487514,0.80543524
11,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,926160.0,1688.0,191154,27.193,0.03163,2.743,20.013,16.001,20.004,1261879,3274012,3900960,10001876,18438727,919934,327193,1000000,487597,0.8051517
