,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,801258.0,3603.0,956888,35.171,0.01473,2.57,19.991,16.005,19.996,1158259,2329879,4678931,9998064,18165133,901336,233089,1000000,584672,0.90917784
1,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,735910.0,3315.0,949193,35.182,0.01262,2.564,20.017,16.009,19.998,1155272,2332143,4678835,9998950,18165200,900981,233021,1000000,584542,0.90955365
2,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,799293.0,3641.0,495510,35.161,0.01467,2.561,20.005,15.999,19.995,1152874,2331672,4674920,9997501,18156967,900413,233113,1000000,584388,0.9089792
3,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,804218.0,3638.0,816464,35.161,0.0149,2.559,19.998,16.001,19.994,1152769,2335779,4670119,9996842,18155509,900919,233605,1000000,583737,0.909076
4,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,730529.0,3237.0,832337,35.171,0.01245,2.564,20.012,16.008,20.003,1155175,2334912,4669445,10001370,18160902,901228,233349,1000000,583404,0.9088866
5,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,804375.0,3579.0,551950,35.182,0.01483,2.564,20.012,15.994,19.997,1154486,2324197,4673688,9998271,18150642,900640,232276,1000000,584439,0.90917015
6,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,849098.0,3828.0,742915,35.121,0.01724,2.567,20.013,16.002,19.994,1155857,2336427,4666711,9997010,18156005,900560,233496,1000000,583250,0.9085911
7,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,765479.0,3465.0,128856,35.133,0.01351,2.565,20.002,16.009,20.003,1155369,2333311,4669641,10001709,18160030,900765,233302,1000000,583382,0.9087189
8,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,812999.0,3669.0,574171,35.158,0.01526,2.568,20.001,15.997,19.998,1156185,2336136,4667226,9998887,18158434,900466,233598,1000000,583509,0.9092133
9,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,847186.0,3827.0,62672,35.206,0.01702,2.569,19.996,15.997,19.997,1157276,2324308,4676513,9998430,18156527,900899,232479,1000000,584684,0.90974814
10,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,829959.0,3681.0,477706,35.157,0.01611,2.566,19.997,16.007,19.998,1156429,2337602,4668333,9999135,18161499,901492,233791,1000000,583286,0.909046
11,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,712396.0,3168.0,225988,35.167,0.01208,2.565,20.003,16.002,19.997,1154589,2331956,4669368,9998544,18154457,900424,233162,1000000,583606,0.9089752
12,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,820169.0,3836.0,978299,35.168,0.01557,2.572,19.998,16.0,19.993,1158551,2335169,4669997,9996577,18160294,900809,233546,1000000,583734,0.9091236
13,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,860959.0,3926.0,259011,35.152,0.01795,2.566,20.007,16.0,20.002,1156282,2340665,4661915,10000987,18159849,901166,233984,1000000,582755,0.9088602
14,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,483425.0,2113.0,349368,35.198,0.0086,2.567,20.017,15.995,20.002,1156573,2328733,4670392,10001246,18156944,901025,232672,1000000,583971,0.90922856
15,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,816657.0,3661.0,721324,35.148,0.01535,2.565,19.997,15.996,20.008,1155129,2330786,4677670,10003967,18167552,900527,233119,1000000,584860,0.90914357
16,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,799370.0,3507.0,26981,35.161,0.0147,2.565,19.993,16.0,20.004,1154678,2328707,4672215,10002068,18157668,900333,232950,1000000,584020,0.9092148
