,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,938020.0,9301.0,80611,44.11,0.02951,1.815,19.984,16.003,20.003,667847,1562279,4575925,10001406,16807457,735942,156351,1000000,571869,1.0075961
1,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,939463.0,9400.0,585353,44.144,0.02978,1.808,20.0,16.014,19.999,666709,1561407,4584513,9999455,16812084,737646,156138,1000000,572575,1.0079186
2,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,950193.0,9284.0,396863,44.095,0.03312,1.813,20.003,15.993,20.006,667359,1560323,4583056,10003146,16813884,736291,156012,1000000,573121,1.0073572
3,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,946191.0,9131.0,801964,44.135,0.03172,1.812,20.007,16.004,20.006,668174,1563055,4583707,10003093,16818029,737425,156250,1000000,572804,1.0078292
4,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,947144.0,9220.0,202045,44.189,0.03207,1.818,20.0,16.0,20.0,670350,1552922,4580850,9999949,16804071,737630,155290,1000000,572610,1.0085498
5,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,932514.0,9100.0,614539,44.121,0.02807,1.813,20.013,15.995,20.0,668477,1567405,4573318,9999964,16809164,737367,156638,1000000,571831,1.007576
6,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,945733.0,9244.0,873114,44.106,0.03158,1.811,20.015,16.008,19.999,667766,1560389,4588784,9999404,16816343,737388,155919,1000000,573314,1.0075824
7,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,960892.0,9479.0,435490,44.088,0.03777,1.811,19.992,15.996,20.013,667681,1561284,4575732,10006296,16810993,737253,156187,1000000,572099,1.007084
8,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,955626.0,9444.0,610610,44.138,0.03521,1.812,20.012,16.003,19.998,667798,1556946,4578837,9998800,16802381,737108,155603,1000000,572244,1.0078723
9,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,964156.0,9355.0,246181,44.16,0.03943,1.815,20.0,15.996,20.002,668613,1558086,4577723,10000917,16805339,736920,155808,1000000,572360,1.0082107
10,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,955689.0,9614.0,64441,44.128,0.03545,1.813,19.994,16.008,20.004,668784,1560996,4576561,10002202,16808543,737700,156146,1000000,571773,1.007383
11,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,940190.0,9238.0,375607,44.108,0.02995,1.815,19.989,15.999,20.002,669151,1559650,4577768,10001003,16807572,737287,156054,1000000,572270,1.0073457
12,bulgaria,1000000,1000,2020-01-01,2020-12-31,hybrid,955005.0,9265.0,683211,44.172,0.03486,1.814,19.992,15.996,20.0,668815,1557551,4576451,10000165,16802982,737560,155814,1000000,572194,1.0080817
