,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,863602.0,982.0,883429,22.154,0.01922,4.966,20.001,15.998,20.003,2464454,3995209,3085896,10001543,19547102,992610,399505,1000000,385778,0.7263987
1,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,896532.0,965.0,468595,22.154,0.02275,4.961,19.993,16.015,19.993,2462398,3989813,3097508,9996334,19546053,992749,399125,1000000,386835,0.7265791
2,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,846261.0,957.0,552401,22.156,0.01789,4.959,20.006,15.988,20.002,2461540,4000175,3086511,10001110,19549336,992699,399890,1000000,386100,0.72643197
3,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,709610.0,825.0,1698,22.149,0.01211,4.96,20.002,16.007,19.998,2462411,3995351,3086494,9999152,19543408,992819,399500,1000000,385655,0.72637135
4,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,839184.0,930.0,368631,22.113,0.01752,4.963,19.99,15.998,19.999,2463557,3989139,3087763,9999262,19539721,992718,399109,1000000,386021,0.7257501
5,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,846245.0,955.0,680372,22.166,0.01796,4.957,20.001,16.012,20.002,2460216,3995331,3089917,10000954,19546418,992701,399507,1000000,385959,0.726427
6,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,644691.0,731.0,907974,22.18,0.01068,4.963,20.003,16.0,20.004,2463474,3993534,3095691,10002074,19554773,992661,399300,1000000,386963,0.7267077
7,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,704924.0,764.0,369780,22.16,0.01203,4.96,20.006,15.999,20.003,2461901,3993827,3088233,10001560,19545521,992785,399272,1000000,386042,0.7262314
8,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,678095.0,764.0,724072,22.139,0.01139,4.964,20.0,16.005,20.002,2464334,3991798,3088594,10000971,19545697,992792,399181,1000000,385960,0.7260816
9,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,688855.0,788.0,954847,22.149,0.01157,4.965,20.009,15.998,20.007,2464093,3996789,3088207,10003333,19552422,992668,399501,1000000,386080,0.72645235
10,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,782850.0,848.0,395992,22.171,0.01448,4.962,19.995,15.997,19.999,2462969,3992919,3088692,9999707,19544287,992679,399385,1000000,386163,0.72635704
11,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,851804.0,956.0,792788,22.155,0.01838,4.958,20.001,15.997,20.0,2460940,3991364,3086547,9999852,19538703,992695,399120,1000000,385880,0.7262692
12,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,864218.0,996.0,384850,22.123,0.01943,4.951,19.992,15.995,19.997,2457414,3988986,3083762,9998254,19528416,992763,399060,1000000,385589,0.72582746
13,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,846479.0,940.0,899166,22.117,0.01805,4.957,20.004,15.993,20.0,2460269,4000419,3079910,9999834,19540432,992736,399971,1000000,385156,0.7257632
14,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,766763.0,862.0,237909,22.12,0.0139,4.961,19.994,16.009,20.0,2462868,3991214,3086491,10000012,19540585,992823,399232,1000000,385602,0.7259244
15,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,697694.0,789.0,464801,22.165,0.01178,4.958,19.993,16.008,20.0,2460659,3987166,3092831,9999783,19540439,992650,398848,1000000,386407,0.72655886
16,burkina faso,1000000,1000,2020-01-01,2020-12-31,hybrid,843355.0,903.0,394771,22.131,0.01771,4.957,19.999,16.002,20.004,2460580,3998543,3085111,10001888,19546122,992732,399872,1000000,385600,0.7260045
