,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,701203.0,829.0,740597,22.145,0.01192,4.952,20.007,16.01,19.999,2457934,4004970,3086541,9999524,19548969,992673,400355,1000000,385568,0.7262416
1,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,874913.0,963.0,958905,22.148,0.02035,4.954,20.0,16.004,20.001,2459315,3995973,3086512,10000547,19542347,992843,399604,1000000,385726,0.7263295
2,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,418419.0,526.0,480656,22.156,0.00776,4.965,19.998,16.01,19.998,2464295,3997297,3088583,9999199,19549374,992732,399763,1000000,385832,0.7263763
3,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,758225.0,929.0,352030,22.15,0.0136,4.961,19.996,16.0,20.004,2462886,3991706,3087650,10002234,19544476,992830,399249,1000000,385957,0.7263881
4,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,773319.0,837.0,787036,22.135,0.01418,4.959,20.009,15.999,20.005,2461508,4003525,3083118,10002721,19550872,992725,400171,1000000,385409,0.7260085
5,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,834804.0,922.0,513645,22.146,0.01718,4.962,20.0,16.011,19.998,2462810,4001820,3085648,9998929,19549207,992697,400182,1000000,385448,0.72625643
6,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,860258.0,931.0,93258,22.149,0.01907,4.961,19.994,15.999,20.007,2462083,3999544,3083702,10003387,19548716,992654,400075,1000000,385491,0.726204
7,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,832467.0,944.0,617123,22.156,0.01707,4.954,20.004,15.999,20.0,2459133,3995951,3083761,9999780,19538625,992782,399510,1000000,385485,0.7263513
8,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,850764.0,961.0,385902,22.149,0.01835,4.955,20.006,16.001,20.003,2459705,3991578,3091341,10001438,19544062,992794,399047,1000000,386390,0.7263879
9,burkina,1000000,1000,2020-01-01,2020-12-31,hybrid,820609.0,938.0,657057,22.163,0.01637,4.957,20.007,16.018,19.995,2460560,3992930,3092096,9997252,19542838,992774,399145,1000000,386089,0.72638845
