,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,902144.0,1035.0,719329,21.797,0.02756,3.906,20.002,15.99,20.007,1910273,3934401,3076964,10003578,18925216,978104,393393,1000000,384865,0.72214854
1,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,880601.0,1007.0,526206,21.775,0.02428,3.91,19.998,16.001,20.004,1912690,3937322,3074069,10001880,18925961,978251,393780,1000000,384229,0.72200084
2,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,866920.0,1004.0,638073,21.783,0.02263,3.922,20.005,16.002,19.992,1918008,3933584,3079291,9995782,18926665,978167,393266,1000000,384870,0.7222809
3,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,871087.0,1003.0,513682,21.786,0.02316,3.912,20.005,16.013,19.995,1913355,3938309,3076996,9997399,18926059,978193,393731,1000000,384321,0.72187495
4,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,871678.0,968.0,559559,21.771,0.02323,3.916,19.999,15.993,20.003,1915486,3926822,3074027,10001586,18917921,978301,392705,1000000,384421,0.7218921
5,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,894568.0,1028.0,832033,21.777,0.02633,3.915,20.008,16.003,19.992,1914678,3948351,3069458,9996208,18928695,978091,394678,1000000,383617,0.7219435
6,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,910162.0,941.0,553233,21.778,0.029,3.913,19.997,16.012,19.996,1913870,3938158,3074049,9997753,18923830,978247,393870,1000000,383970,0.72152317
7,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,880641.0,942.0,571057,21.779,0.02429,3.921,19.982,15.997,20.0,1918131,3937208,3072272,9999845,18927456,978357,394081,1000000,384112,0.7219592
8,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,892494.0,934.0,763033,21.765,0.02589,3.911,20.014,15.999,20.005,1912910,3949642,3074268,10002535,18939355,978280,394685,1000000,384304,0.72188467
9,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,882621.0,1015.0,541430,21.779,0.02456,3.91,20.008,15.992,19.997,1912623,3930952,3075595,9998539,18917709,978297,392946,1000000,384652,0.7220133
10,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,911015.0,955.0,979998,21.744,0.02924,3.905,19.993,16.001,19.997,1909926,3944341,3069078,9998435,18921780,978075,394568,1000000,383604,0.72133
11,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,896701.0,1039.0,664657,21.771,0.02663,3.907,20.008,15.993,20.0,1910971,3935329,3074452,10000097,18920849,978318,393367,1000000,384471,0.7220019
12,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,914616.0,997.0,735191,21.802,0.02987,3.913,19.988,16.004,20.0,1913992,3926835,3082605,9999817,18923249,978246,392914,1000000,385235,0.7224353
13,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,922117.0,1022.0,995586,21.751,0.03171,3.909,19.988,15.997,19.996,1911982,3935046,3068911,9997987,18913926,978300,393745,1000000,383684,0.7213122
14,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,892666.0,984.0,674557,21.77,0.02589,3.917,20.001,15.995,20.0,1916660,3939900,3073655,9999961,18930176,978584,393977,1000000,384331,0.7219548
15,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,915604.0,966.0,532101,21.793,0.02998,3.916,19.997,16.003,20.009,1915277,3936650,3079278,10004654,18935859,978217,393728,1000000,384836,0.722228
16,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,900621.0,980.0,152845,21.774,0.02725,3.917,19.993,16.01,19.996,1916218,3935894,3079943,9997888,18929943,978312,393729,1000000,384751,0.7218857
17,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,865790.0,982.0,49929,21.779,0.02256,3.914,19.998,15.998,20.002,1915107,3936106,3073453,10001239,18925905,978516,393646,1000000,384223,0.72178423
18,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,880840.0,979.0,895189,21.771,0.02422,3.916,20.002,15.995,19.988,1915510,3939571,3070954,9994096,18920131,978229,393912,1000000,383997,0.72186965
19,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,919606.0,995.0,543555,21.813,0.03097,3.919,20.008,15.991,20.003,1916892,3934621,3078887,10001329,18931729,978277,393297,1000000,385086,0.72245413
20,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,916657.0,1059.0,540135,21.763,0.03044,3.907,20.004,15.99,19.998,1911134,3937509,3071661,9999098,18919402,978297,393679,1000000,384186,0.72164905
21,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,882493.0,917.0,492681,21.796,0.02459,3.917,19.989,15.993,20.002,1915901,3933602,3079098,10000770,18929371,978231,393568,1000000,385062,0.722391
22,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,902629.0,974.0,268779,21.758,0.02752,3.924,20.002,16.0,19.999,1919383,3940684,3073469,9999601,18933137,978400,394035,1000000,384195,0.7218876
23,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,902758.0,960.0,581244,21.799,0.02763,3.914,19.993,15.984,20.0,1914627,3928967,3080433,9999814,18923841,978270,393037,1000000,385433,0.7223611
24,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,874445.0,920.0,848579,21.766,0.02358,3.91,20.015,16.006,19.999,1912768,3941765,3077106,9999657,18931296,978368,393881,1000000,384500,0.72170883
25,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,843842.0,1007.0,973718,21.765,0.02043,3.916,20.009,16.008,20.0,1915329,3945399,3075652,10000248,18936628,978270,394365,1000000,384269,0.72170705
26,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,917701.0,979.0,531622,21.767,0.03059,3.913,19.993,15.996,19.998,1913883,3940010,3072121,9999178,18925192,978283,394147,1000000,384101,0.72172934
27,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,895873.0,992.0,411438,21.766,0.02647,3.918,19.987,15.993,20.005,1915944,3928314,3076221,10002682,18923161,978126,393078,1000000,384707,0.72191983
28,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,907020.0,974.0,380030,21.77,0.02834,3.916,19.991,16.0,19.997,1915220,3930698,3078135,9998350,18922403,978212,393241,1000000,384756,0.72189087
29,burundi,1000000,1000,2020-01-01,2020-12-31,hybrid,889072.0,988.0,920012,21.762,0.02537,3.923,19.998,16.009,19.999,1918956,3932132,3077849,9999620,18928557,978329,393248,1000000,384518,0.7218468
