,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,843588.0,1789.0,148551,28.237,0.01673,3.709,20.005,16.005,20.0,1804849,3071745,4117070,9999972,18993636,973176,307099,1000000,514459,0.82385445
1,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,736579.0,1548.0,344620,28.22,0.01233,3.711,20.003,16.001,20.003,1805635,3072645,4124457,10001690,19004427,973156,307223,1000000,515518,0.82378757
2,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,793288.0,1732.0,243737,28.241,0.01417,3.71,19.997,16.003,19.999,1805082,3076456,4115672,9999478,18996688,973037,307694,1000000,514350,0.8241469
3,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,747713.0,1556.0,529452,28.207,0.01268,3.706,20.009,16.002,19.997,1803188,3078806,4119630,9998365,18999989,973068,307748,1000000,514896,0.82334006
4,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,795490.0,1734.0,995409,28.214,0.01426,3.705,20.008,16.008,20.005,1802665,3078130,4115903,10002621,18999319,972983,307689,1000000,514221,0.8234431
5,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,778630.0,1612.0,138114,28.234,0.01366,3.704,20.006,15.998,20.004,1802076,3064584,4120825,10002225,18989710,973097,306374,1000000,515177,0.8238222
6,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,490316.0,980.0,153018,28.225,0.0083,3.713,20.005,15.996,20.006,1807291,3080837,4116381,10003130,19007639,973490,308010,1000000,514661,0.8240144
7,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,816229.0,1739.0,58288,28.232,0.01517,3.717,20.015,15.998,19.996,1808971,3075156,4118037,9997974,19000138,973240,307284,1000000,514808,0.82363325
8,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,756166.0,1557.0,261883,28.222,0.01293,3.707,19.997,16.001,19.998,1804028,3072559,4120266,9998987,18995840,973179,307299,1000000,515010,0.8236242
9,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,888274.0,1875.0,538537,28.261,0.02029,3.71,20.007,15.994,20.002,1805015,3073350,4121277,10001119,19000761,973036,307235,1000000,515359,0.824131
10,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,873551.0,1809.0,122186,28.214,0.0189,3.715,20.0,16.0,19.999,1807221,3065488,4120278,9999412,18992399,972942,306556,1000000,515042,0.8235656
11,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,804204.0,1689.0,603385,28.202,0.01474,3.715,20.009,15.987,20.004,1807618,3071729,4118373,10001814,18999534,973041,307030,1000000,515224,0.82334745
12,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,839286.0,1758.0,284836,28.239,0.01649,3.715,19.989,15.993,20.005,1807533,3072140,4116862,10002523,18999058,973088,307380,1000000,514822,0.8236558
13,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,868390.0,1876.0,850185,28.221,0.01856,3.713,19.995,16.002,19.996,1806140,3073835,4119041,9997847,18996863,972757,307468,1000000,514802,0.82357264
14,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,899293.0,1893.0,120443,28.204,0.02168,3.703,19.999,16.004,20.001,1801621,3070263,4116863,10000598,18989345,972967,307044,1000000,514476,0.8233954
15,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,652464.0,1508.0,241139,28.222,0.01044,3.706,20.01,15.999,20.002,1802577,3066907,4117921,10000887,18988292,972733,306542,1000000,514764,0.82358974
16,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,889077.0,1797.0,469547,28.227,0.02053,3.714,20.001,15.99,19.999,1806564,3075088,4112676,9999604,18993932,972958,307487,1000000,514410,0.82358176
17,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,818019.0,1675.0,722394,28.211,0.0153,3.708,19.995,16.009,20.014,1804496,3074739,4122934,10006919,19009088,973196,307548,1000000,515078,0.82345736
18,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,766063.0,1593.0,258319,28.224,0.01321,3.707,20.009,15.984,20.004,1802970,3074716,4112719,10002191,18992596,972817,307332,1000000,514605,0.8236943
19,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,891580.0,1865.0,108771,28.216,0.02084,3.711,19.996,16.003,20.002,1805423,3076020,4119780,10001155,19002378,972882,307670,1000000,514863,0.823532
20,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,849163.0,1722.0,324185,28.228,0.0171,3.709,20.016,16.005,19.997,1804883,3072344,4120940,9998688,18996855,973156,306995,1000000,514956,0.8238202
21,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,880269.0,1718.0,172804,28.253,0.01954,3.712,20.018,15.998,19.999,1805824,3074316,4117405,9999432,18996977,972911,307159,1000000,514740,0.82394
22,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,749519.0,1586.0,606966,28.263,0.01263,3.709,20.0,15.991,20.001,1804773,3067624,4121652,10000736,18994785,973080,306765,1000000,515496,0.8241994
23,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,878392.0,1795.0,85374,28.254,0.01935,3.71,19.989,15.997,19.998,1805532,3070869,4122118,9999115,18997634,973239,307261,1000000,515365,0.82420605
24,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,839936.0,1690.0,104823,28.247,0.01651,3.712,19.995,15.991,20.006,1805358,3066899,4118844,10003135,18994236,972817,306764,1000000,515154,0.8241296
25,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,743670.0,1559.0,944277,28.23,0.01251,3.711,20.003,15.994,19.993,1805985,3070880,4115610,9996531,18989006,973337,307047,1000000,514654,0.82386476
26,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,720702.0,1514.0,511090,28.216,0.01187,3.716,19.998,15.99,20.004,1808037,3070886,4114763,10002133,18995819,973112,307120,1000000,514654,0.8234172
27,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,836403.0,1744.0,405454,28.216,0.01642,3.701,19.999,15.996,19.998,1800270,3075143,4115619,9999026,18990058,972922,307535,1000000,514571,0.8234984
28,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,847377.0,1758.0,40132,28.254,0.017,3.704,19.989,16.001,19.995,1801580,3074001,4121807,9997543,18994931,972902,307565,1000000,515189,0.8242694
29,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,811082.0,1742.0,282669,28.233,0.01495,3.706,20.001,15.999,20.004,1803280,3076118,4115232,10001994,18996624,973120,307604,1000000,514446,0.8236336
