,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,939750.0,1065.0,191813,23.044,0.03402,4.067,19.993,15.999,19.993,1996093,3848698,3266177,9996263,19107231,981655,385008,1000000,408285,0.7420469
1,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,951293.0,1168.0,850726,23.018,0.03849,4.061,20.003,16.005,19.995,1992997,3848813,3268873,9997359,19108042,981589,384828,1000000,408472,0.74184436
2,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,940560.0,1159.0,750228,23.028,0.03431,4.072,19.991,15.997,19.999,1998121,3849532,3262710,9999342,19109705,981515,385118,1000000,407922,0.74202263
3,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,937063.0,1055.0,271910,23.008,0.03338,4.059,20.005,15.998,20.002,1991667,3852565,3261644,10001204,19107080,981392,385158,1000000,407765,0.74147767
4,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,934728.0,1160.0,731894,23.039,0.03228,4.066,19.996,15.996,19.995,1995711,3851228,3271419,9997595,19115953,981611,385192,1000000,409020,0.7422329
5,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,950021.0,1194.0,433669,23.039,0.03795,4.065,20.002,15.987,20.005,1995650,3857096,3259010,10002432,19114188,981831,385670,1000000,407718,0.7420252
6,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,941393.0,1178.0,469404,23.043,0.03441,4.074,19.99,16.007,20.004,1999363,3848859,3266245,10002239,19116706,981565,385076,1000000,408096,0.7421864
7,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,937381.0,1127.0,243730,23.031,0.03324,4.071,19.991,15.998,19.998,1997631,3848519,3268833,9999150,19114133,981425,385025,1000000,408651,0.74202925
8,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,945688.0,1052.0,674372,22.995,0.03613,4.066,20.009,16.001,20.002,1995238,3853370,3264294,10001150,19114052,981474,385161,1000000,408011,0.7415491
9,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,958883.0,1105.0,819831,23.027,0.04246,4.061,20.003,16.004,19.992,1992882,3847201,3267636,9995914,19103633,981470,384666,1000000,408343,0.7419089
10,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,930045.0,1174.0,260466,23.039,0.03114,4.067,20.005,16.019,19.996,1995747,3851450,3269668,9998115,19114980,981431,385041,1000000,408230,0.74210316
11,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,944870.0,1142.0,19628,23.022,0.03602,4.062,19.989,15.994,19.998,1993125,3856118,3259196,9998943,19107382,981367,385818,1000000,407554,0.7417214
12,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,940134.0,1115.0,79382,23.035,0.03401,4.072,20.005,15.997,20.002,1998586,3854511,3262794,10001135,19117026,981724,385360,1000000,407920,0.74214816
13,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,920847.0,1108.0,973453,23.03,0.02881,4.067,19.991,15.997,19.996,1996364,3850658,3268063,9998010,19113095,981754,385236,1000000,408593,0.7423191
14,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,950227.0,1128.0,359780,23.035,0.03798,4.07,20.003,16.002,19.999,1997256,3851034,3268636,9999539,19116465,981552,385038,1000000,408533,0.7420205
15,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,951352.0,1133.0,747300,23.065,0.03855,4.063,19.999,15.997,19.994,1994471,3848381,3266677,9997156,19106685,981792,384851,1000000,408403,0.74247783
16,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,943639.0,1075.0,205747,23.032,0.03509,4.068,20.0,16.007,19.997,1996382,3855421,3271525,9998554,19121882,981534,385545,1000000,408759,0.74208695
17,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,939377.0,1070.0,794744,22.976,0.03414,4.062,20.004,15.988,20.003,1993299,3856759,3258437,10001725,19110220,981334,385599,1000000,407623,0.74114066
18,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,947166.0,1115.0,423928,23.051,0.03663,4.071,20.011,16.0,20.0,1998040,3849954,3267619,9999777,19115390,981661,384780,1000000,408449,0.7421926
19,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,958457.0,1166.0,479180,23.025,0.0422,4.063,20.019,16.005,19.998,1994195,3851257,3265049,9998953,19109454,981563,384769,1000000,408002,0.7419433
20,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,939963.0,1135.0,598273,23.014,0.0341,4.063,19.995,15.995,19.999,1994499,3861540,3259842,9999400,19115281,981765,386257,1000000,407599,0.7416809
21,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,946579.0,1098.0,925382,23.011,0.03668,4.062,19.995,15.999,19.996,1993075,3845532,3266394,9997941,19102942,981360,384657,1000000,408316,0.74177456
22,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,944723.0,1171.0,268350,23.041,0.03572,4.067,20.004,16.005,19.997,1996161,3857855,3266992,9998317,19119325,981570,385714,1000000,408259,0.74239445
23,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,903514.0,1116.0,854150,23.02,0.02558,4.074,19.976,16.004,19.994,2000001,3851629,3259618,9997244,19108492,981735,385631,1000000,407349,0.741666
24,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,939947.0,1202.0,966887,23.012,0.03417,4.072,19.997,16.006,20.001,1998445,3853569,3264002,10000427,19116443,981621,385407,1000000,407835,0.74179757
25,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,950947.0,1134.0,540184,23.004,0.03827,4.065,20.006,16.003,19.998,1994617,3854052,3266498,9998915,19114082,981426,385288,1000000,408240,0.7416831
