,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,946415.0,8271.0,601401,41.826,0.03213,1.894,19.991,15.998,20.0,724923,1742944,4603443,9999878,17071188,765630,174371,1000000,575510,0.98447084
1,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,950061.0,8525.0,864801,41.8,0.03341,1.89,19.989,15.998,20.006,722202,1738775,4610067,10003041,17074085,764078,173976,1000000,576344,0.9842378
2,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952291.0,8336.0,64566,41.812,0.03403,1.896,19.991,16.002,19.998,725087,1740583,4612123,9998767,17076560,765039,174141,1000000,576461,0.9844261
3,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,956823.0,8633.0,413520,41.816,0.03628,1.892,19.994,15.999,19.999,723723,1741873,4606074,9999553,17071223,765007,174241,1000000,575811,0.9844004
4,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952103.0,8415.0,993849,41.729,0.03441,1.893,19.997,16.01,20.002,724068,1745632,4610610,10001050,17081360,764885,174591,1000000,575968,0.9833848
5,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,943947.0,8127.0,416848,41.758,0.03131,1.892,20.035,15.998,19.996,723324,1746335,4608122,9997917,17075698,764650,174326,1000000,576080,0.98392487
6,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952339.0,8383.0,459272,41.796,0.03439,1.896,20.009,15.993,20.003,725550,1740688,4607459,10001532,17075229,765447,173991,1000000,576196,0.9844228
7,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,935293.0,8377.0,80472,41.809,0.02898,1.89,19.998,16.008,20.001,723133,1742980,4610361,10000530,17077004,765193,174316,1000000,576021,0.984456
8,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,949957.0,8430.0,86972,41.835,0.03342,1.894,20.01,15.994,20.0,725078,1740088,4608733,10000042,17073941,765479,173921,1000000,576311,0.9847303
9,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952305.0,8492.0,128423,41.818,0.03445,1.891,19.992,16.004,19.996,723817,1743565,4606396,9997982,17071760,765412,174428,1000000,575664,0.9845022
10,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,943550.0,8419.0,885539,41.8,0.03125,1.899,19.991,16.002,20.002,726346,1746108,4604703,10001142,17078299,764982,174692,1000000,575520,0.98419285
11,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,953349.0,8343.0,948136,41.771,0.03463,1.894,20.013,16.004,19.995,724333,1743117,4607434,9997522,17072406,764872,174197,1000000,575772,0.98409986
12,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,944039.0,8321.0,99069,41.808,0.03137,1.894,20.013,15.998,20.003,724868,1742455,4613962,10001609,17082894,765522,174133,1000000,576831,0.9842317
13,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,951565.0,8453.0,350042,41.803,0.03385,1.894,19.988,16.01,19.997,725203,1746680,4604577,9998532,17074992,765663,174772,1000000,575230,0.9839924
14,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,949538.0,8525.0,802051,41.811,0.03318,1.894,19.998,16.001,20.002,724239,1738721,4619980,10000978,17083918,764679,173893,1000000,577469,0.9844372
15,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,938117.0,8253.0,283671,41.821,0.02961,1.89,19.995,16.0,19.997,723011,1739109,4609667,9998673,17070460,765221,173957,1000000,576200,0.9845039
16,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,951888.0,8327.0,984673,41.795,0.03396,1.891,19.995,16.006,20.007,722557,1742807,4607474,10003727,17076565,764266,174325,1000000,575712,0.98410743
17,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,955374.0,8467.0,930520,41.797,0.03553,1.894,19.983,15.997,20.006,724351,1745944,4607270,10003248,17080813,764813,174746,1000000,576027,0.9843998
18,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,950795.0,8474.0,439154,41.787,0.03374,1.893,19.996,16.001,19.996,724480,1741723,4610202,9998007,17074412,765374,174210,1000000,576255,0.9842099
19,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,952559.0,8632.0,366162,41.772,0.0345,1.889,20.005,15.996,20.004,722678,1743905,4609633,10002116,17078332,765087,174351,1000000,576334,0.98381037
20,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,955750.0,8434.0,951785,41.786,0.0356,1.896,19.982,15.994,20.001,725299,1746430,4604854,10000375,17076958,764924,174800,1000000,575834,0.9842351
21,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,946834.0,8479.0,570282,41.815,0.0322,1.894,20.003,16.002,19.997,724486,1738523,4612608,9998734,17074351,764835,173825,1000000,576515,0.98448014
22,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,948682.0,8434.0,318094,41.797,0.03304,1.894,19.989,16.0,19.997,724190,1742533,4611107,9998724,17076554,764654,174350,1000000,576380,0.9842331
23,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,950856.0,8332.0,849452,41.782,0.03367,1.893,19.997,16.001,20.004,724693,1742060,4603451,10001882,17072086,765568,174235,1000000,575401,0.98395175
24,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,954771.0,8558.0,879750,41.823,0.03523,1.894,20.009,16.008,20.003,725243,1741500,4602651,10001452,17070846,765931,174071,1000000,575046,0.9842691
25,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,945989.0,8541.0,10915,41.816,0.03191,1.895,19.991,16.008,19.995,724692,1741641,4613234,9997393,17076960,764950,174246,1000000,576372,0.984495
26,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,953035.0,8498.0,585014,41.764,0.03465,1.892,19.984,15.995,19.995,724322,1745509,4602479,9997428,17069738,765511,174688,1000000,575473,0.98359984
27,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,949082.0,8481.0,708710,41.783,0.03297,1.891,19.989,16.002,20.0,723641,1740821,4611265,9999910,17075637,765163,174181,1000000,576332,0.9839554
28,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,949280.0,8414.0,710187,41.807,0.03312,1.891,20.008,15.996,20.0,723615,1740658,4608024,10000249,17072546,765138,173997,1000000,576148,0.9845123
29,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,950040.0,8435.0,339778,41.816,0.0334,1.894,20.0,15.996,20.001,725177,1735892,4612941,10000280,17074290,765627,173593,1000000,576747,0.98411816
