,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,729855.0,977.0,577170,22.334,0.01385,3.989,20.008,15.995,19.996,1954520,4151890,3003168,9998048,19107626,979918,415023,1000000,375517,0.73151
1,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,701221.0,925.0,448099,22.28,0.01294,3.987,19.993,16.011,20.002,1952702,4156354,3006634,10001006,19116696,979649,415776,1000000,375568,0.731342
2,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,760650.0,977.0,753649,22.319,0.01493,3.989,19.987,15.997,19.996,1954415,4154237,3006524,9997911,19113087,979875,415693,1000000,375893,0.7317862
3,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,810145.0,1037.0,170260,22.312,0.01722,3.983,20.015,15.988,20.008,1950888,4160159,3002195,10003866,19117108,979611,415701,1000000,375549,0.73159975
4,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,777328.0,987.0,429037,22.337,0.01551,3.997,20.01,15.994,20.004,1958341,4153336,3008994,10002143,19122814,979947,415123,1000000,376266,0.7320393
5,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,716762.0,986.0,122736,22.344,0.01335,3.987,20.007,16.006,20.01,1953459,4149379,3008072,10005023,19115933,979856,414785,1000000,375872,0.73209244
6,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,824299.0,1055.0,803837,22.348,0.01795,3.988,19.992,15.992,19.998,1953945,4150483,3009234,9998817,19112479,979903,415205,1000000,376346,0.73227984
7,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,868920.0,1109.0,441134,22.323,0.02176,3.981,19.99,15.999,20.003,1950582,4151534,3008554,10001463,19112133,979909,415354,1000000,376095,0.7316955
8,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,413442.0,577.0,938872,22.314,0.00839,3.986,20.005,16.0,19.993,1952309,4162907,2997172,9996342,19108730,979629,416194,1000000,374654,0.7316388
9,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,817495.0,1120.0,304362,22.32,0.01769,3.986,20.002,15.986,20.0,1952736,4150227,3003644,10000218,19106825,979870,414971,1000000,375773,0.73161227
10,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,838576.0,1048.0,314853,22.308,0.01906,3.982,20.009,16.002,20.0,1951157,4157900,3005805,10000083,19114945,980076,415597,1000000,375678,0.73142993
11,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,729772.0,933.0,899422,22.326,0.01377,3.989,20.009,16.004,20.002,1954282,4162378,3003374,10001150,19121184,979936,416044,1000000,375333,0.73207086
12,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,749664.0,972.0,711535,22.345,0.01446,3.989,20.003,16.002,19.998,1953592,4150613,3009184,9998993,19112382,979610,415001,1000000,376112,0.7319241
13,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,853827.0,1074.0,765742,22.361,0.02018,3.988,19.996,15.993,19.997,1953696,4149017,3011737,9998665,19113115,979837,414985,1000000,376623,0.73234034
14,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,752325.0,1016.0,217858,22.322,0.01454,3.996,19.996,16.007,19.989,1957693,4153674,3004484,9994275,19110126,979822,415442,1000000,375392,0.7318822
15,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,857560.0,1149.0,237511,22.352,0.02054,3.99,19.994,16.006,19.999,1954762,4147213,3013982,9999595,19115552,979844,414841,1000000,376615,0.7322594
16,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,820315.0,1023.0,975933,22.294,0.01781,3.985,19.999,16.005,20.004,1952313,4151068,3003298,10002020,19108699,979853,415119,1000000,375284,0.7313465
17,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,871493.0,1129.0,680640,22.285,0.02197,3.98,20.018,16.0,20.0,1949821,4166827,3000002,9999991,19116641,979775,416312,1000000,374989,0.73109627
18,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,767126.0,977.0,68905,22.312,0.01516,3.976,19.998,16.003,19.999,1948458,4157473,3003153,9999707,19108791,980080,415783,1000000,375330,0.73151577
19,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,815445.0,1032.0,837758,22.328,0.01742,3.98,20.013,16.005,20.0,1949604,4164632,3009199,10000036,19123471,979795,416200,1000000,376029,0.7317948
20,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,773329.0,1010.0,604653,22.337,0.01535,3.988,19.99,15.983,19.997,1953809,4150317,3004948,9998300,19107374,979880,415229,1000000,376029,0.73208034
21,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,789812.0,1066.0,369300,22.338,0.01608,3.983,19.997,16.015,19.996,1951738,4150743,3009053,9997895,19109429,979946,415129,1000000,375771,0.7321794
22,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,633663.0,832.0,325810,22.321,0.01145,3.978,20.003,15.984,19.995,1949339,4156317,3005885,9997424,19108965,980031,415565,1000000,376106,0.7319494
23,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,581782.0,797.0,638068,22.328,0.01043,3.98,19.993,16.0,20.006,1950455,4157702,3006830,10002800,19117787,980234,415925,1000000,375856,0.7319201
24,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,806669.0,1041.0,265640,22.292,0.01701,3.993,19.998,16.004,19.999,1955892,4157302,3003271,9999728,19116193,979684,415769,1000000,375323,0.7312248
25,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,768310.0,942.0,478059,22.303,0.01525,3.982,19.988,15.999,19.996,1951220,4160247,3001414,9998069,19110950,979914,416276,1000000,375195,0.73127466
26,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,794583.0,1030.0,983925,22.331,0.01637,3.987,20.01,16.009,20.007,1953304,4154686,3006826,10003300,19118116,979752,415252,1000000,375646,0.73185134
27,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,656046.0,840.0,646352,22.321,0.01183,3.977,19.998,15.983,20.005,1948917,4158806,2999334,10002429,19109486,980103,415916,1000000,375307,0.7317739
28,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,761794.0,965.0,821781,22.345,0.01498,3.992,20.004,15.992,20.003,1955447,4150550,3008576,10001341,19115914,979796,414966,1000000,376265,0.73211193
29,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,872242.0,1072.0,497012,22.324,0.02201,3.986,19.999,16.001,19.992,1952639,4147388,3008745,9996141,19104913,979762,414765,1000000,376073,0.73181045
