,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,906085.0,1041.0,45447,21.238,0.02545,4.814,19.993,15.999,19.995,2386530,4126564,2889168,9997636,19399898,991562,412809,1000000,361169,0.7122946
1,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,921803.0,1019.0,646752,21.254,0.02838,4.818,20.006,16.007,20.003,2388489,4122618,2897218,10001352,19409677,991534,412135,1000000,361995,0.7124764
2,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,923983.0,1001.0,771266,21.233,0.02882,4.824,20.007,15.998,20.001,2391832,4131300,2892737,10000504,19416373,991604,412992,1000000,361642,0.7120988
3,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,931746.0,976.0,538134,21.267,0.03061,4.822,20.008,16.003,20.005,2391015,4127358,2897708,10002651,19418732,991670,412578,1000000,362146,0.7126667
4,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,878808.0,1005.0,605267,21.229,0.02184,4.822,20.013,15.993,19.997,2390886,4124847,2888380,9998731,19402844,991588,412210,1000000,361200,0.7120155
5,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,947527.0,1070.0,974364,21.245,0.03558,4.813,19.994,16.0,20.002,2386387,4127912,2895655,10000857,19410811,991678,412924,1000000,361948,0.71227974
6,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,915158.0,1008.0,812103,21.273,0.02717,4.807,19.998,16.009,20.001,2383339,4127591,2896615,10000394,19407939,991572,412795,1000000,361878,0.7126807
7,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,922406.0,1042.0,468495,21.243,0.02854,4.817,20.009,16.005,20.0,2388031,4139917,2888085,9999913,19415946,991518,413796,1000000,360905,0.7124849
8,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,926913.0,1006.0,209262,21.238,0.02953,4.822,19.991,16.016,19.999,2390954,4134183,2891004,9999356,19415497,991603,413602,1000000,361005,0.7121564
9,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,891409.0,1022.0,691606,21.257,0.02338,4.815,20.003,16.004,19.999,2387415,4122392,2896014,9999345,19405166,991674,412184,1000000,361914,0.7124054
10,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,919007.0,1049.0,977088,21.264,0.02773,4.823,20.002,15.993,20.002,2391134,4123273,2895533,10000982,19410922,991650,412276,1000000,362097,0.7127484
11,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,910174.0,1019.0,512747,21.246,0.02621,4.813,20.0,15.994,20.001,2386372,4121382,2888397,10000647,19396798,991602,412138,1000000,361175,0.7120432
12,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,909649.0,1008.0,17821,21.248,0.02611,4.815,20.0,16.004,19.998,2387811,4123290,2895755,9999135,19405991,991792,412326,1000000,361869,0.7122311
13,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,933765.0,1048.0,882295,21.238,0.03131,4.816,20.004,15.993,19.998,2387987,4127628,2887612,9999041,19402268,991678,412680,1000000,361115,0.7121713
14,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,936822.0,1094.0,7531,21.262,0.03196,4.821,19.993,16.0,19.999,2390198,4124858,2892708,9999520,19407284,991654,412621,1000000,361591,0.7125377
15,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,922983.0,1046.0,286693,21.273,0.0286,4.824,20.015,15.997,19.999,2391753,4128518,2893497,9999469,19413237,991549,412536,1000000,361763,0.71269536
16,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,895098.0,984.0,552430,21.252,0.02381,4.809,19.997,15.989,20.0,2384169,4124138,2892382,9999939,19400628,991635,412478,1000000,361798,0.71230865
17,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,921727.0,1059.0,522609,21.254,0.02839,4.816,19.995,15.991,20.004,2387634,4121540,2891632,10001815,19402621,991572,412258,1000000,361667,0.7126256
18,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,917697.0,1022.0,386588,21.28,0.02745,4.807,19.991,16.003,19.998,2383082,4124738,2896466,9999191,19403477,991587,412663,1000000,362001,0.71286654
19,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,914874.0,1037.0,371089,21.263,0.02699,4.825,19.999,16.003,19.996,2392224,4122598,2899703,9997755,19412280,991544,412281,1000000,362387,0.7128011
20,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,911822.0,1034.0,419062,21.248,0.02645,4.818,19.998,16.002,19.998,2388796,4119503,2890400,9999082,19397781,991521,411987,1000000,361251,0.71230745
21,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,904923.0,982.0,198325,21.255,0.02519,4.808,19.991,16.007,20.003,2383215,4116637,2900944,10001699,19402495,991335,411857,1000000,362462,0.71258473
22,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,925270.0,1017.0,215113,21.205,0.02925,4.815,20.003,16.01,19.993,2386977,4134509,2886247,9996616,19404349,991560,413399,1000000,360560,0.71170557
23,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,882853.0,998.0,214424,21.272,0.02222,4.811,19.998,16.0,19.999,2385405,4122110,2901831,9999736,19409082,991667,412256,1000000,362738,0.7129439
24,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,934110.0,1086.0,157079,21.242,0.0313,4.816,20.007,15.998,19.993,2387343,4129319,2888342,9996660,19401664,991502,412781,1000000,361091,0.7120908
25,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,884933.0,1039.0,345259,21.258,0.02252,4.803,19.996,16.011,19.992,2381350,4130271,2889117,9995751,19396489,991580,413106,1000000,360898,0.71226656
26,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,912130.0,1000.0,220288,21.255,0.02656,4.818,20.012,15.996,20.005,2388815,4126491,2894217,10002740,19412263,991553,412396,1000000,361861,0.7125091
27,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,909728.0,1073.0,874350,21.266,0.02602,4.823,19.998,15.996,20.002,2391187,4122039,2895893,10001162,19410281,991569,412237,1000000,362082,0.7127319
28,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,886750.0,1021.0,169166,21.257,0.02278,4.821,19.986,16.001,20.002,2390680,4121922,2891887,10001170,19405659,991771,412478,1000000,361460,0.71243846
29,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,874366.0,1014.0,417564,21.214,0.02142,4.804,19.991,15.996,20.007,2381964,4134129,2885555,10003491,19405139,991641,413605,1000000,360791,0.7120352
