,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,965010.0,5886.0,626812,37.274,0.03614,2.789,20.001,16.003,19.991,1287998,2119423,4675437,9995325,18078183,923706,211933,1000000,584327,0.93333
1,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,959074.0,5773.0,875341,37.218,0.03344,2.788,19.999,15.993,19.998,1288041,2121926,4675292,9998943,18084202,923938,212200,1000000,584670,0.93277043
2,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,956727.0,5775.0,509882,37.219,0.03222,2.791,20.01,15.989,19.999,1289294,2130578,4665579,9999677,18085128,923908,212952,1000000,583606,0.93256193
3,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,957394.0,5660.0,392491,37.247,0.03253,2.79,19.992,15.986,20.002,1288865,2123717,4675331,10000941,18088854,924026,212459,1000000,584921,0.9330138
4,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,966697.0,5832.0,220824,37.245,0.03699,2.785,20.003,15.995,19.998,1286630,2128813,4670154,9999037,18084634,923943,212849,1000000,583969,0.93297523
5,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,954215.0,5754.0,325955,37.285,0.03117,2.787,20.0,16.003,20.003,1287761,2128195,4679705,10001269,18096930,924226,212819,1000000,584840,0.933676
6,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,962375.0,5705.0,917994,37.24,0.03467,2.792,19.992,15.991,19.989,1289019,2128682,4667684,9994300,18079685,923328,212958,1000000,583776,0.9330356
7,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,967048.0,5868.0,999092,37.265,0.03732,2.794,20.003,16.003,20.002,1290650,2130012,4667825,10001020,18089507,923824,212966,1000000,583380,0.9331791
8,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,961928.0,5814.0,878510,37.292,0.03426,2.791,19.996,15.999,19.998,1288865,2123735,4674440,9998895,18085935,923735,212414,1000000,584344,0.9336336
9,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,961506.0,5756.0,303216,37.283,0.03411,2.784,19.996,16.007,19.998,1286478,2127354,4671366,9998998,18084196,924296,212775,1000000,583658,0.9336027
10,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,960661.0,5683.0,501302,37.239,0.03386,2.789,19.998,15.995,20.008,1288378,2134710,4667423,10004082,18094593,923873,213491,1000000,583594,0.93296087
11,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,964366.0,5741.0,631084,37.275,0.03546,2.792,20.013,16.0,20.0,1290454,2129356,4672131,9999905,18091846,924242,212799,1000000,584019,0.9335308
12,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,950927.0,5759.0,824588,37.248,0.03009,2.787,19.996,15.989,20.002,1286660,2124787,4673319,10001102,18085868,923295,212522,1000000,584558,0.933022
13,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,949063.0,5730.0,566923,37.243,0.02938,2.784,20.0,16.005,19.996,1285821,2134209,4672745,9998142,18090917,923744,213416,1000000,583908,0.9330982
14,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,956980.0,5829.0,612381,37.29,0.03219,2.787,19.975,15.994,19.998,1286921,2125403,4671784,9999116,18083224,923576,212807,1000000,584178,0.9337497
15,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,964504.0,5806.0,47243,37.258,0.03578,2.788,19.99,15.995,20.002,1288368,2129755,4666798,10001019,18085940,924357,213078,1000000,583514,0.93313056
16,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,969645.0,5809.0,984611,37.203,0.03928,2.789,19.999,16.01,20.006,1289293,2136033,4673498,10002824,18101648,924454,213609,1000000,583807,0.9324005
17,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,955080.0,5791.0,346095,37.245,0.0315,2.784,19.996,15.999,20.0,1286602,2133087,4671745,10000184,18091618,924306,213351,1000000,584004,0.9331979
18,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,931770.0,5752.0,442642,37.279,0.02498,2.788,19.991,15.999,20.006,1288138,2118219,4680264,10003019,18089640,923965,211917,1000000,585083,0.93360806
19,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,958155.0,5793.0,458807,37.295,0.03278,2.796,20.0,15.994,20.002,1292161,2118040,4674640,10000933,18085774,924172,211804,1000000,584545,0.9334871
20,chile,1000000,1000,2020-01-01,2020-12-31,hybrid,960900.0,5877.0,778173,37.219,0.03419,2.789,20.002,16.003,20.001,1288610,2130217,4674855,10000508,18094190,924152,212998,1000000,584263,0.932805
