,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,china,1000000,1000,2020-01-01,2020-12-31,hybrid,927481.0,4660.0,950240,38.63,0.02414,2.632,19.982,15.996,20.002,1194522,1882603,4950918,10001012,18029055,907797,188428,1000000,619018,0.94147176
1,china,1000000,1000,2020-01-01,2020-12-31,hybrid,967070.0,4703.0,540685,38.547,0.03722,2.627,19.996,16.003,19.996,1192462,1894976,4951965,9998239,18037642,907944,189531,1000000,618892,0.9401621
2,china,1000000,1000,2020-01-01,2020-12-31,hybrid,962329.0,4596.0,767675,38.603,0.03439,2.628,20.012,15.997,20.009,1193025,1885946,4956092,10004383,18039446,908077,188481,1000000,619635,0.9409889
3,china,1000000,1000,2020-01-01,2020-12-31,hybrid,960880.0,4734.0,687907,38.595,0.03377,2.626,20.006,16.002,20.008,1191888,1888468,4954828,10003835,18039019,907718,188787,1000000,619283,0.9410104
4,china,1000000,1000,2020-01-01,2020-12-31,hybrid,950052.0,4555.0,991545,38.597,0.02941,2.626,20.005,15.997,20.002,1191729,1893735,4947347,10001153,18033964,907798,189328,1000000,618530,0.9409565
5,china,1000000,1000,2020-01-01,2020-12-31,hybrid,961827.0,4821.0,212419,38.603,0.03407,2.625,20.001,16.007,19.999,1191781,1888696,4962049,9999387,18041913,908060,188860,1000000,620000,0.94081426
6,china,1000000,1000,2020-01-01,2020-12-31,hybrid,953092.0,4727.0,367598,38.595,0.03071,2.628,20.011,15.996,20.001,1192330,1887583,4949137,10000528,18029578,907519,188652,1000000,618806,0.9408604
7,china,1000000,1000,2020-01-01,2020-12-31,hybrid,957743.0,4680.0,529489,38.572,0.03228,2.626,20.001,15.997,20.002,1191983,1887852,4955336,10001101,18036272,907808,188774,1000000,619545,0.9406938
8,china,1000000,1000,2020-01-01,2020-12-31,hybrid,948479.0,4671.0,339170,38.612,0.02907,2.627,20.001,16.006,19.988,1192749,1887410,4950612,9994248,18025019,908150,188735,1000000,618606,0.9410336
9,china,1000000,1000,2020-01-01,2020-12-31,hybrid,950375.0,4648.0,806149,38.598,0.02962,2.625,20.013,16.001,19.997,1191704,1885577,4955732,9998331,18031344,908057,188436,1000000,619426,0.94087094
