,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959866.0,4236.0,538694,33.974,0.03561,2.747,20.01,16.001,20.004,1263975,2530139,4522434,10001802,18318350,920269,252882,1000000,565258,0.8961699
1,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,961002.0,4137.0,357702,33.96,0.03668,2.743,20.007,16.004,20.002,1261950,2519326,4534214,10000834,18316324,919981,251849,1000000,566629,0.89624965
2,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,937209.0,3948.0,50571,33.97,0.02778,2.746,20.008,16.004,19.993,1262779,2521598,4526928,9996656,18307961,919754,252060,1000000,565729,0.8962422
3,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,950822.0,4024.0,295957,33.908,0.03214,2.739,20.014,16.001,19.995,1259628,2530913,4522343,9997749,18310633,919642,252909,1000000,565270,0.8955407
4,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,962733.0,4151.0,293748,33.947,0.03749,2.742,20.019,15.984,20.005,1261218,2524763,4524412,10002715,18313108,920008,252231,1000000,566109,0.8959365
5,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,955460.0,4054.0,932233,33.929,0.03401,2.746,19.991,15.994,19.993,1263384,2521307,4524003,9996569,18305263,919998,252244,1000000,565706,0.89578116
6,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,944064.0,4044.0,854994,33.934,0.02969,2.751,19.985,15.989,20.006,1264960,2525479,4518869,10003051,18312359,919635,252740,1000000,565233,0.89562
7,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,952067.0,4139.0,540302,33.96,0.03239,2.745,20.008,16.002,19.997,1262064,2523783,4527506,9998571,18311924,919617,252282,1000000,565863,0.89616597
8,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,952614.0,4163.0,304633,33.923,0.03261,2.75,20.003,16.008,20.002,1266175,2528700,4523881,10000903,18319659,920891,252838,1000000,565215,0.89573723
9,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,949431.0,4087.0,139022,33.951,0.03139,2.746,19.998,16.0,19.999,1262995,2528369,4519046,9999294,18309704,919725,252861,1000000,564870,0.89594513
10,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,952537.0,4127.0,433784,33.917,0.03268,2.742,20.008,16.004,20.006,1260956,2530474,4526860,10002861,18321151,919590,252946,1000000,565705,0.8953892
11,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,957693.0,4317.0,167703,33.969,0.03487,2.742,20.005,15.99,20.001,1261669,2532498,4513608,10000329,18308104,920226,253182,1000000,564543,0.8960377
12,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,951511.0,4226.0,534239,33.963,0.03219,2.75,20.001,16.003,19.995,1264783,2520136,4525488,9997673,18308080,919766,252006,1000000,565566,0.8964307
13,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,962624.0,4274.0,85370,33.948,0.03767,2.749,19.996,15.995,20.002,1264256,2519311,4527020,10001049,18311636,919935,251986,1000000,566052,0.89609635
14,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,950112.0,4101.0,634805,33.966,0.03162,2.75,20.014,16.004,20.006,1264416,2531647,4521347,10002982,18320392,919632,252991,1000000,565013,0.8961006
15,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,957850.0,4201.0,748321,33.979,0.03468,2.748,19.997,16.001,20.005,1263821,2528960,4526126,10002253,18321160,919848,252933,1000000,565747,0.89639485
16,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,944075.0,4145.0,406177,33.924,0.02968,2.743,19.989,16.007,20.002,1261651,2525332,4521603,10000772,18309358,920059,252669,1000000,564941,0.8955574
17,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,951817.0,4067.0,481228,33.949,0.03213,2.748,19.992,16.008,20.002,1264183,2527069,4524760,10001185,18317197,920067,252809,1000000,565306,0.89596623
18,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,964605.0,4084.0,745072,33.916,0.03873,2.749,19.999,16.007,20.005,1264786,2523342,4525790,10002558,18316476,920029,252344,1000000,565477,0.8953904
19,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,957789.0,4132.0,776221,33.953,0.03476,2.741,20.002,15.995,19.998,1260346,2525335,4524089,9999176,18308946,919770,252504,1000000,565675,0.8959397
20,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,954614.0,4126.0,276606,33.958,0.03359,2.751,20.003,15.997,20.002,1265574,2529694,4517022,10000988,18313278,920008,252937,1000000,564735,0.8960273
21,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,945453.0,4196.0,222915,33.988,0.03005,2.746,20.013,16.003,20.008,1263180,2526287,4524738,10003797,18318002,919852,252468,1000000,565497,0.8966008
22,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,951989.0,4154.0,557688,33.948,0.03251,2.744,20.005,15.993,19.997,1261718,2526730,4517210,9998650,18304308,919682,252611,1000000,564905,0.8960126
23,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,950675.0,4192.0,511633,33.942,0.03185,2.748,19.999,16.004,20.009,1264718,2531952,4517953,10004530,18319153,920365,253212,1000000,564609,0.8959702
24,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,954005.0,4164.0,762569,33.914,0.03316,2.748,20.004,16.01,19.994,1264852,2525346,4526647,9997211,18314056,920586,252482,1000000,565482,0.89555526
25,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,942027.0,3992.0,337854,33.945,0.02918,2.744,20.013,15.999,19.995,1262165,2524803,4523009,9997661,18307638,919914,252315,1000000,565428,0.8959714
26,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,948573.0,4170.0,811436,33.974,0.03104,2.746,20.006,16.006,19.997,1262895,2523962,4528906,9998742,18314505,919898,252315,1000000,565893,0.89628214
27,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,945468.0,4114.0,30670,33.955,0.03012,2.745,20.006,15.995,20.001,1262401,2524920,4522830,10000415,18310566,919756,252417,1000000,565528,0.8961096
28,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,938098.0,4097.0,805103,33.913,0.02808,2.743,20.004,15.986,20.003,1261021,2533798,4516715,10001251,18312785,919522,253328,1000000,565077,0.89554656
29,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959564.0,4043.0,534747,33.985,0.0356,2.748,19.996,16.012,20.0,1264573,2523871,4526734,9999789,18314967,920452,252439,1000000,565416,0.89655113
