,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,953738.0,1289.0,833298,24.481,0.03564,4.435,19.996,15.988,20.005,2189718,3642100,3500498,10002393,19334709,987478,364290,1000000,437894,0.76334685
1,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,964378.0,1347.0,98159,24.503,0.04154,4.429,20.008,15.999,20.007,2186334,3640663,3498610,10003443,19329050,987309,363912,1000000,437351,0.7632759
2,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,919870.0,1346.0,78018,24.451,0.02606,4.425,19.985,15.998,19.994,2184295,3645271,3499074,9997057,19325697,987330,364808,1000000,437450,0.7630117
3,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,950176.0,1333.0,100128,24.53,0.03414,4.435,20.003,16.0,19.99,2189357,3642748,3506764,9995055,19333924,987308,364229,1000000,438340,0.7638224
4,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,961761.0,1333.0,990144,24.439,0.04013,4.427,19.998,15.999,19.992,2185940,3645592,3492880,9996207,19320619,987460,364595,1000000,436624,0.76242787
5,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,956937.0,1293.0,170782,24.446,0.03729,4.429,19.991,15.996,20.004,2186596,3638073,3499000,10001855,19325524,987370,363971,1000000,437475,0.76267487
6,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,950043.0,1393.0,635148,24.453,0.03449,4.435,19.989,16.002,19.998,2189400,3641372,3498129,9999015,19327916,987324,364345,1000000,437204,0.76271904
7,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,960756.0,1327.0,751758,24.491,0.03923,4.43,19.993,16.012,20.003,2186597,3642438,3501499,10001520,19332054,987196,364372,1000000,437371,0.7632203
8,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,953049.0,1363.0,289768,24.482,0.03574,4.427,20.003,15.996,20.005,2185464,3636969,3503550,10002464,19328447,987399,363644,1000000,438051,0.7632054
9,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,950100.0,1327.0,935522,24.492,0.03414,4.423,20.005,16.009,20.003,2183335,3636337,3509251,10001418,19330341,987187,363541,1000000,438403,0.7632851
10,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,959494.0,1375.0,955074,24.543,0.03857,4.425,20.011,16.0,19.999,2184689,3624466,3520217,9999439,19328811,987348,362256,1000000,440021,0.76423544
11,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,944737.0,1359.0,799152,24.44,0.03248,4.421,20.003,16.005,20.003,2182805,3639943,3497202,10001606,19321556,987365,363932,1000000,437021,0.76232624
12,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,947363.0,1377.0,616048,24.474,0.03324,4.438,20.012,15.999,20.007,2191407,3640445,3501809,10003663,19337324,987472,363829,1000000,437765,0.7630725
13,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,957956.0,1293.0,399995,24.505,0.03763,4.427,19.995,15.993,20.006,2185104,3633828,3502089,10003098,19324119,987122,363472,1000000,437963,0.7633799
14,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,959924.0,1371.0,131473,24.51,0.03879,4.432,20.007,16.008,20.001,2188373,3635008,3506286,10000273,19329940,987472,363368,1000000,438068,0.76380026
15,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,952853.0,1273.0,210145,24.491,0.03543,4.425,19.987,16.002,20.0,2184414,3633513,3507388,10000246,19325561,987404,363587,1000000,438369,0.7634663
16,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,955762.0,1296.0,6210,24.499,0.03657,4.425,20.014,16.009,20.009,2184590,3635969,3513716,10004600,19338875,987365,363340,1000000,438970,0.76378274
17,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,948164.0,1286.0,361520,24.481,0.03356,4.43,19.997,15.988,19.995,2186923,3641886,3496878,9997681,19323368,987314,364239,1000000,437425,0.76307714
18,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,942093.0,1278.0,468083,24.464,0.03158,4.426,19.991,15.994,20.0,2185232,3643977,3495848,10000028,19325085,987352,364559,1000000,437148,0.76326203
19,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,947851.0,1385.0,189216,24.499,0.03359,4.423,19.993,15.994,19.997,2183184,3640589,3502687,9998516,19324976,987305,364192,1000000,437991,0.7635569
20,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,952287.0,1275.0,878987,24.514,0.03516,4.426,19.995,16.001,19.994,2185004,3631011,3511192,9997110,19324317,987340,363198,1000000,438869,0.7634978
21,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,949677.0,1323.0,678116,24.5,0.03413,4.425,20.001,16.008,19.997,2184891,3641322,3504240,9998501,19328954,987504,364119,1000000,437813,0.76340115
22,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,956270.0,1315.0,124537,24.468,0.03697,4.429,20.008,16.002,20.001,2186612,3638381,3502414,10000626,19328033,987389,363693,1000000,437751,0.7630126
23,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,962663.0,1306.0,356840,24.473,0.04036,4.425,19.981,15.993,19.998,2184301,3633323,3500731,9998994,19317349,987283,363670,1000000,437796,0.76294553
24,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,951824.0,1338.0,838577,24.476,0.03494,4.43,19.985,15.997,20.004,2187641,3642348,3496293,10002236,19328518,987575,364511,1000000,437128,0.7628805
25,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,951394.0,1305.0,340297,24.488,0.03466,4.425,20.002,16.007,19.997,2184321,3641909,3502455,9998617,19327302,987201,364147,1000000,437606,0.76329285
26,comoros,1000000,1000,2020-01-01,2020-12-31,hybrid,945074.0,1328.0,882805,24.496,0.0324,4.429,19.989,15.994,20.001,2187081,3634817,3510509,10000564,19332971,987567,363681,1000000,438982,0.7633878
