,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,934387.0,4824.0,2792,35.615,0.02678,2.688,19.989,15.995,19.994,1229658,2283227,4628643,9997095,18138623,914769,228454,1000000,578751,0.91417056
1,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,968711.0,4853.0,30262,35.579,0.04083,2.689,19.987,16.006,19.996,1230168,2283483,4633482,9997779,18144912,915082,228496,1000000,578972,0.9138143
2,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,949406.0,4820.0,920499,35.549,0.03092,2.691,20.006,15.997,20.0,1230474,2288514,4636579,9999826,18155393,914497,228786,1000000,579680,0.9132673
3,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,959002.0,4721.0,173017,35.546,0.03525,2.685,19.998,16.005,20.0,1227610,2287490,4635985,9999859,18150944,914339,228770,1000000,579329,0.9132802
4,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,944810.0,4757.0,777100,35.579,0.02949,2.69,20.0,16.009,19.999,1229790,2292648,4636203,9999673,18158314,914463,229260,1000000,579215,0.9138864
5,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,946677.0,4664.0,58062,35.552,0.03006,2.69,19.983,15.995,20.004,1230053,2294009,4626750,10002182,18152994,914458,229594,1000000,578522,0.9134047
6,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,958196.0,4920.0,511453,35.583,0.0346,2.689,20.012,15.996,20.001,1229561,2290319,4630967,10000360,18151207,914502,228892,1000000,579020,0.9137558
7,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,955149.0,4829.0,582279,35.601,0.03309,2.693,20.014,16.01,19.995,1231209,2280625,4641564,9997405,18150803,914434,227908,1000000,579832,0.914393
8,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,950963.0,4770.0,60260,35.584,0.03151,2.687,19.994,16.005,19.999,1228448,2284725,4637353,9999611,18150137,914238,228537,1000000,579471,0.913744
9,costa rica,1000000,1000,2020-01-01,2020-12-31,hybrid,946272.0,4782.0,862592,35.571,0.02995,2.691,19.992,15.998,19.996,1230658,2287632,4635522,9997777,18151589,914547,228853,1000000,579506,0.9138171
