,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,953987.0,10090.0,477861,44.023,0.03202,2.149,19.982,15.997,20.0,896454,1594718,4557463,9999992,17048627,834119,159612,1000000,569794,1.006655
1,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,964708.0,10410.0,253764,44.052,0.03697,2.155,19.973,15.998,19.993,897872,1595829,4550062,9996299,17040062,833479,159798,1000000,568839,1.0067883
2,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,935925.0,9924.0,428784,44.014,0.02682,2.151,20.0,15.998,19.993,896418,1604561,4555349,9996594,17052922,833485,160456,1000000,569477,1.006225
3,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957137.0,10354.0,408405,44.064,0.03311,2.152,20.012,16.004,20.004,898071,1594978,4552304,10001910,17047263,834551,159405,1000000,568889,1.0070784
4,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,951921.0,10186.0,874525,44.024,0.03114,2.151,19.988,16.001,19.996,896860,1596010,4560126,9997839,17050835,834062,159697,1000000,569988,1.0065575
5,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,966529.0,10412.0,256783,44.007,0.03797,2.151,19.995,16.006,19.994,896772,1598502,4557114,9996869,17049257,833689,159891,1000000,569409,1.006244
6,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,950089.0,10214.0,370884,44.014,0.03072,2.155,19.987,16.001,19.996,898351,1598543,4553284,9997793,17047971,833794,159961,1000000,569132,1.0063261
7,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,955801.0,10299.0,676979,44.026,0.03249,2.149,20.003,16.002,20.0,895840,1597309,4563022,10000033,17056204,833764,159705,1000000,570321,1.0067586
8,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,948245.0,10244.0,501036,44.011,0.02995,2.153,19.995,15.995,19.996,898092,1600412,4559776,9997799,17056079,834430,160083,1000000,570137,1.0063386
9,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962128.0,10425.0,747608,44.031,0.03553,2.154,19.982,15.995,19.997,898740,1601868,4550091,9998741,17049440,834358,160329,1000000,568939,1.0065995
10,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,953966.0,10275.0,113114,44.03,0.032,2.153,20.018,15.993,19.991,897713,1610612,4546085,9995640,17050050,833725,160920,1000000,568498,1.0063902
11,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956282.0,10296.0,98459,44.061,0.03284,2.153,19.978,15.992,19.998,897954,1594032,4552228,9999173,17043387,834100,159580,1000000,569323,1.0068065
12,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962493.0,10298.0,321199,44.009,0.03577,2.152,19.991,15.998,19.999,896682,1605323,4556885,9999496,17058386,833233,160601,1000000,569665,1.0061389
13,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956912.0,10139.0,562224,44.001,0.03308,2.151,20.021,15.999,19.998,897150,1600803,4560480,9998875,17057308,834073,159910,1000000,570085,1.0061266
14,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,966718.0,10258.0,659605,44.023,0.03791,2.152,19.975,16.004,20.002,897084,1604103,4552466,10001032,17054685,833582,160613,1000000,568927,1.0065621
15,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,918989.0,9757.0,752853,44.042,0.02386,2.154,20.012,15.997,19.997,898080,1596497,4557513,9998680,17050770,833876,159554,1000000,569780,1.0064857
16,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,959311.0,10314.0,445021,44.04,0.03407,2.147,20.004,15.998,20.001,894494,1599054,4555727,10000291,17049566,833126,159877,1000000,569545,1.0066613
17,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,955861.0,10354.0,178867,44.037,0.03275,2.152,20.02,16.001,20.006,897104,1600918,4557222,10003074,17058318,833904,159928,1000000,569631,1.0066105
18,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957356.0,10420.0,898989,44.064,0.03307,2.148,20.004,16.0,19.995,895481,1599112,4556784,9997703,17049080,833703,159878,1000000,569583,1.0068761
19,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,929407.0,9984.0,718291,44.013,0.02565,2.152,19.996,16.001,19.998,897005,1606317,4551012,9998886,17053220,833819,160667,1000000,568852,1.006273
20,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956053.0,10167.0,848193,44.025,0.03274,2.154,20.015,16.006,19.998,897369,1594106,4563224,9999145,17053844,833322,159294,1000000,570203,1.0063397
21,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,965777.0,10419.0,387679,44.035,0.03734,2.156,19.99,15.991,20.001,899704,1597930,4555908,10000433,17053975,834580,159874,1000000,569817,1.0066774
22,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956334.0,10282.0,839750,43.981,0.03287,2.148,20.016,15.996,20.001,895323,1611173,4546653,10000391,17053540,833655,160988,1000000,568491,1.0058422
23,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,951575.0,10169.0,225904,44.04,0.0311,2.149,19.998,16.002,20.004,896576,1595610,4556290,10001969,17050445,834432,159576,1000000,569475,1.0066428
24,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957543.0,10305.0,77359,44.026,0.0333,2.153,19.985,16.003,20.006,898301,1601686,4555983,10002913,17058883,834279,160288,1000000,569381,1.0064285
25,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,944203.0,10051.0,619800,44.031,0.02896,2.151,19.993,15.996,20.007,896843,1598644,4555301,10003746,17054534,834075,159921,1000000,569569,1.0061791
26,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,952403.0,10173.0,270992,44.11,0.03124,2.154,19.996,16.0,20.014,898677,1591881,4558659,10007082,17056299,834509,159222,1000000,569818,1.0074526
27,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,964747.0,10284.0,128602,43.97,0.03689,2.15,20.011,16.002,19.998,896984,1603672,4556032,9999084,17055772,834324,160277,1000000,569434,1.0055759
28,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,945850.0,9998.0,996969,44.001,0.02916,2.152,20.017,15.997,20.004,897480,1606595,4557416,10001943,17063434,834127,160527,1000000,569773,1.006239
29,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,934375.0,10045.0,618627,44.01,0.02665,2.152,20.023,16.003,19.996,897324,1606813,4553508,9998145,17055790,833932,160498,1000000,569082,1.0064018
