,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,945812.0,7442.0,731311,41.279,0.02851,2.425,19.988,15.997,19.999,1068672,1768156,4784978,9999466,17621272,881514,176920,1000000,598248,0.9699759
1,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,948191.0,7359.0,244423,41.277,0.02905,2.423,19.989,15.997,20.006,1068363,1769086,4786745,10002833,17627027,881884,177010,1000000,598455,0.970173
2,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,949344.0,7390.0,959699,41.238,0.02947,2.421,19.992,16.003,19.999,1067784,1774276,4785438,9999604,17627102,881952,177502,1000000,598054,0.9696897
3,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,953056.0,7678.0,202725,41.225,0.0307,2.421,20.011,16.006,19.991,1066941,1778413,4786447,9995516,17627317,881282,177740,1000000,598082,0.96933436
4,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,950953.0,7353.0,20638,41.235,0.02998,2.422,19.992,15.988,20.01,1068390,1771069,4784608,10005100,17629167,882192,177178,1000000,598509,0.96937746
5,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,931165.0,7234.0,678045,41.246,0.02508,2.418,19.999,16.008,20.003,1066317,1775926,4787295,10001334,17630872,882147,177603,1000000,598100,0.96952987
6,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,956972.0,7606.0,517068,41.267,0.03216,2.418,20.004,16.002,20.012,1066351,1772281,4785232,10005838,17629702,882121,177196,1000000,598097,0.97018284
7,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,928830.0,7205.0,195395,41.261,0.02463,2.42,20.017,16.002,20.008,1067154,1770044,4792370,10003861,17633429,881886,176852,1000000,598959,0.9698898
8,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,921595.0,7260.0,988596,41.247,0.02338,2.42,20.001,16.005,19.995,1066951,1783205,4780365,9997378,17627899,881858,178315,1000000,597368,0.9696209
9,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,942251.0,7429.0,746846,41.225,0.02755,2.422,20.02,15.997,19.998,1068015,1780901,4784980,9999010,17632906,881804,177910,1000000,598236,0.9695528
10,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,943938.0,7634.0,123038,41.243,0.02796,2.423,19.999,15.996,20.001,1068172,1775517,4776809,10000285,17620783,881635,177557,1000000,597262,0.9695791
11,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,919954.0,7238.0,903898,41.229,0.02314,2.423,20.005,16.007,20.0,1067900,1781347,4783603,9999861,17632711,881589,178090,1000000,597706,0.96949923
12,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,938935.0,7357.0,991777,41.278,0.02655,2.419,19.982,16.003,19.997,1066423,1771799,4787714,9998304,17624240,881872,177341,1000000,598347,0.97036767
13,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,920254.0,7038.0,526523,41.244,0.02312,2.422,20.014,15.986,19.996,1067952,1774352,4782991,9998088,17623383,881899,177310,1000000,598415,0.96990585
14,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,915641.0,7232.0,962880,41.257,0.02245,2.423,19.998,16.006,20.0,1068321,1776966,4791051,9999815,17636153,881685,177714,1000000,598666,0.97011566
15,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,913311.0,7023.0,741867,41.276,0.02208,2.425,19.991,16.004,19.999,1070515,1771606,4787745,9999670,17629536,882939,177237,1000000,598331,0.9700757
16,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,916771.0,7221.0,800181,41.301,0.02251,2.428,20.015,16.002,19.999,1070747,1772065,4786178,9999749,17628739,882129,177074,1000000,598183,0.9705884
17,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,944895.0,7323.0,886829,41.275,0.02813,2.418,19.999,15.996,20.003,1066191,1772555,4788241,10001282,17628269,881796,177267,1000000,598693,0.97000754
18,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,900387.0,7092.0,503870,41.243,0.02064,2.415,19.999,15.999,19.999,1064393,1783137,4778848,9999642,17626020,881443,178319,1000000,597412,0.96972644
19,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,955500.0,7517.0,903907,41.243,0.03146,2.427,20.009,16.005,20.001,1069554,1776062,4792777,10000597,17638990,881453,177526,1000000,598911,0.9696607
20,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,926151.0,7253.0,807902,41.253,0.02412,2.417,20.038,15.998,20.001,1064783,1783728,4778373,10000582,17627466,881248,178033,1000000,597357,0.9698771
21,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,939313.0,7402.0,908404,41.244,0.0267,2.422,20.013,15.994,20.002,1067382,1779759,4782972,10001128,17631241,881399,177860,1000000,598082,0.96966094
22,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,934338.0,7180.0,179153,41.248,0.02559,2.427,20.008,15.999,20.001,1070204,1775768,4783992,10000612,17630576,881884,177509,1000000,598051,0.96970487
23,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,942941.0,7388.0,336664,41.252,0.02767,2.423,20.002,16.001,20.0,1069294,1775149,4784598,10000076,17629117,882671,177496,1000000,598035,0.9701593
24,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,950875.0,7574.0,880208,41.265,0.02992,2.426,20.008,15.998,19.993,1070352,1774849,4782689,9996270,17624160,882294,177414,1000000,597908,0.969803
25,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,925164.0,7013.0,353671,41.227,0.02389,2.423,19.99,16.003,20.001,1067719,1776210,4785920,10000728,17630577,881235,177710,1000000,598117,0.9695441
26,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,921632.0,7193.0,114418,41.268,0.02332,2.418,19.99,15.993,20.006,1066210,1776787,4782523,10002928,17628448,882075,177770,1000000,598066,0.97018933
27,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,935247.0,7348.0,893250,41.254,0.0258,2.421,20.004,16.001,20.003,1068034,1776747,4788536,10001269,17634586,882188,177638,1000000,598511,0.96978706
28,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,954472.0,7446.0,489051,41.234,0.03121,2.425,20.001,15.998,20.006,1069137,1781921,4778639,10002754,17632451,881784,178186,1000000,597417,0.9695778
29,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,930334.0,7387.0,417779,41.229,0.02486,2.421,19.995,16.001,20.001,1067177,1777311,4786457,10000537,17631482,881502,177772,1000000,598265,0.96974623
