,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,819591.0,5410.0,227533,39.054,0.01601,2.117,19.983,15.996,19.995,874967,1920036,4747598,9997467,17540068,826753,192166,1000000,593587,0.9593522
1,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,829582.0,5586.0,655914,39.007,0.01646,2.115,19.996,15.993,20.007,873607,1932135,4740254,10003383,17549379,825970,193256,1000000,592780,0.9588282
2,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,859396.0,5720.0,651107,39.01,0.01831,2.118,20.001,16.009,19.999,873839,1927308,4751334,9999529,17552010,825049,192725,1000000,593597,0.9590087
3,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,861615.0,5834.0,426809,39.028,0.0185,2.118,20.005,15.999,19.997,874730,1929069,4748694,9998603,17551096,825980,192862,1000000,593623,0.9592613
4,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,912177.0,6329.0,480181,38.982,0.02356,2.114,19.999,16.006,19.999,872441,1934609,4744590,9999358,17550998,825435,193474,1000000,592858,0.95861095
5,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,841528.0,5633.0,537671,38.978,0.01715,2.113,20.003,15.992,20.001,872838,1929145,4748678,10000717,17551378,825992,192889,1000000,593890,0.958328
6,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,741421.0,4881.0,344197,39.03,0.01316,2.12,20.019,16.005,19.997,875512,1935265,4739604,9998400,17548781,825771,193341,1000000,592277,0.9590308
7,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,781602.0,5210.0,73790,38.988,0.01446,2.115,19.994,15.998,20.001,873377,1933281,4743500,10000590,17550748,825936,193382,1000000,593026,0.95854205
8,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,804574.0,5414.0,391863,39.031,0.01528,2.12,20.007,16.003,20.003,875782,1930249,4743250,10001600,17550881,826165,192954,1000000,592801,0.95899343
9,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,765205.0,5009.0,671936,38.997,0.01392,2.12,19.991,15.999,19.995,875670,1926650,4744225,9997409,17543954,826105,192753,1000000,593071,0.9589252
10,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,821148.0,5479.0,949927,39.061,0.01607,2.115,19.987,15.998,19.995,873227,1926622,4736603,9997530,17533982,825811,192789,1000000,592144,0.95942235
11,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,863698.0,5810.0,794951,39.015,0.01861,2.117,19.999,15.991,19.99,873787,1928273,4741971,9995174,17539205,825307,192837,1000000,593078,0.9590907
12,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,799701.0,5401.0,781919,39.036,0.01509,2.117,19.995,16.008,20.01,875158,1925658,4753104,10004977,17558897,826736,192611,1000000,593834,0.95923394
13,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,706409.0,4575.0,208802,39.017,0.01224,2.118,20.007,16.001,19.997,874437,1927962,4746543,9998275,17547217,825678,192725,1000000,593266,0.95910233
14,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,745024.0,4877.0,918826,39.026,0.01323,2.116,19.993,16.003,19.993,874259,1927845,4750041,9996469,17548614,826326,192856,1000000,593632,0.95926106
15,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,836587.0,5591.0,944155,39.001,0.01688,2.111,19.988,16.0,20.004,870470,1933159,4743490,10002151,17549270,824824,193431,1000000,592930,0.958923
16,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,856725.0,5725.0,373497,39.019,0.01809,2.12,20.0,15.996,19.999,875705,1932644,4742105,9999493,17549947,826325,193267,1000000,592926,0.9588939
17,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,731119.0,4843.0,473076,39.068,0.01281,2.116,20.004,16.002,19.999,874620,1933014,4747699,9999343,17554676,826582,193261,1000000,593378,0.9595523
18,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,736246.0,4879.0,349269,39.027,0.01303,2.116,20.009,16.004,20.009,873782,1923139,4757712,10004266,17558899,825963,192225,1000000,594551,0.9591134
