,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,883064.0,7866.0,63872,42.944,0.02118,1.855,20.001,15.995,19.996,697712,1613833,4608884,9997933,16918362,752196,161377,1000000,576293,0.9935682
1,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,764939.0,6507.0,605434,42.946,0.01457,1.853,20.01,16.002,20.003,697141,1614827,4606793,10001391,16920152,752349,161398,1000000,575792,0.9934447
2,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,817211.0,7087.0,703459,42.913,0.01667,1.857,20.01,16.006,20.008,698466,1613100,4614887,10004166,16930619,752296,161233,1000000,576644,0.993114
3,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,727563.0,6246.0,491120,42.924,0.01343,1.854,19.995,16.002,19.999,697480,1613530,4611436,9999342,16921788,752457,161397,1000000,576375,0.99323833
4,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,777562.0,6626.0,26936,42.911,0.01492,1.855,20.005,16.009,20.003,697965,1615306,4613709,10001596,16928576,752536,161493,1000000,576384,0.9931589
5,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,656713.0,5432.0,448048,42.913,0.01179,1.857,20.015,16.001,20.003,698355,1610738,4620177,10001495,16930765,752251,160956,1000000,577470,0.99279696
6,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,797336.0,6760.0,224960,42.9,0.01579,1.854,20.002,16.002,20.002,696682,1610725,4613232,10001142,16921781,751641,161057,1000000,576592,0.99286485
7,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,792457.0,6689.0,909651,42.89,0.01566,1.853,20.008,16.004,19.999,696860,1611392,4618679,9999305,16926236,751968,161073,1000000,577179,0.99272573
8,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,672416.0,5624.0,276107,42.91,0.01207,1.853,20.002,16.002,19.991,697074,1609256,4619636,9995612,16921578,752378,160908,1000000,577375,0.993032
9,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,592828.0,4895.0,582764,42.893,0.01068,1.854,19.989,16.003,19.996,696831,1609396,4615853,9998021,16920101,751768,161027,1000000,576867,0.99280876
10,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,801118.0,6870.0,994552,42.933,0.01593,1.858,20.002,16.003,20.006,698948,1615281,4611200,10003181,16928610,752309,161511,1000000,576285,0.993246
11,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,743048.0,6256.0,746434,42.936,0.0139,1.853,19.995,16.006,20.001,697440,1615225,4611594,10000259,16924518,752739,161560,1000000,576251,0.99332196
12,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,880140.0,7766.0,40493,42.889,0.02093,1.852,20.014,16.002,20.003,696766,1615927,4609958,10001436,16924087,752412,161478,1000000,576165,0.9928514
13,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,525910.0,4276.0,796250,42.928,0.00978,1.856,19.999,15.997,19.999,698208,1614461,4607863,9999623,16920155,752339,161453,1000000,576075,0.9931419
14,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,838536.0,7236.0,793604,42.92,0.01785,1.851,19.992,16.002,19.988,696264,1611776,4615750,9993947,16917737,752150,161246,1000000,576903,0.9933938
15,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,745139.0,6380.0,648245,42.894,0.01393,1.853,19.996,15.997,20.001,697587,1618091,4609355,10000257,16925290,752824,161843,1000000,576291,0.99268323
16,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,810081.0,7042.0,495754,42.953,0.0163,1.852,20.002,15.989,20.004,696452,1610828,4613378,10002098,16922756,751947,161067,1000000,577053,0.9937606
17,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,719369.0,6084.0,800265,42.891,0.01314,1.852,20.025,16.018,19.997,696733,1617158,4619695,9998393,16931979,752605,161516,1000000,576797,0.99268025
18,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,779889.0,6681.0,664444,42.93,0.01506,1.857,20.013,16.005,19.997,698435,1613978,4619247,9998568,16930228,752166,161296,1000000,577224,0.9934347
19,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,782611.0,6604.0,674096,42.903,0.01515,1.852,20.003,16.004,19.998,696494,1615044,4610508,9998890,16920936,752289,161479,1000000,576182,0.992839
20,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,796522.0,6861.0,932436,42.894,0.01578,1.855,20.0,16.002,20.007,697811,1611202,4616654,10003278,16928945,752169,161124,1000000,577023,0.99281037
21,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,865103.0,7573.0,33144,42.925,0.01958,1.856,19.992,16.001,19.999,698196,1617054,4609780,9999600,16924630,752227,161773,1000000,576173,0.9934004
22,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,854614.0,7360.0,842949,42.883,0.01891,1.859,19.997,15.988,20.003,698082,1615726,4607485,10001350,16922643,751186,161600,1000000,576366,0.99253434
23,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,619592.0,5112.0,556129,42.933,0.01111,1.858,19.988,15.991,19.995,698373,1605246,4614304,9997392,16915315,751699,160620,1000000,577111,0.9933437
24,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,865160.0,7405.0,228903,42.886,0.01966,1.853,19.996,16.004,20.0,696893,1612208,4617544,10000200,16926845,752111,161251,1000000,577053,0.99276286
25,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,813856.0,7076.0,533583,42.972,0.01647,1.857,19.994,15.991,20.004,698158,1607633,4610615,10002022,16918428,751895,160813,1000000,576665,0.99381083
26,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,706032.0,5744.0,764375,42.916,0.0128,1.854,19.997,16.0,19.996,697392,1615211,4608962,9997836,16919401,752379,161547,1000000,576129,0.9931709
27,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,735188.0,6227.0,838185,42.912,0.01362,1.852,20.007,16.01,20.004,697218,1612314,4616412,10002197,16928141,752891,161174,1000000,576698,0.9930961
28,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,287042.0,2230.0,637141,42.933,0.00768,1.853,20.012,16.0,19.993,697009,1618512,4608681,9996407,16920609,752252,161758,1000000,576072,0.99339134
29,czechia,1000000,1000,2020-01-01,2020-12-31,hybrid,815398.0,6997.0,198008,42.859,0.01652,1.855,20.002,15.998,19.999,697063,1617401,4615666,9999404,16929534,751565,161720,1000000,577042,0.99240613
