,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,815045.0,3140.0,54574,31.306,0.0165,2.7,20.006,16.006,20.002,1236336,2872186,4181918,10001249,18291689,915912,287132,1000000,522553,0.8571152
1,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,729580.0,2700.0,487404,31.302,0.0132,2.702,19.997,15.995,19.993,1237780,2866338,4182900,9996296,18283314,916199,286680,1000000,523036,0.8573722
2,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,814044.0,3120.0,421975,31.341,0.01648,2.702,19.99,16.0,19.994,1237136,2861831,4186227,9997174,18282368,915870,286331,1000000,523286,0.85771114
3,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,810942.0,3095.0,901941,31.326,0.01635,2.697,20.001,15.993,19.997,1235020,2862453,4184897,9998302,18280672,915711,286233,1000000,523329,0.8572254
4,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,904418.0,3447.0,856238,31.318,0.02436,2.705,19.993,16.005,20.003,1239180,2859178,4191335,10001333,18291026,916321,286020,1000000,523762,0.85757995
5,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,867489.0,3302.0,406827,31.305,0.02009,2.706,20.011,16.008,19.999,1239565,2862846,4189544,9999532,18291487,916235,286128,1000000,523441,0.8574615
6,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,797548.0,2964.0,419011,31.314,0.01559,2.707,20.0,16.003,20.003,1240445,2863049,4184520,10001253,18289267,916303,286299,1000000,522968,0.8573328
7,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,823230.0,3168.0,235773,31.312,0.01699,2.704,20.007,15.995,19.998,1238337,2859127,4192967,9998830,18289261,915843,285819,1000000,524284,0.85751027
8,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,834635.0,3247.0,210843,31.301,0.01766,2.707,20.016,15.992,19.997,1239964,2858525,4183865,9998420,18280774,916150,285622,1000000,523254,0.8569634
9,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,697569.0,2628.0,478889,31.31,0.01237,2.705,20.007,15.998,20.003,1239737,2863957,4189081,10001598,18294373,916657,286292,1000000,523709,0.8572068
10,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,794910.0,2973.0,626187,31.297,0.01553,2.699,19.998,15.987,19.993,1236688,2863494,4179354,9996450,18275986,916356,286382,1000000,522837,0.8572713
11,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,905916.0,3589.0,350032,31.297,0.02461,2.708,20.015,15.997,19.999,1240443,2867902,4186711,9999729,18294785,916100,286572,1000000,523426,0.8571008
12,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,854076.0,3305.0,472301,31.346,0.01901,2.701,19.994,15.998,20.005,1236761,2866014,4182715,10002615,18288105,915929,286684,1000000,522912,0.8574576
13,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,780586.0,2966.0,885654,31.326,0.01493,2.704,20.004,16.0,20.009,1238635,2867854,4183757,10004477,18294723,916008,286726,1000000,522975,0.85760057
14,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,802668.0,2995.0,227181,31.316,0.0159,2.705,20.003,16.004,19.991,1239448,2860945,4191278,9995730,18287401,916298,286049,1000000,523778,0.85745734
15,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,820864.0,3162.0,685492,31.275,0.01678,2.701,20.006,15.999,20.0,1236544,2865990,4186538,10000159,18289231,915583,286518,1000000,523355,0.85683906
16,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,854798.0,3321.0,430475,31.293,0.01903,2.704,19.987,15.993,20.003,1238163,2860323,4190070,10001427,18289983,915833,286212,1000000,523990,0.85726464
17,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,869781.0,3266.0,368294,31.332,0.02019,2.706,19.994,16.003,20.004,1238851,2860042,4189110,10002182,18290185,915756,286087,1000000,523548,0.85774
18,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,844569.0,3246.0,369244,31.294,0.01826,2.7,19.989,15.993,20.002,1235804,2859624,4182324,10000993,18278745,915496,286113,1000000,523017,0.85690194
19,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,837247.0,3133.0,81969,31.294,0.01775,2.706,19.999,15.997,20.006,1240165,2870946,4186548,10003005,18300664,916599,287105,1000000,523421,0.85714555
20,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,875951.0,3296.0,637300,31.293,0.02081,2.705,19.998,16.003,20.0,1239037,2860112,4186924,10000249,18286322,916199,286044,1000000,523259,0.8570213
21,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,880469.0,3341.0,957796,31.288,0.02137,2.702,19.988,16.002,20.007,1237470,2860928,4185916,10003304,18287618,915891,286269,1000000,523189,0.85721517
22,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,482955.0,1784.0,135013,31.259,0.00896,2.696,19.998,16.002,20.001,1234941,2860088,4191660,10000386,18287075,916236,286037,1000000,523895,0.8567331
23,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,640829.0,2430.0,221753,31.325,0.01118,2.7,20.012,15.998,20.0,1236365,2854317,4191194,9999982,18281858,915788,285266,1000000,523954,0.85746235
24,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,838459.0,3227.0,163784,31.256,0.01796,2.702,19.994,15.996,20.008,1237586,2873434,4179436,10003898,18294354,916216,287426,1000000,522569,0.856795
25,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,795836.0,3042.0,514008,31.279,0.01557,2.703,20.012,16.0,20.0,1237793,2871099,4184477,10000052,18293421,915813,286941,1000000,523050,0.8569223
26,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,656049.0,2478.0,602863,31.28,0.01152,2.7,20.001,16.003,19.997,1236442,2870577,4177498,9998688,18283205,915898,287043,1000000,522077,0.85672325
27,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,834509.0,3178.0,850182,31.321,0.01772,2.705,19.99,15.99,20.003,1238138,2862099,4181657,10001602,18283496,915403,286360,1000000,523032,0.85733527
28,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,815251.0,3004.0,79758,31.301,0.01646,2.705,20.003,16.007,19.997,1238913,2866895,4182504,9998436,18286748,915852,286648,1000000,522572,0.8570596
29,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,743100.0,2775.0,554288,31.292,0.01368,2.704,20.012,15.998,19.995,1238846,2863573,4185430,9997493,18285342,916358,286184,1000000,523243,0.8568808
