,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,936538.0,3499.0,822742,31.201,0.02996,2.969,20.006,16.008,20.0,1392515,2853558,4192539,9999840,18438452,937904,285268,1000000,523811,0.8567974
1,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,942888.0,3519.0,615111,31.162,0.0319,2.965,20.001,15.989,20.012,1390036,2854538,4190079,10005836,18440489,937531,285437,1000000,524117,0.85625666
2,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,954996.0,3600.0,284947,31.173,0.03647,2.962,19.997,15.996,20.0,1388779,2858116,4185475,9999839,18432209,937633,285857,1000000,523309,0.85643464
3,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,933662.0,3587.0,824130,31.232,0.02914,2.965,20.006,16.009,19.995,1389904,2845253,4198247,9997278,18430682,937471,284443,1000000,524502,0.8572104
4,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,953884.0,3643.0,637632,31.195,0.03615,2.964,19.996,16.004,20.001,1390072,2850780,4200487,10000440,18441779,938075,285136,1000000,524919,0.8568067
5,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,950243.0,3510.0,529725,31.186,0.0345,2.964,19.997,15.994,19.998,1389808,2853920,4190975,9998998,18433701,937863,285431,1000000,524054,0.85646427
6,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,943770.0,3527.0,186241,31.206,0.03207,2.958,19.999,16.003,20.0,1387198,2849871,4195102,10000130,18432301,937983,285005,1000000,524288,0.85689086
7,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,955468.0,3513.0,676235,31.164,0.03677,2.966,20.002,16.001,20.004,1391068,2854261,4194055,10001850,18441234,937950,285391,1000000,524233,0.85641694
8,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,948328.0,3571.0,990404,31.217,0.03359,2.965,20.0,16.001,19.995,1390628,2857170,4187303,9997671,18432772,938181,285724,1000000,523367,0.8569677
9,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,939299.0,3551.0,912374,31.216,0.03073,2.965,19.995,15.997,19.996,1390428,2840485,4197880,9997806,18426599,937940,284123,1000000,524849,0.85698086
10,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,929625.0,3445.0,583680,31.191,0.02807,2.953,19.996,16.007,19.998,1384743,2857291,4194644,9998852,18435530,937770,285783,1000000,524103,0.85657346
11,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,949486.0,3601.0,579875,31.182,0.03419,2.964,19.999,15.998,20.004,1389627,2848278,4198906,10002015,18438826,937705,284848,1000000,524918,0.85654026
12,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,942768.0,3552.0,977677,31.203,0.03163,2.962,20.01,16.005,19.994,1389038,2854590,4194442,9996768,18434838,937834,285310,1000000,524150,0.85676736
13,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,952084.0,3592.0,546495,31.128,0.03529,2.96,20.001,16.003,20.002,1387771,2865661,4184551,10001054,18439037,937597,286554,1000000,522969,0.8557421
14,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,947969.0,3526.0,227334,31.139,0.03353,2.961,19.996,15.994,20.002,1387760,2858514,4188926,10001219,18436419,937452,285911,1000000,523796,0.8561811
15,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,946338.0,3547.0,529884,31.169,0.03298,2.967,20.002,15.997,19.999,1391814,2862851,4184720,9999666,18439051,938274,286263,1000000,523182,0.8563611
16,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,931716.0,3428.0,757877,31.157,0.02863,2.964,19.992,16.001,19.995,1389557,2854552,4189737,9997541,18431387,937778,285567,1000000,523693,0.8562737
17,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,934753.0,3585.0,281672,31.193,0.0293,2.961,19.999,16.005,19.998,1388727,2853342,4189674,9998793,18430536,938109,285343,1000000,523554,0.85665905
18,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,964302.0,3517.0,530070,31.18,0.04202,2.965,20.005,15.998,20.002,1390456,2858472,4187924,10000819,18437671,937848,285777,1000000,523543,0.85638845
19,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,938451.0,3449.0,967031,31.183,0.03049,2.963,19.998,15.99,19.993,1389574,2851746,4187575,9996676,18425571,937954,285196,1000000,523767,0.85661024
20,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,955799.0,3532.0,251848,31.182,0.03693,2.964,19.983,15.997,20.004,1389832,2845756,4198422,10002119,18436129,937818,284820,1000000,524915,0.85658324
21,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,945631.0,3681.0,346359,31.235,0.03281,2.967,19.998,15.996,20.009,1391963,2846395,4197806,10004478,18440642,938415,284662,1000000,524844,0.85712206
22,ecuador,1000000,1000,2020-01-01,2020-12-31,hybrid,946345.0,3547.0,557398,31.185,0.033,2.973,20.004,16.002,20.011,1393955,2852417,4196015,10005272,18447659,937760,285178,1000000,524423,0.85681874
