,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,710985.0,1772.0,959907,27.929,0.0129,3.272,20.004,16.003,20.006,1564213,3109743,3886397,10003160,18563513,956087,310918,1000000,485698,0.8059887
1,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,825913.0,1975.0,460759,28.008,0.01761,3.285,20.001,16.012,19.999,1571144,3095370,3891750,9999735,18557999,956511,309520,1000000,486117,0.8068884
2,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,577423.0,1387.0,15423,27.973,0.01016,3.27,19.994,16.003,20.004,1563161,3097275,3887581,10002151,18550168,956048,309826,1000000,485856,0.8065252
3,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,642398.0,1535.0,669106,27.975,0.01126,3.272,19.99,16.009,19.994,1563554,3098889,3894930,9996830,18554203,955861,310039,1000000,486578,0.8065726
4,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,809291.0,1970.0,447965,28.001,0.01668,3.277,20.008,16.007,20.0,1566989,3083960,3901237,10000104,18552290,956499,308276,1000000,487446,0.8068943
5,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,835252.0,1926.0,972902,27.929,0.01825,3.273,20.003,15.992,19.993,1564829,3101731,3890735,9996727,18554022,956344,310121,1000000,486570,0.806075
6,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,748098.0,1841.0,123842,27.938,0.01403,3.279,19.998,15.998,20.0,1567501,3103742,3886885,9999867,18557995,956198,310400,1000000,485909,0.8062549
7,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,497510.0,1176.0,230412,27.961,0.00911,3.27,20.008,15.992,19.989,1563842,3100320,3888019,9994480,18546661,956439,309914,1000000,486241,0.8064008
8,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,705840.0,1729.0,776401,27.94,0.0127,3.273,20.0,16.002,19.998,1564625,3103469,3884372,9999181,18551647,956081,310344,1000000,485484,0.8060274
9,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,802991.0,1965.0,24308,27.98,0.0163,3.28,19.991,15.999,19.997,1568675,3094300,3892417,9998293,18553685,956425,309572,1000000,486587,0.8066299
10,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,829701.0,2026.0,383596,27.943,0.01787,3.272,19.994,16.009,20.011,1564918,3098138,3887589,10005723,18556368,956539,309910,1000000,485681,0.80611616
11,egypt,1000000,1000,2020-01-01,2020-12-31,hybrid,853587.0,2127.0,488927,27.971,0.01955,3.27,20.01,15.995,20.007,1563302,3099706,3892338,10003381,18558727,956180,309817,1000000,486704,0.80644
