,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,951980.0,4163.0,566558,31.61,0.03294,3.21,19.986,16.003,19.99,1530857,2877230,4133404,9995211,18536702,953821,287923,1000000,516588,0.86649936
1,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,936540.0,4069.0,965688,31.597,0.02813,3.217,19.989,15.998,19.998,1533808,2873829,4135306,9999076,18542019,953534,287544,1000000,516984,0.86645985
2,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,952275.0,4124.0,830963,31.632,0.033,3.222,20.012,16.005,20.002,1535999,2874334,4138389,10001191,18549913,953373,287255,1000000,517144,0.86665696
3,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,946300.0,4116.0,422941,31.55,0.03079,3.208,20.0,15.994,19.997,1529341,2885081,4128411,9998283,18541116,953308,288503,1000000,516256,0.86576414
4,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,942630.0,4027.0,851804,31.582,0.02986,3.22,19.995,15.997,20.003,1535019,2880292,4130485,10001523,18547319,953561,288108,1000000,516413,0.86615646
5,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,962169.0,4146.0,222249,31.554,0.03782,3.218,20.002,15.993,20.006,1534041,2878470,4130764,10002822,18546097,953286,287823,1000000,516577,0.86601543
6,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,946246.0,4111.0,658098,31.561,0.03103,3.214,20.016,16.002,20.005,1531573,2884886,4130132,10002628,18549219,953000,288255,1000000,516189,0.8659895
7,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,941790.0,4049.0,314807,31.58,0.02953,3.219,20.004,15.993,20.001,1534013,2879124,4131727,10000655,18545519,953055,287852,1000000,516698,0.86602914
8,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,942828.0,4033.0,643583,31.591,0.02958,3.215,19.999,16.002,19.997,1532885,2885376,4133113,9998419,18549793,953559,288545,1000000,516581,0.8661779
9,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,954083.0,4022.0,347042,31.604,0.03384,3.218,20.01,16.008,20.0,1534279,2879978,4135367,9999931,18549555,953498,287847,1000000,516675,0.8666409
10,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,950331.0,4157.0,243062,31.595,0.03233,3.225,19.993,16.007,20.002,1536756,2877533,4141667,10001176,18557132,953140,287852,1000000,517496,0.86639965
11,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,949747.0,4161.0,965805,31.587,0.0322,3.222,19.984,15.996,19.997,1536683,2875050,4136417,9998476,18546626,953738,287728,1000000,517174,0.86624974
12,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,948290.0,4021.0,284117,31.554,0.03166,3.217,19.99,15.997,19.999,1533580,2888855,4124999,9999729,18547163,953538,289031,1000000,515733,0.86573714
13,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,941587.0,4064.0,876252,31.584,0.02957,3.218,19.994,16.001,19.999,1534360,2886985,4131760,9999556,18552661,953609,288784,1000000,516422,0.8663262
14,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,953333.0,4106.0,490013,31.565,0.03372,3.217,19.998,16.008,20.002,1533953,2874999,4134922,10001050,18544924,953563,287533,1000000,516597,0.86590606
