,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,946998.0,10357.0,47135,42.796,0.03378,1.785,19.998,16.001,19.998,647855,1686104,4495576,9999002,16828537,725903,168631,1000000,561928,0.9906575
1,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,945226.0,10311.0,908889,42.839,0.03312,1.788,20.013,16.005,19.994,650079,1686784,4499721,9997187,16833771,727220,168566,1000000,562304,0.99148095
2,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,940309.0,10196.0,536264,42.827,0.03166,1.788,20.006,15.999,20.003,649603,1684301,4492469,10001592,16827965,726798,168381,1000000,561602,0.9910869
3,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,919720.0,9875.0,201239,42.833,0.02685,1.786,20.009,16.001,19.995,648989,1690966,4489288,9997269,16826512,726753,169023,1000000,561116,0.9909088
4,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,925737.0,9805.0,249142,42.816,0.02809,1.786,20.005,15.996,20.011,649201,1689673,4489960,10005362,16834196,726956,168925,1000000,561383,0.9910055
5,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,941648.0,10284.0,706531,42.833,0.03196,1.786,20.012,16.005,19.988,649058,1687472,4503107,9993772,16833409,727011,168647,1000000,562695,0.9913938
6,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,950716.0,10327.0,695535,42.857,0.03511,1.786,19.992,16.004,19.997,648948,1687021,4491510,9998253,16825732,726536,168772,1000000,561308,0.99155694
7,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,947827.0,10306.0,559806,42.822,0.03408,1.787,20.007,16.002,19.997,649440,1685430,4498112,9998729,16831711,726914,168480,1000000,562204,0.9911803
8,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,949076.0,10237.0,801251,42.846,0.03446,1.786,19.998,16.002,20.003,649078,1685775,4495118,10001717,16831688,726886,168595,1000000,561831,0.99156284
9,estonia,1000000,1000,2020-01-01,2020-12-31,hybrid,959502.0,10270.0,232321,42.809,0.03927,1.783,19.98,16.002,19.995,647256,1689601,4486546,9997537,16820940,725864,169125,1000000,560742,0.9908745
