,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933451.0,1452.0,881298,23.773,0.03249,3.715,20.004,15.99,20.005,1807970,3820354,3305044,10002738,18936106,973326,381961,1000000,413384,0.7569946
1,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,924861.0,1500.0,909594,23.765,0.03012,3.709,19.999,16.009,19.993,1804272,3825029,3306545,9996654,18932500,973029,382527,1000000,413098,0.75670636
2,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,940568.0,1499.0,275267,23.778,0.03475,3.717,19.999,16.007,19.999,1808270,3823041,3309522,9999300,18940133,972905,382320,1000000,413508,0.756983
3,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,927799.0,1479.0,527326,23.774,0.03102,3.712,19.995,15.99,19.996,1805997,3815025,3305244,9998195,18924461,973159,381591,1000000,413417,0.7567489
4,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,934808.0,1577.0,567756,23.783,0.03277,3.719,19.997,15.996,19.994,1809748,3821198,3305676,9997100,18933722,973282,382177,1000000,413323,0.7567688
5,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933057.0,1513.0,270579,23.791,0.03248,3.708,19.999,15.995,20.002,1804037,3812715,3306313,10001219,18924284,973034,381284,1000000,413428,0.7570066
6,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933393.0,1464.0,236555,23.751,0.03268,3.71,19.996,15.998,20.002,1805485,3823968,3305215,10001043,18935711,973262,382464,1000000,413193,0.7564859
7,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,946553.0,1473.0,635198,23.786,0.03706,3.717,19.996,16.0,20.004,1808462,3812979,3309381,10002110,18932932,972999,381374,1000000,413669,0.75671977
8,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,929745.0,1582.0,350151,23.794,0.03142,3.71,19.988,16.001,19.998,1805180,3820742,3304216,9999213,18929351,973118,382310,1000000,412998,0.7571153
9,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,913190.0,1412.0,882892,23.779,0.02761,3.713,20.01,16.004,19.995,1806433,3820565,3308798,9997565,18933361,973069,381868,1000000,413496,0.7568803
10,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933677.0,1428.0,855937,23.779,0.03279,3.721,20.002,16.001,20.005,1810587,3817964,3309112,10002656,18940319,973251,381766,1000000,413606,0.7567936
11,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,933661.0,1545.0,110304,23.757,0.03257,3.714,19.991,16.001,20.002,1806803,3818825,3304515,10000835,18930978,972926,382058,1000000,413047,0.75666237
12,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,938987.0,1578.0,186068,23.788,0.03423,3.708,19.997,15.996,20.002,1803385,3824053,3306907,10000995,18935340,972669,382467,1000000,413477,0.75714874
13,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,943140.0,1518.0,537492,23.822,0.03572,3.712,20.01,16.007,20.003,1805901,3814928,3313125,10001658,18935612,972941,381295,1000000,413959,0.75751895
14,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,922139.0,1538.0,448005,23.762,0.02977,3.715,20.009,15.991,20.006,1807443,3826312,3298522,10002946,18935223,973065,382455,1000000,412542,0.75640225
15,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,940575.0,1492.0,908881,23.82,0.03485,3.717,20.01,16.007,19.997,1808929,3811914,3312096,9998319,18931258,973266,381010,1000000,413830,0.75755936
16,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,944847.0,1531.0,674438,23.759,0.03653,3.712,20.01,15.997,20.001,1806032,3826214,3301059,10000274,18933579,973169,382430,1000000,412712,0.7565755
17,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,923515.0,1496.0,548502,23.776,0.02988,3.719,19.996,16.006,19.998,1809956,3820804,3304495,9999091,18934346,973301,382164,1000000,412908,0.7568349
18,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,938206.0,1504.0,3735,23.754,0.03411,3.713,19.998,15.997,19.997,1806163,3827419,3298546,9998576,18930704,972991,382779,1000000,412402,0.7563843
19,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,920920.0,1442.0,102314,23.787,0.02938,3.715,19.999,15.993,20.0,1807620,3825560,3305956,9999783,18938919,973028,382582,1000000,413438,0.7570949
20,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,928487.0,1452.0,560834,23.772,0.03114,3.716,20.0,15.989,19.999,1807838,3820451,3301460,9999622,18929371,972956,382043,1000000,412959,0.7569358
21,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,921713.0,1486.0,448978,23.789,0.02949,3.713,19.999,15.995,20.0,1806528,3819430,3303911,9999785,18929654,973044,381968,1000000,413126,0.7569761
22,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,946896.0,1474.0,627195,23.808,0.03736,3.711,20.003,16.006,20.003,1805708,3817558,3309914,10001703,18934883,973104,381706,1000000,413589,0.7573138
23,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,942026.0,1477.0,515067,23.755,0.03543,3.716,20.009,15.996,20.013,1808029,3818733,3302886,10006627,18936275,973067,381693,1000000,412958,0.7563737
24,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,935287.0,1450.0,221574,23.776,0.03321,3.704,19.993,15.999,19.993,1801758,3816839,3307549,9996340,18922486,972891,381808,1000000,413457,0.756782
25,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,927933.0,1549.0,505607,23.774,0.03086,3.71,20.012,16.009,19.997,1805426,3828153,3307097,9998308,18938984,973270,382581,1000000,413158,0.75663567
26,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,924032.0,1457.0,820202,23.79,0.02998,3.716,20.001,15.999,20.002,1807736,3817296,3309026,10001075,18935133,973004,381709,1000000,413661,0.75706893
27,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,927818.0,1524.0,962442,23.757,0.03097,3.719,19.997,16.009,20.003,1809150,3815954,3307913,10001380,18934397,972973,381660,1000000,413252,0.756711
28,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,936459.0,1493.0,88453,23.766,0.03366,3.711,20.0,16.0,20.0,1805160,3822777,3306420,10000093,18934450,972829,382286,1000000,413313,0.7568479
29,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,944703.0,1468.0,916250,23.774,0.03625,3.707,19.998,16.009,20.002,1803359,3814435,3309520,10001020,18928334,973007,381487,1000000,413452,0.75658005
