,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,886073.0,2274.0,599119,30.512,0.01958,3.677,19.99,16.002,20.001,1787094,2872314,4242401,10000452,18902261,972161,287378,1000000,530247,0.8422161
1,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825247.0,2078.0,112948,30.487,0.01528,3.677,19.982,15.997,19.997,1786260,2868322,4235596,9998517,18888695,971596,287093,1000000,529561,0.84172094
2,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,896954.0,2215.0,80985,30.52,0.02072,3.681,20.011,16.008,20.007,1788789,2872348,4245066,10003317,18909520,971900,287079,1000000,530383,0.8421866
3,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,792103.0,1969.0,822189,30.494,0.01383,3.68,19.998,16.007,19.999,1788580,2872639,4240491,9999549,18901259,972165,287296,1000000,529816,0.84220386
4,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,905621.0,2309.0,190844,30.483,0.02188,3.672,20.005,16.008,20.003,1784692,2871089,4242871,10001323,18899975,972060,287044,1000000,530094,0.8417375
5,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,826050.0,1993.0,714488,30.492,0.01536,3.68,19.995,15.987,19.994,1788037,2871094,4232431,9997133,18888695,971717,287179,1000000,529473,0.8419239
6,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,866635.0,2157.0,402226,30.538,0.01788,3.678,19.991,15.992,19.996,1787336,2871738,4235441,9997815,18892330,971875,287308,1000000,529704,0.8424603
7,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,851810.0,2022.0,725729,30.492,0.0168,3.681,20.001,16.004,20.01,1788671,2870933,4245908,10004984,18910496,971819,287085,1000000,530612,0.8421334
8,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,786504.0,1914.0,30105,30.527,0.01361,3.676,19.991,15.99,19.999,1786124,2859541,4245477,9999256,18890398,971753,286084,1000000,531010,0.8425118
9,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825485.0,2059.0,347550,30.497,0.0154,3.678,20.004,15.999,20.002,1787593,2872281,4240224,10001064,18901162,972139,287174,1000000,530060,0.8417037
10,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,818331.0,2009.0,780081,30.499,0.01488,3.682,19.991,16.006,19.998,1788783,2873060,4239280,9999072,18900195,971758,287440,1000000,529720,0.8418234
11,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,781359.0,1893.0,549146,30.474,0.01341,3.68,20.007,16.008,20.007,1787720,2877876,4243823,10003585,18913004,971499,287694,1000000,530211,0.84189034
12,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,667838.0,1683.0,25134,30.54,0.01052,3.677,19.998,16.001,20.004,1787471,2869739,4242806,10001975,18901991,972195,287000,1000000,530323,0.84264904
13,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,853982.0,2134.0,590802,30.516,0.017,3.678,19.999,16.001,19.997,1787203,2869124,4241418,9998736,18896481,971779,286920,1000000,530128,0.8422765
14,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,800498.0,1955.0,775469,30.486,0.01421,3.677,20.01,15.997,19.999,1786962,2866237,4239970,9999343,18892512,972077,286479,1000000,530082,0.8420059
15,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,864451.0,2145.0,861087,30.463,0.01774,3.681,20.009,15.998,20.0,1788926,2883546,4232161,10000045,18904678,972084,288224,1000000,529101,0.84156024
16,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825724.0,2021.0,315279,30.506,0.01529,3.675,20.007,16.0,19.993,1785046,2870687,4244887,9996440,18897060,971546,286975,1000000,530595,0.8423275
17,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,733866.0,1867.0,798868,30.507,0.01201,3.676,19.999,16.002,20.01,1785831,2863377,4240600,10004763,18894571,971542,286347,1000000,530023,0.8419617
18,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,874144.0,2155.0,193023,30.501,0.0185,3.681,20.005,16.001,20.006,1788667,2878198,4236361,10002857,18906083,971856,287744,1000000,529512,0.8421426
19,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,738375.0,1773.0,187838,30.446,0.01216,3.671,20.007,16.001,19.998,1783719,2879263,4232344,9998945,18894271,971662,287828,1000000,529020,0.8412495
20,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,892801.0,2226.0,317335,30.445,0.02036,3.666,19.997,16.0,19.997,1781487,2884044,4229107,9998630,18893268,971766,288441,1000000,528629,0.84123284
21,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,797788.0,1923.0,434954,30.54,0.014,3.682,20.015,15.996,19.994,1789054,2867162,4241734,9996755,18894705,971767,286506,1000000,530348,0.84245014
22,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825273.0,2083.0,800077,30.549,0.01534,3.683,19.98,15.99,20.002,1789960,2862276,4238509,10001049,18891794,971901,286518,1000000,530146,0.84268445
23,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,734227.0,1856.0,153606,30.476,0.01204,3.666,20.007,15.999,19.998,1781778,2872661,4238251,9998960,18891650,972171,287171,1000000,529805,0.8416968
