,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,926547.0,9786.0,114615,43.448,0.02906,1.63,20.011,16.002,20.009,536157,1747892,4304090,10004354,16592493,657996,174692,1000000,537928,1.0026445
1,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,916163.0,9746.0,782835,43.5,0.02706,1.628,20.018,15.988,20.0,536015,1747886,4295537,10000136,16579574,658338,174630,1000000,537336,1.0034213
2,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,911566.0,9673.0,783245,43.458,0.02627,1.629,19.993,16.0,20.001,536723,1755395,4298828,10000609,16591555,658965,175604,1000000,537341,1.0028709
3,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,917079.0,9765.0,750643,43.443,0.02726,1.628,20.01,15.997,19.999,535441,1748940,4306714,9999532,16590627,657754,174805,1000000,538430,1.0024396
4,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,913707.0,10156.0,718255,43.455,0.02665,1.628,20.02,16.006,20.0,536507,1754227,4305541,9999832,16596107,659042,175248,1000000,537986,1.0025822
5,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,920052.0,10157.0,551193,43.461,0.02782,1.631,19.996,16.001,20.007,537200,1750869,4298503,10003313,16589885,658582,175120,1000000,537264,1.0028098
6,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,923608.0,9893.0,46660,43.487,0.02831,1.632,20.0,15.996,19.999,538205,1747200,4305448,9999579,16590432,659476,174722,1000000,538300,1.0029832
7,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,874861.0,9402.0,240443,43.462,0.02187,1.633,20.012,16.001,19.999,537991,1750290,4298108,9999460,16585849,659092,174927,1000000,537246,1.0026858
8,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,927470.0,9951.0,462641,43.455,0.02936,1.634,20.004,16.007,20.005,538125,1747146,4304662,10002705,16592638,658834,174677,1000000,537845,1.0026072
9,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,929228.0,10183.0,217674,43.444,0.02978,1.633,19.998,16.006,19.998,537488,1754635,4299183,9999155,16590461,658244,175477,1000000,537210,1.0027468
10,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,940554.0,10265.0,417176,43.463,0.03288,1.632,19.989,15.998,19.998,537861,1752258,4298677,9999107,16587903,658998,175324,1000000,537406,1.0027528
11,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,910874.0,9845.0,390573,43.453,0.02619,1.629,19.992,15.997,20.003,535447,1747995,4305074,10001335,16589851,657267,174873,1000000,538222,1.0028547
12,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,900129.0,9548.0,681197,43.406,0.02467,1.628,19.997,16.005,20.001,535164,1753713,4302744,10000586,16592207,657287,175396,1000000,537672,1.0022618
13,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,925006.0,10063.0,252026,43.501,0.02873,1.634,19.997,16.0,20.005,538327,1743926,4301258,10002311,16585822,658841,174421,1000000,537656,1.003244
14,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,935474.0,10209.0,948691,43.475,0.03134,1.629,20.004,16.005,19.996,536304,1741708,4307669,9998057,16583738,658525,174140,1000000,538283,1.0030354
15,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,900934.0,9726.0,217821,43.504,0.02474,1.635,20.008,16.004,20.001,538713,1743672,4306810,10000396,16589591,658936,174294,1000000,538227,1.0032344
16,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,889030.0,9401.0,345329,43.454,0.02326,1.63,19.994,16.011,20.001,536849,1747921,4304305,10000435,16589510,658758,174841,1000000,537658,1.0027885
17,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,879038.0,9451.0,344578,43.487,0.02214,1.635,19.992,16.001,20.0,538284,1751312,4301852,9999816,16591264,658394,175201,1000000,537693,1.0030118
