,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,france,1000000,1000,2020-01-01,2020-12-31,hybrid,927646.0,10217.0,792456,42.38,0.02949,1.729,19.98,15.993,20.0,609691,1897001,4250223,9999978,16756893,705122,189886,1000000,531499,0.98252654
1,france,1000000,1000,2020-01-01,2020-12-31,hybrid,948233.0,10741.0,368788,42.423,0.03553,1.734,19.992,15.994,19.992,612139,1888764,4256526,9995921,16753350,706237,188954,1000000,532259,0.98314345
2,france,1000000,1000,2020-01-01,2020-12-31,hybrid,947307.0,10732.0,721199,42.37,0.03516,1.732,19.997,15.997,19.995,610950,1899300,4253526,9997559,16761335,705418,189961,1000000,531796,0.98257226
3,france,1000000,1000,2020-01-01,2020-12-31,hybrid,940979.0,10355.0,931974,42.405,0.03306,1.729,19.998,15.988,19.997,609874,1893837,4259322,9998286,16761319,705415,189400,1000000,532827,0.9831428
4,france,1000000,1000,2020-01-01,2020-12-31,hybrid,943444.0,10693.0,718797,42.397,0.034,1.73,19.983,15.996,20.001,610085,1899285,4251713,10000629,16761712,705183,190089,1000000,531595,0.98320127
5,france,1000000,1000,2020-01-01,2020-12-31,hybrid,953687.0,10887.0,306406,42.44,0.03803,1.734,20.016,15.992,20.002,612153,1894372,4254662,10000871,16762058,705990,189288,1000000,532098,0.98340815
6,france,1000000,1000,2020-01-01,2020-12-31,hybrid,918176.0,9928.0,907871,42.418,0.02757,1.735,20.0,15.997,20.0,612181,1891594,4260261,9999871,16763907,705846,189158,1000000,532621,0.9832074
7,france,1000000,1000,2020-01-01,2020-12-31,hybrid,949726.0,10672.0,79111,42.406,0.03615,1.733,19.984,16.002,20.002,611948,1884115,4269810,10000861,16766734,706241,188566,1000000,533659,0.98312753
8,france,1000000,1000,2020-01-01,2020-12-31,hybrid,954075.0,10574.0,390655,42.365,0.03811,1.735,19.979,15.997,19.999,611867,1890614,4261265,9999744,16763490,705429,189260,1000000,532743,0.98269594
9,france,1000000,1000,2020-01-01,2020-12-31,hybrid,924775.0,10293.0,541224,42.376,0.02904,1.73,20.002,16.0,19.991,609613,1894078,4257283,9995428,16756402,704874,189385,1000000,532175,0.98271835
10,france,1000000,1000,2020-01-01,2020-12-31,hybrid,956645.0,10612.0,564291,42.376,0.03952,1.733,19.999,15.994,19.995,611394,1900880,4253290,9997548,16763112,705594,190101,1000000,531853,0.9828457
11,france,1000000,1000,2020-01-01,2020-12-31,hybrid,925417.0,10144.0,89564,42.379,0.02917,1.73,20.002,16.006,20.007,610459,1896772,4255094,10003298,16765623,705569,189659,1000000,531673,0.9827128
12,france,1000000,1000,2020-01-01,2020-12-31,hybrid,921345.0,10266.0,224169,42.405,0.02835,1.731,19.995,15.993,20.002,610323,1889849,4259454,10000947,16760573,705131,189033,1000000,532672,0.9829384
13,france,1000000,1000,2020-01-01,2020-12-31,hybrid,928686.0,10331.0,218762,42.385,0.02983,1.731,19.993,15.999,19.997,609680,1890810,4265403,9998589,16764482,704621,189147,1000000,533194,0.98280007
14,france,1000000,1000,2020-01-01,2020-12-31,hybrid,925324.0,10222.0,120816,42.359,0.0292,1.73,19.978,16.006,19.992,610099,1896331,4260559,9996231,16763220,705113,189843,1000000,532369,0.9825934
15,france,1000000,1000,2020-01-01,2020-12-31,hybrid,954118.0,10689.0,244356,42.417,0.03795,1.736,19.998,15.993,19.994,612308,1891492,4261649,9997075,16762524,705430,189165,1000000,532930,0.9833701
16,france,1000000,1000,2020-01-01,2020-12-31,hybrid,941949.0,10481.0,717801,42.388,0.03356,1.733,19.984,15.994,19.99,611523,1888911,4260532,9994838,16755804,705833,189039,1000000,532775,0.98274046
