,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,789859.0,1894.0,951138,29.044,0.0164,2.683,19.988,15.996,20.001,1226147,3120512,3956814,10000460,18303933,913965,312239,1000000,494735,0.81851137
1,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,761946.0,1844.0,666090,29.091,0.01518,2.684,19.996,15.989,20.004,1226841,3119455,3966722,10002029,18315047,914145,312011,1000000,496167,0.8191514
2,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,815380.0,1997.0,127443,29.026,0.01771,2.682,19.999,16.01,19.999,1225666,3127337,3959757,9999311,18312071,913903,312755,1000000,494646,0.81828654
3,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,821356.0,1969.0,465469,29.049,0.01811,2.684,19.999,15.999,20.001,1226493,3119408,3961486,10000389,18307776,914029,311951,1000000,495220,0.8184986
4,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,516798.0,1245.0,207035,29.033,0.0098,2.677,19.996,16.0,19.996,1223032,3124660,3959170,9998166,18305028,913879,312535,1000000,494896,0.81832606
5,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,804510.0,1868.0,625484,29.059,0.01713,2.687,19.991,15.991,19.995,1228956,3119375,3961179,9997503,18307013,914724,312082,1000000,495427,0.8188262
6,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,775314.0,1922.0,670010,29.055,0.01567,2.688,19.999,16.004,20.001,1228467,3128122,3963585,10000256,18320430,913909,312835,1000000,495320,0.8190064
7,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,486576.0,1118.0,130827,29.051,0.00948,2.68,19.997,16.013,19.996,1224775,3124897,3960508,9998177,18308357,913860,312532,1000000,494655,0.8186814
8,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,783078.0,1876.0,459411,29.066,0.01609,2.685,19.995,15.995,19.996,1226986,3124176,3957838,9997943,18306943,913872,312500,1000000,494873,0.81862533
9,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,822688.0,2010.0,459950,29.049,0.01819,2.683,19.988,16.005,20.003,1226195,3120793,3962896,10001553,18311437,914110,312268,1000000,495194,0.81857836
10,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,834359.0,2003.0,325412,29.054,0.01904,2.686,19.997,16.004,20.002,1227266,3120550,3959544,10001046,18308406,913673,312098,1000000,494809,0.8185823
11,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,775164.0,1871.0,46328,29.056,0.01571,2.686,20.006,16.001,19.999,1227595,3128205,3957276,9999321,18312397,913973,312723,1000000,494619,0.8186083
12,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,784886.0,1937.0,306427,29.036,0.01618,2.683,20.005,16.004,19.999,1225871,3121746,3961966,9999730,18309313,913661,312095,1000000,495111,0.81812215
13,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,871213.0,2052.0,656670,29.061,0.02221,2.686,20.004,15.993,19.996,1228019,3122516,3961464,9998120,18310119,914526,312190,1000000,495411,0.81879205
14,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,708820.0,1723.0,424647,29.04,0.0134,2.684,19.999,15.996,20.004,1226895,3122314,3960911,10002098,18312218,914205,312243,1000000,495240,0.81872404
15,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,753739.0,1810.0,210298,29.091,0.01477,2.689,20.005,16.0,20.012,1229686,3115970,3964837,10005874,18316367,914527,311526,1000000,495592,0.8191006
16,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,708130.0,1671.0,900624,29.06,0.01329,2.684,20.004,16.002,19.997,1227137,3120357,3963835,9998710,18310039,914408,311980,1000000,495423,0.818805
