,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,884919.0,1015.0,176189,22.194,0.017,7.229,20.0,16.005,20.001,3611693,3923438,3130824,10000600,20666555,999231,392334,1000000,391236,0.72831756
1,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,775852.0,900.0,851121,22.163,0.0117,7.244,20.004,16.0,19.992,3619643,3920424,3127717,9996109,20663893,999303,391963,1000000,390976,0.7282132
2,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,865057.0,981.0,569730,22.184,0.01555,7.236,20.009,15.997,19.995,3615322,3929490,3121315,9997323,20663450,999275,392781,1000000,390233,0.72848904
3,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,926940.0,1090.0,406265,22.199,0.02193,7.232,20.002,16.006,19.994,3613275,3919578,3131602,9997066,20661521,999255,391924,1000000,391301,0.72841835
4,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,889879.0,1043.0,594210,22.22,0.01749,7.228,20.011,16.004,20.002,3611470,3919745,3136352,10001026,20668593,999333,391756,1000000,391944,0.7289547
5,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,913510.0,936.0,132121,22.193,0.01977,7.249,19.987,15.995,20.004,3621630,3917770,3128498,10002247,20670145,999269,392028,1000000,391186,0.7285298
6,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,873264.0,999.0,423369,22.181,0.01616,7.227,20.002,15.993,20.007,3611063,3916914,3137709,10003482,20669168,999282,391652,1000000,392397,0.7287175
7,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,869658.0,1003.0,706318,22.173,0.01588,7.229,19.996,15.996,20.005,3611793,3920492,3127601,10002290,20662176,999279,392137,1000000,391050,0.7283451
8,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,657622.0,840.0,249806,22.213,0.00904,7.235,19.994,16.002,20.005,3614925,3916141,3137404,10002400,20670870,999255,391723,1000000,392120,0.72903514
9,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,904260.0,998.0,31552,22.194,0.01882,7.234,20.004,16.0,19.996,3614387,3931769,3129663,9998045,20673864,999263,393105,1000000,391218,0.72858584
10,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,775512.0,855.0,244486,22.201,0.01164,7.228,19.986,15.989,19.993,3611746,3918988,3129339,9996534,20656607,999338,392166,1000000,391431,0.728689
