,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,857255.0,6506.0,399769,39.159,0.01781,2.585,20.001,16.007,19.998,1168153,1984060,4489736,9999115,17641064,903727,198395,1000000,560961,0.94430023
1,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,908421.0,6800.0,834190,39.129,0.02282,2.594,19.998,15.995,19.993,1171019,1983213,4485735,9996678,17636645,903010,198345,1000000,560883,0.9437296
2,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,869767.0,6494.0,481296,39.129,0.01875,2.59,19.991,15.992,20.005,1169101,1985060,4485106,10002298,17641565,902792,198597,1000000,560913,0.94357383
3,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,878821.0,6694.0,661431,39.163,0.01955,2.588,19.985,15.994,19.994,1168508,1985679,4482207,9996898,17633292,903193,198721,1000000,560469,0.9441324
4,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,867807.0,6448.0,416201,39.174,0.01858,2.593,20.0,15.998,20.004,1172034,1983781,4485470,10002050,17643335,903889,198383,1000000,560743,0.9443113
5,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,876158.0,6399.0,758484,39.175,0.01925,2.59,20.0,16.005,20.001,1170310,1988649,4483470,10000541,17642970,903560,198861,1000000,560266,0.94435954
6,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,818917.0,6103.0,175523,39.184,0.01558,2.595,20.012,15.989,20.004,1172195,1989097,4483557,10001852,17646701,903469,198794,1000000,560835,0.94468075
7,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,841916.0,6285.0,968552,39.185,0.0168,2.591,20.007,16.012,19.997,1170850,1989330,4490994,9998710,17649884,903650,198863,1000000,560961,0.9444958
8,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,809358.0,6085.0,982471,39.198,0.01514,2.586,20.009,15.995,20.002,1168121,1987369,4488702,10001122,17645314,903554,198646,1000000,561262,0.9443835
9,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,862726.0,6481.0,217072,39.132,0.0181,2.587,20.013,16.007,19.991,1168667,1986984,4492291,9995597,17643539,903514,198569,1000000,561302,0.94383514
10,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,711519.0,5182.0,483223,39.13,0.01203,2.579,20.001,15.999,20.009,1165252,1986982,4493099,10004310,17649643,903508,198686,1000000,561659,0.9438893
11,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,848642.0,6303.0,977572,39.141,0.01727,2.589,19.998,16.0,19.993,1169175,1982510,4488592,9996733,17637010,903115,198270,1000000,561076,0.94379646
12,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,703332.0,5181.0,967692,39.113,0.01183,2.588,19.995,16.001,19.998,1168816,1989723,4483668,9999136,17641343,903370,199024,1000000,560408,0.9433719
13,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,889193.0,6695.0,425371,39.152,0.0204,2.584,20.015,15.994,19.999,1167527,1984256,4487610,9999587,17638980,903604,198280,1000000,561175,0.9438197
14,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,848652.0,6291.0,681226,39.105,0.01733,2.584,20.006,16.005,20.0,1166957,1992560,4483427,9999973,17642917,903293,199194,1000000,560270,0.9436627
15,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,790476.0,5898.0,727590,39.158,0.01438,2.583,20.005,15.992,19.991,1166936,1980281,4488397,9995722,17631336,903657,197982,1000000,561345,0.9439344
16,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,816252.0,6053.0,807133,39.129,0.01545,2.589,19.995,16.0,20.001,1168648,1990665,4485887,10000694,17645894,902790,199121,1000000,560734,0.94376594
17,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,718749.0,5228.0,509960,39.135,0.01221,2.581,20.019,16.001,20.001,1165576,1987364,4486050,10000619,17639609,903252,198552,1000000,560732,0.9436759
18,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,840609.0,6352.0,316472,39.153,0.01674,2.587,20.001,15.992,19.996,1168727,1984525,4489205,9998182,17640639,903561,198438,1000000,561423,0.9441425
19,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,912133.0,6833.0,679868,39.141,0.02328,2.585,19.978,16.013,19.996,1167759,1987536,4486300,9998010,17639605,903412,198968,1000000,560315,0.943779
20,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,813298.0,6125.0,518614,39.146,0.01534,2.585,19.991,15.994,19.994,1166681,1980667,4489350,9997192,17633890,902490,198154,1000000,561377,0.94423604
21,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,899855.0,6815.0,354907,39.203,0.02163,2.588,20.013,15.998,20.001,1169182,1986634,4484793,10000725,17641334,903643,198538,1000000,560667,0.94448835
22,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,896138.0,6846.0,224657,39.168,0.02115,2.589,19.991,16.0,20.001,1169080,1979919,4491256,10000471,17640726,903283,198084,1000000,561413,0.9444406
23,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,905398.0,6746.0,512671,39.145,0.02257,2.586,19.992,16.001,20.005,1167506,1988832,4482072,10002533,17640943,902858,198960,1000000,560216,0.9438022
24,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,850878.0,6383.0,792907,39.166,0.01737,2.579,19.999,15.999,19.997,1164745,1984037,4483897,9998413,17631092,903159,198409,1000000,560513,0.9441315
25,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,841782.0,6331.0,697741,39.178,0.01681,2.592,20.017,15.997,20.0,1170921,1982658,4488305,10000113,17641997,903533,198096,1000000,561129,0.94431263
26,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,814731.0,5929.0,885677,39.145,0.01538,2.584,20.007,16.003,19.993,1166460,1988127,4489234,9996318,17640139,902846,198742,1000000,561049,0.94409925
27,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,854905.0,6633.0,764511,39.173,0.01776,2.581,19.997,15.999,19.996,1165380,1990312,4480180,9998057,17633929,902912,199065,1000000,560060,0.94433975
28,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,838992.0,6299.0,227093,39.123,0.01675,2.586,19.987,15.997,19.993,1167909,1982307,4485062,9996727,17632005,903412,198355,1000000,560732,0.9435615
29,georgia,1000000,1000,2020-01-01,2020-12-31,hybrid,811158.0,6048.0,32480,39.159,0.01523,2.587,19.987,15.994,19.999,1169197,1983458,4483618,9999350,17635623,903751,198479,1000000,560655,0.94407064
