,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,841373.0,9915.0,754867,44.881,0.01872,1.612,19.988,15.996,20.004,523414,1547617,4520988,10001814,16593833,649249,154851,1000000,565260,1.0125461
1,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,771925.0,8919.0,762406,44.823,0.01539,1.615,20.002,16.005,20.005,523828,1550148,4530449,10002290,16606715,648682,154996,1000000,566116,1.0120243
2,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,878167.0,10542.0,335332,44.878,0.02152,1.611,19.994,15.993,20.003,522822,1544020,4521464,10001582,16589888,649214,154446,1000000,565426,1.0126386
3,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,779991.0,9034.0,703513,44.853,0.0157,1.609,19.996,15.995,20.004,521371,1544891,4528460,10001844,16596566,648252,154523,1000000,566239,1.0122379
4,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,743731.0,8573.0,496933,44.867,0.01443,1.612,19.998,15.99,20.006,523174,1543696,4526870,10003077,16596817,648944,154384,1000000,566224,1.0122159
5,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,863226.0,10145.0,890864,44.873,0.02029,1.611,20.002,15.994,20.0,522243,1548003,4529314,9999757,16599317,648258,154786,1000000,566376,1.0124254
6,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,777482.0,8781.0,555970,44.89,0.01561,1.617,20.006,16.009,19.997,525605,1541901,4530020,9998517,16596043,650146,154144,1000000,565935,1.012498
7,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,529896.0,5692.0,440450,44.877,0.0102,1.615,19.981,16.005,19.994,523551,1541167,4527901,9996921,16589540,648430,154266,1000000,565804,1.0123193
8,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,843232.0,9904.0,138111,44.848,0.0189,1.613,20.004,16.0,19.999,522988,1548251,4527855,9999724,16598818,648590,154795,1000000,565989,1.0121001
9,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,837425.0,9672.0,109655,44.842,0.01842,1.613,20.017,15.99,19.999,523800,1548063,4521371,9999527,16592761,649409,154674,1000000,565538,1.0121628
10,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,758278.0,8718.0,282149,44.818,0.01493,1.612,20.014,16.005,20.004,522333,1554226,4527520,10002139,16606218,647936,155316,1000000,565779,1.0115058
11,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,808684.0,9394.0,764617,44.856,0.01696,1.616,19.996,16.006,20.002,523982,1545816,4531086,10000997,16601881,648642,154613,1000000,566165,1.0123347
12,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,604525.0,6687.0,458902,44.865,0.01134,1.614,20.014,16.007,20.004,523764,1549332,4528851,10001890,16603837,649177,154822,1000000,565874,1.0122958
