,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,926343.0,1278.0,628219,25.397,0.03438,2.725,19.985,16.009,20.003,1249493,3512412,3664513,10001274,18427692,917206,351500,1000000,457808,0.7755139
1,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,925553.0,1326.0,608479,25.357,0.03425,2.717,20.002,15.999,19.996,1246614,3509170,3660777,9997917,18414478,917587,350880,1000000,457631,0.7749003
2,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,904523.0,1215.0,7376,25.369,0.02902,2.717,20.019,15.994,19.996,1245582,3517875,3657261,9997763,18418481,916975,351453,1000000,457341,0.7753734
3,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,884502.0,1345.0,817774,25.369,0.0257,2.715,20.005,16.006,20.001,1244784,3522079,3657160,10000434,18424457,916819,352114,1000000,456978,0.775019
4,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,921254.0,1372.0,764060,25.365,0.03293,2.722,19.993,16.001,20.0,1248244,3521116,3657461,10000169,18426990,917061,352228,1000000,457155,0.7750702
5,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,903701.0,1313.0,456205,25.394,0.02884,2.714,19.987,16.003,19.997,1244387,3510146,3662963,9998672,18416168,917149,351250,1000000,457772,0.775728
6,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,924020.0,1281.0,673957,25.368,0.03365,2.71,20.012,16.013,20.001,1242176,3517310,3663029,10000714,18423229,916774,351517,1000000,457507,0.7751184
7,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,903422.0,1299.0,356625,25.395,0.02887,2.719,19.995,15.998,20.001,1246778,3507128,3665357,10000259,18419522,917145,350795,1000000,458234,0.77556974
8,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,916252.0,1239.0,106276,25.41,0.03131,2.721,20.0,16.002,20.001,1247816,3516316,3665113,10000618,18429863,917144,351626,1000000,458073,0.7758137
9,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,931843.0,1263.0,621781,25.404,0.03595,2.718,20.003,15.982,20.013,1246959,3506051,3662947,10006472,18422429,917514,350549,1000000,458398,0.77566427
10,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,925838.0,1317.0,607337,25.413,0.03404,2.721,20.01,16.002,19.998,1247300,3514148,3663309,9999148,18423905,916889,351234,1000000,457861,0.775635
11,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,923366.0,1257.0,172703,25.377,0.03359,2.721,19.991,16.009,19.993,1247043,3517410,3658674,9996746,18419873,916689,351893,1000000,457066,0.7751272
12,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,909493.0,1265.0,922065,25.39,0.03003,2.72,19.998,16.006,20.002,1247516,3518114,3661236,10000927,18427793,917180,351851,1000000,457469,0.77545565
13,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,914804.0,1281.0,448940,25.402,0.03132,2.719,20.004,15.993,19.999,1247024,3517093,3659396,9999534,18423047,917124,351632,1000000,457615,0.7756701
14,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,921234.0,1287.0,373190,25.387,0.03283,2.719,20.016,16.004,20.007,1247497,3509612,3667948,10003537,18428594,917581,350686,1000000,458393,0.77541226
15,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,900969.0,1301.0,415491,25.385,0.02815,2.72,20.005,15.997,19.997,1247373,3525048,3658183,9998580,18429184,917167,352424,1000000,457354,0.7754282
