,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,940837.0,12055.0,630107,45.233,0.02887,1.889,20.0,16.005,20.002,720870,1564280,4520556,10000976,16806682,763419,156428,1000000,564888,1.0177662
1,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,917236.0,11811.0,718163,45.215,0.02434,1.886,19.998,16.001,20.0,719343,1569417,4522840,10000118,16811718,762778,156957,1000000,565318,1.0178295
2,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,959612.0,12366.0,638698,45.247,0.03519,1.89,19.99,16.002,19.997,721495,1562350,4524630,9998662,16807137,763593,156312,1000000,565493,1.0179931
3,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,937559.0,12103.0,811248,45.234,0.02809,1.888,20.012,16.0,19.992,719621,1568186,4521517,9996193,16805517,762377,156727,1000000,565174,1.0180223
4,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,921151.0,11838.0,702265,45.237,0.02495,1.888,20.008,16.001,20.004,720930,1570035,4522077,10002028,16815070,763708,156938,1000000,565220,1.0178689
5,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,908610.0,11589.0,311394,45.211,0.02303,1.889,20.013,16.003,20.01,720337,1572891,4518001,10005155,16816384,762504,157186,1000000,564645,1.0175437
6,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,951198.0,12162.0,66807,45.25,0.03181,1.886,19.979,15.999,20.002,719895,1564074,4522729,10000874,16807572,763415,156570,1000000,565368,1.0179341
7,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,912987.0,11517.0,408361,45.238,0.02383,1.89,19.974,16.001,20.0,720941,1568705,4513892,9999893,16803431,762708,157076,1000000,564199,1.0179571
8,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,946479.0,12039.0,124457,45.204,0.0305,1.89,19.982,15.994,19.997,721240,1567286,4519706,9998378,16806610,763117,156868,1000000,565190,1.0176386
9,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,943997.0,12038.0,628544,45.228,0.02978,1.887,20.005,16.005,19.999,719817,1562675,4528435,9999487,16810414,762951,156232,1000000,565881,1.0177503
10,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,908934.0,11407.0,540463,45.21,0.02314,1.888,19.984,15.995,19.997,720151,1565168,4522409,9998468,16806196,762825,156645,1000000,565482,1.0174924
11,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,958173.0,12457.0,389111,45.236,0.0347,1.89,20.002,16.001,20.003,720720,1561893,4521564,10001268,16805445,762764,156171,1000000,565151,1.0179621
12,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,933496.0,11996.0,856959,45.24,0.02734,1.892,20.001,15.998,20.0,722399,1569130,4520152,9999788,16811469,763569,156905,1000000,565091,1.017996
13,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,927135.0,11671.0,954629,45.209,0.02605,1.89,19.98,15.996,19.997,720422,1569983,4515692,9998688,16804785,762516,157152,1000000,564598,1.0177033
14,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,923745.0,11715.0,282863,45.208,0.0254,1.885,19.994,15.998,20.007,719290,1565034,4520245,10003609,16808178,763209,156553,1000000,565099,1.0176302
15,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,912682.0,11798.0,620998,45.257,0.02366,1.886,20.005,16.001,20.004,719327,1564874,4516533,10002005,16802739,762748,156450,1000000,564522,1.0180397
16,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,961810.0,12603.0,524611,45.28,0.03619,1.888,20.012,15.991,19.999,719868,1568716,4515209,9999539,16803332,762421,156779,1000000,564705,1.0182145
17,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,947543.0,12311.0,119843,45.245,0.03076,1.885,20.004,16.003,20.004,718783,1564617,4527347,10002081,16812828,762451,156427,1000000,565829,1.0180608
18,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,897399.0,11265.0,106349,45.214,0.02188,1.886,20.009,16.001,20.009,719210,1568259,4518458,10004443,16810370,762794,156758,1000000,564764,1.0177687
19,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,927730.0,11884.0,991080,45.186,0.02605,1.884,19.996,16.003,19.999,718557,1573393,4519203,9999424,16810577,762863,157371,1000000,564789,1.0171363
20,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,935108.0,12010.0,906743,45.213,0.02762,1.887,19.992,15.999,19.997,719631,1564265,4524316,9998469,16806681,762657,156493,1000000,565565,1.0177534
21,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,951333.0,12377.0,289874,45.22,0.03195,1.884,19.995,15.996,20.006,719186,1568893,4520662,10003213,16811954,763286,156929,1000000,565212,1.0177826
22,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,911999.0,11389.0,494832,45.247,0.02362,1.886,19.998,16.005,20.002,719710,1568311,4527018,10001051,16816090,763066,156849,1000000,565708,1.0179563
23,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,923629.0,11773.0,931212,45.246,0.02538,1.892,20.023,15.997,20.003,722171,1566669,4520181,10001704,16810725,763268,156484,1000000,565124,1.0180295
24,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,909362.0,11500.0,44226,45.21,0.02323,1.884,20.02,16.001,19.997,718619,1574174,4522568,9998656,16814017,762901,157262,1000000,565298,1.0175431
25,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,951880.0,12218.0,59264,45.217,0.03213,1.883,20.004,16.001,20.001,718425,1567581,4527337,10000656,16813999,763205,156725,1000000,565866,1.017668
26,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,850481.0,10516.0,389288,45.182,0.01802,1.887,19.995,15.988,20.003,718629,1570539,4514028,10001617,16804813,761578,157096,1000000,564677,1.0172158
27,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,955182.0,12434.0,401305,45.224,0.03337,1.887,20.009,16.005,19.999,719633,1569078,4516831,9999708,16805250,762863,156835,1000000,564445,1.017661
28,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,939748.0,12219.0,451854,45.279,0.02863,1.887,20.001,16.002,19.994,720857,1563737,4519090,9996956,16800640,764143,156369,1000000,564805,1.018352
29,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,913349.0,11619.0,496017,45.198,0.02382,1.888,19.974,16.004,19.993,720464,1567748,4523328,9996546,16808086,763017,156982,1000000,565290,1.0174552
