,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,918658.0,9206.0,647774,41.811,0.02736,1.781,20.017,15.99,20.002,645621,2146677,4159510,10000751,16952559,725021,214489,1000000,520261,0.9708928
1,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,938676.0,9400.0,677104,41.87,0.0317,1.785,20.007,16.0,19.999,649081,2138221,4164330,9999254,16950886,727061,213744,1000000,520551,0.97181195
2,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,946682.0,9560.0,103995,41.817,0.03453,1.784,20.005,15.993,20.007,647962,2146909,4159154,10003519,16957544,726457,214635,1000000,520126,0.97095007
3,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,920298.0,9138.0,736201,41.842,0.02747,1.785,19.992,15.998,19.998,648690,2140369,4160404,9998900,16948363,726817,214120,1000000,520127,0.9712406
4,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,884086.0,8756.0,733591,41.822,0.02236,1.784,19.997,16.009,19.999,647823,2150101,4163005,9999733,16960662,726304,215041,1000000,520087,0.97107935
5,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,928328.0,9274.0,335180,41.861,0.02905,1.786,19.993,16.004,19.993,649363,2142593,4167754,9996728,16956438,727140,214335,1000000,520825,0.9714222
6,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,923631.0,9150.0,149760,41.867,0.02805,1.785,19.997,16.001,19.996,648766,2141106,4167014,9997810,16954696,726764,214138,1000000,520832,0.97149193
7,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,875170.0,8692.0,605801,41.802,0.02149,1.784,19.997,16.008,20.0,647481,2149657,4160730,10000012,16957880,725832,215002,1000000,519818,0.9705619
8,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,901937.0,9007.0,284313,41.869,0.02452,1.782,19.998,15.994,20.002,647353,2138989,4157592,10000818,16944752,726675,213923,1000000,519880,0.9716428
9,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,921502.0,9300.0,543559,41.86,0.02767,1.784,19.991,15.998,20.0,647760,2136368,4165774,10000213,16950115,726234,213734,1000000,520794,0.9714901
10,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,904937.0,9156.0,810241,41.882,0.02498,1.787,20.001,16.002,20.005,648750,2141510,4160644,10002446,16953350,726162,214135,1000000,520002,0.9715732
11,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,926095.0,9184.0,31445,41.851,0.02867,1.786,20.015,15.991,19.992,648186,2153052,4150444,9995879,16947561,725749,215143,1000000,519084,0.9713195
12,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,916738.0,9066.0,787263,41.816,0.02698,1.783,19.989,15.996,20.003,647805,2154801,4154361,10001407,16958374,726497,215595,1000000,519422,0.9708892
13,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,918117.0,9215.0,435076,41.83,0.02698,1.788,19.99,16.002,20.001,649371,2152407,4156693,10000674,16959145,726445,215344,1000000,519527,0.9710964
14,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,929939.0,9214.0,820518,41.875,0.02942,1.784,20.004,16.006,19.999,648259,2145005,4158872,9999716,16951852,726839,214462,1000000,519648,0.9716987
15,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,909183.0,8962.0,227077,41.793,0.02565,1.784,20.017,16.002,20.004,647077,2155296,4157530,10001797,16961700,725368,215351,1000000,519613,0.9707174
16,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,930704.0,9489.0,114295,41.84,0.0296,1.787,19.983,15.998,19.996,648759,2145950,4154079,9997832,16946620,726265,214778,1000000,519317,0.97112423
17,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,918964.0,9320.0,679823,41.825,0.02726,1.787,19.993,15.992,19.997,649143,2150315,4152373,9998318,16950149,726447,215105,1000000,519291,0.971019
18,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,894350.0,8664.0,819936,41.811,0.02356,1.784,19.995,16.0,20.004,647900,2144311,4165043,10001775,16959029,726506,214484,1000000,520620,0.97100157
19,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,934006.0,9359.0,44772,41.875,0.03034,1.787,20.003,16.004,20.002,649206,2138196,4164821,10000761,16952984,726578,213788,1000000,520462,0.9719232
20,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,907975.0,8937.0,268028,41.859,0.02535,1.788,20.0,15.989,20.002,649569,2142838,4158910,10000933,16952250,726653,214286,1000000,520217,0.97142786
21,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,903130.0,8934.0,422247,41.825,0.02475,1.785,19.99,16.0,20.002,648004,2144872,4163429,10000937,16957242,726002,214596,1000000,520421,0.9710706
22,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,871689.0,8493.0,243091,41.872,0.02117,1.782,20.015,16.001,19.991,647965,2148455,4158388,9995590,16950398,727215,214689,1000000,519765,0.9717321
