,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953442.0,2470.0,769405,26.781,0.03456,3.884,19.992,15.991,20.005,1898524,3448630,3739250,10002405,19088809,977638,344998,1000000,467669,0.8044094
1,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,963532.0,2465.0,783422,26.788,0.03967,3.886,20.008,16.004,20.006,1900047,3448194,3739181,10002853,19090275,977922,344680,1000000,467293,0.80431
2,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,951982.0,2428.0,347503,26.776,0.03388,3.897,20.003,16.012,19.998,1905276,3442263,3744186,9999123,19090848,977901,344182,1000000,467676,0.8043566
3,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,939483.0,2397.0,208563,26.774,0.02969,3.891,20.007,15.998,20.003,1902121,3440190,3744535,10001489,19088335,977820,343905,1000000,468119,0.80465466
4,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,957347.0,2407.0,908438,26.778,0.03627,3.889,19.992,15.995,20.003,1901084,3441360,3740005,10001472,19083921,977646,344279,1000000,467641,0.80468166
5,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,962461.0,2424.0,831898,26.727,0.03922,3.887,20.009,16.003,20.003,1899980,3454725,3735949,10001699,19092353,977691,345322,1000000,466900,0.80365616
6,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,956119.0,2351.0,159868,26.765,0.03578,3.9,19.999,16.007,19.997,1906988,3448415,3741056,9998511,19094970,977968,344862,1000000,467430,0.8042657
7,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,960525.0,2419.0,412313,26.783,0.03817,3.893,19.996,15.991,19.992,1903590,3444076,3737413,9996187,19081266,977988,344483,1000000,467426,0.8043078
8,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,933481.0,2360.0,964186,26.79,0.02792,3.899,19.996,15.997,20.001,1906186,3442614,3744733,10000302,19093835,977842,344329,1000000,468182,0.8046728
9,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,964294.0,2529.0,18473,26.765,0.04032,3.886,20.008,15.997,20.005,1899484,3447472,3741106,10002565,19090627,977486,344602,1000000,467717,0.8041406
10,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,967616.0,2392.0,507553,26.776,0.0424,3.896,19.994,15.99,20.003,1904683,3442439,3744594,10001585,19093301,977659,344353,1000000,468379,0.8043514
11,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,957987.0,2458.0,178668,26.763,0.0369,3.897,20.011,16.005,20.0,1904854,3449403,3733350,9999873,19087480,977519,344754,1000000,466532,0.8041147
12,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,956762.0,2449.0,406012,26.787,0.03613,3.885,20.006,15.991,19.998,1899325,3444209,3738017,9999200,19080751,977651,344314,1000000,467514,0.80464333
13,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953169.0,2437.0,638688,26.749,0.03446,3.89,20.007,15.999,19.999,1901258,3446794,3738296,9999685,19086033,977536,344555,1000000,467330,0.8039003
14,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954028.0,2393.0,998154,26.795,0.03469,3.896,20.005,16.001,19.999,1904644,3443660,3746275,9999307,19093886,977761,344283,1000000,468264,0.8046591
15,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,965682.0,2486.0,241354,26.775,0.04115,3.891,20.001,16.011,19.997,1902625,3445474,3740403,9998659,19087161,977934,344533,1000000,467243,0.8042502
16,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954798.0,2394.0,958543,26.77,0.03534,3.889,20.011,16.002,20.001,1901021,3438939,3749136,10000508,19089604,977562,343708,1000000,468587,0.8043665
17,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,942969.0,2419.0,423798,26.807,0.03071,3.896,20.003,15.995,19.995,1903956,3433682,3749880,9997288,19084806,977475,343315,1000000,468888,0.804922
18,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954910.0,2412.0,456174,26.785,0.03525,3.891,20.008,16.001,19.998,1901852,3443312,3744121,9998945,19088230,977638,344191,1000000,467991,0.8044419
19,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,961201.0,2485.0,691983,26.792,0.03841,3.887,20.0,16.011,19.998,1900320,3444690,3747706,9999066,19091782,977788,344465,1000000,468148,0.80485195
20,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953038.0,2432.0,171270,26.767,0.03438,3.891,19.995,15.997,20.0,1901699,3445531,3735896,10000125,19083251,977547,344637,1000000,467079,0.804011
21,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953262.0,2436.0,422082,26.789,0.03435,3.892,19.999,15.991,20.0,1902662,3449887,3732898,9999976,19085423,977637,345014,1000000,466880,0.8043285
22,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,946559.0,2425.0,561700,26.792,0.03173,3.896,19.991,16.007,20.001,1904270,3438981,3749838,10000572,19093661,977498,344055,1000000,468533,0.8044895
23,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,966091.0,2444.0,17249,26.787,0.04134,3.888,20.006,15.992,19.998,1900506,3441714,3746263,9998892,19087375,977566,344070,1000000,468503,0.80439097
24,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,952680.0,2469.0,901733,26.78,0.03417,3.894,20.002,16.008,20.0,1903797,3453027,3738597,10000140,19095561,977756,345260,1000000,467087,0.80428517
25,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,938956.0,2362.0,762487,26.79,0.02949,3.895,20.003,15.994,20.003,1903933,3436079,3743620,10001587,19085219,977608,343548,1000000,468114,0.8044009
26,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,959584.0,2511.0,23844,26.743,0.03741,3.893,20.002,16.0,19.995,1902917,3447205,3740130,9997515,19087767,977560,344689,1000000,467505,0.8039362
