,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,851391.0,1072.0,572493,22.502,0.01748,5.266,20.002,15.993,20.004,2619015,4005731,3094323,10002021,19721090,994708,400536,1000000,386951,0.73492724
1,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,838740.0,1049.0,425006,22.532,0.01657,5.277,20.005,16.005,20.0,2623954,4001317,3097799,10000124,19723194,994580,400036,1000000,387097,0.7354625
2,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,817061.0,1080.0,15714,22.515,0.01534,5.269,19.995,15.996,19.995,2620773,4008097,3091427,9997263,19717560,994710,400905,1000000,386532,0.73548585
3,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,869061.0,1075.0,726849,22.496,0.01888,5.273,20.013,16.0,19.991,2622561,4009077,3089455,9995676,19716769,994807,400653,1000000,386172,0.7349183
4,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,845358.0,1082.0,249059,22.483,0.01695,5.289,20.009,16.002,20.009,2630681,4009771,3095741,10004416,19740609,994736,400802,1000000,386925,0.7350517
5,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,752518.0,1002.0,966251,22.477,0.01279,5.269,19.989,15.992,19.99,2620374,3996449,3089312,9994808,19700943,994656,399858,1000000,386357,0.7345418
6,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,711611.0,945.0,148611,22.503,0.01163,5.275,20.003,15.999,19.997,2623545,4000155,3097891,9998432,19720023,994783,399956,1000000,387262,0.7353605
7,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,746833.0,1000.0,735941,22.545,0.01259,5.287,20.003,15.998,19.992,2629150,4006076,3094577,9996235,19726038,994599,400541,1000000,386873,0.7357164
8,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,861214.0,1060.0,770854,22.491,0.01813,5.278,19.982,16.008,20.007,2625469,3996005,3102082,10003732,19727288,994780,399957,1000000,387558,0.73542833
9,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,671352.0,924.0,606515,22.513,0.01075,5.282,20.0,16.004,20.007,2627258,3999722,3094040,10003374,19724394,994719,399981,1000000,386656,0.73521656
10,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,878112.0,1124.0,19030,22.493,0.01955,5.28,20.0,16.008,19.998,2625946,4005767,3093297,9999021,19724031,994770,400584,1000000,386476,0.7351764
11,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,831814.0,1058.0,90253,22.485,0.01618,5.282,20.002,16.002,19.998,2627271,4001553,3095747,9999073,19723644,994719,400110,1000000,386918,0.73532975
12,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,682223.0,914.0,478911,22.52,0.01099,5.271,20.003,15.989,19.998,2621855,3993497,3095884,9999132,19710368,994839,399287,1000000,387254,0.73530525
13,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,851511.0,1090.0,991267,22.52,0.01732,5.277,20.011,15.994,19.994,2624662,4009936,3095098,9996995,19726691,994720,400771,1000000,387043,0.7356977
