,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,935425.0,3281.0,420754,30.877,0.02976,2.975,19.997,16.003,19.997,1396483,2972540,4111845,9998683,18479551,938790,297296,1000000,513875,0.8508655
1,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,934927.0,3148.0,510001,30.879,0.0295,2.977,20.019,16.004,19.992,1397111,2973844,4120278,9996007,18487240,938480,297103,1000000,514918,0.85079944
2,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,918377.0,3250.0,622245,30.894,0.02575,2.977,19.996,15.999,20.002,1397135,2967694,4119399,10000826,18485054,938511,296828,1000000,514950,0.8512004
3,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,923380.0,3135.0,927623,30.883,0.02679,2.98,20.002,16.001,19.99,1399298,2968097,4115464,9994947,18477806,939229,296778,1000000,514406,0.8508459
4,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,946073.0,3377.0,978508,30.914,0.03304,2.976,19.991,16.005,20.0,1397746,2967139,4121546,10000003,18486434,939389,296841,1000000,515040,0.85129833
5,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,931311.0,3145.0,169476,30.906,0.02862,2.975,19.994,15.992,20.001,1396331,2965858,4115636,10000661,18478486,938677,296672,1000000,514721,0.8513195
6,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,922848.0,3318.0,510010,30.904,0.02641,2.986,20.014,16.004,19.999,1401576,2975584,4114615,9999605,18491380,938839,297351,1000000,514198,0.8510755
7,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,945367.0,3302.0,256868,30.904,0.03263,2.978,20.003,16.005,19.999,1398527,2968186,4118950,9999359,18485022,939360,296775,1000000,514710,0.8517504
8,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,944085.0,3386.0,656476,30.916,0.03234,2.981,20.003,15.992,19.999,1399692,2960592,4122723,9999626,18482633,939051,296017,1000000,515605,0.8514414
9,guyana,1000000,1000,2020-01-01,2020-12-31,hybrid,944206.0,3316.0,937108,30.888,0.03238,2.976,20.001,15.999,20.003,1397207,2974393,4114860,10001271,18487731,938846,297424,1000000,514388,0.85089827
