,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,729712.0,1781.0,254011,27.634,0.01286,3.417,19.993,16.003,19.99,1645779,3293501,3877004,9995046,18811330,963297,329462,1000000,484536,0.8129388
1,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,756565.0,1860.0,800022,27.628,0.01363,3.425,19.994,16.004,20.001,1648628,3288302,3880233,10000480,18817643,962753,328926,1000000,484913,0.8131263
2,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,762747.0,1886.0,784662,27.651,0.01386,3.422,19.993,16.0,20.004,1647279,3285884,3880686,10002068,18815917,962842,328698,1000000,485076,0.8134383
3,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,789331.0,1942.0,83824,27.652,0.01481,3.424,20.002,16.01,20.001,1648662,3293213,3881618,10000583,18824076,962878,329294,1000000,484903,0.8134188
4,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,797320.0,1948.0,80959,27.595,0.0152,3.424,19.981,16.002,20.002,1647816,3297615,3867773,10000965,18814169,962640,330069,1000000,483397,0.812216
5,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,718668.0,1761.0,817670,27.621,0.01246,3.424,20.003,15.992,19.995,1648621,3296885,3878404,9997353,18821263,963046,329645,1000000,485033,0.81297606
6,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,680696.0,1720.0,800580,27.627,0.0116,3.42,19.997,15.986,19.995,1646469,3295657,3867872,9997719,18807717,962987,329622,1000000,483911,0.81285304
7,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,843438.0,2000.0,993169,27.637,0.01772,3.414,20.001,16.009,20.007,1644119,3301890,3876776,10003269,18826054,963182,330165,1000000,484317,0.81336755
8,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,778767.0,1825.0,381554,27.65,0.01441,3.425,19.996,15.989,19.998,1649233,3292256,3873508,9998783,18813780,963110,329290,1000000,484529,0.8132867
9,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,806007.0,1961.0,561061,27.656,0.01559,3.421,20.008,15.999,19.999,1647012,3290908,3883106,9999748,18820774,962893,328953,1000000,485415,0.81353676
10,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,774212.0,1840.0,775052,27.659,0.01426,3.417,20.012,16.009,20.0,1645112,3295330,3877394,9999886,18817722,962782,329339,1000000,484415,0.81327
11,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,563144.0,1344.0,85463,27.625,0.00962,3.426,19.988,16.005,20.0,1650382,3298819,3873539,10000170,18822910,963344,330077,1000000,484034,0.81299067
