,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,670812.0,1777.0,661168,27.984,0.01097,3.578,20.0,16.0,19.993,1733123,3277321,3983526,9996358,18990328,968843,327726,1000000,497949,0.82284224
1,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,746977.0,1968.0,670807,27.95,0.01275,3.578,20.006,16.004,20.003,1733169,3281160,3989398,10001672,19005399,968790,328013,1000000,498542,0.82264704
2,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,885460.0,2299.0,334162,27.95,0.02014,3.582,19.999,15.993,20.0,1735236,3276672,3986267,9999974,18998149,968911,327677,1000000,498509,0.82257533
3,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,897701.0,2311.0,953640,27.944,0.02165,3.577,19.989,16.006,19.992,1732711,3279387,3982446,9996091,18990635,968711,328114,1000000,497633,0.82234704
4,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,884337.0,2199.0,793683,27.929,0.02006,3.581,20.001,15.998,19.998,1734707,3286856,3976134,9999020,18996717,968822,328668,1000000,497071,0.8221225
5,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,547638.0,1418.0,708789,27.954,0.00908,3.574,19.994,16.003,20.004,1731188,3269570,3990616,10001800,18993174,968663,327049,1000000,498737,0.8225354
6,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,791194.0,1998.0,803288,27.937,0.01428,3.581,20.002,16.005,20.002,1734458,3282995,3983778,10001037,19002268,968783,328268,1000000,497821,0.82225317
7,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,772954.0,2072.0,740887,28.002,0.01355,3.588,20.005,16.001,20.001,1738530,3273503,3995501,10000327,19007861,969052,327272,1000000,499407,0.8232138
8,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,733990.0,1931.0,426664,27.944,0.01246,3.579,19.991,15.991,19.996,1733611,3283736,3978205,9997971,18993523,968863,328515,1000000,497545,0.8225872
9,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,731584.0,1915.0,857312,27.927,0.01232,3.571,19.99,16.002,20.001,1729395,3282222,3980001,10000566,18992184,968693,328393,1000000,497448,0.82218885
