,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,877629.0,7954.0,606032,43.122,0.01969,2.005,19.987,15.991,19.999,800354,1617452,4653127,9999593,17070526,798258,161849,1000000,581966,0.99948156
1,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,704992.0,6158.0,116986,43.103,0.01229,2.008,20.0,15.994,20.001,801968,1623356,4652353,10000330,17078007,798692,162337,1000000,581773,0.99927974
2,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,852012.0,7455.0,563110,43.087,0.01779,2.003,19.995,16.007,20.002,799772,1622224,4655960,10000859,17078815,798451,162260,1000000,581751,0.9986826
3,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,769137.0,6701.0,522330,43.107,0.01398,2.009,19.998,16.0,19.997,801671,1620769,4659948,9998474,17080862,798054,162095,1000000,582496,0.9990442
4,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,607666.0,5109.0,703689,43.105,0.0105,2.001,19.997,16.002,20.004,799011,1624887,4657113,10001924,17082935,798637,162513,1000000,582063,0.9994111
5,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,729108.0,6268.0,207452,43.155,0.01283,2.006,19.98,16.005,19.995,801614,1614248,4658723,9997517,17072102,799124,161588,1000000,582170,0.99957514
6,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,887539.0,8014.0,630228,43.143,0.02059,2.006,20.019,15.995,19.999,801375,1622066,4648402,9999440,17071283,799113,162054,1000000,581249,0.99955106
7,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,803877.0,7066.0,539565,43.108,0.01532,2.007,19.994,15.999,20.0,801421,1620605,4651595,10000079,17073700,798667,162113,1000000,581495,0.9990779
8,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,762046.0,6625.0,168883,43.137,0.01381,2.004,19.995,16.007,19.999,799993,1619238,4662615,9999685,17081531,798313,161966,1000000,582583,0.99942654
9,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,814688.0,7153.0,400442,43.142,0.0158,2.008,19.991,15.997,20.006,801758,1614656,4659910,10002791,17079115,798699,161540,1000000,582611,0.99969995
10,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,741196.0,6429.0,130588,43.112,0.01322,2.008,19.986,15.999,19.996,801802,1617097,4656307,9998131,17073337,798658,161819,1000000,582077,0.99905026
11,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,864727.0,7523.0,802458,43.112,0.01869,2.004,20.01,16.004,20.002,801155,1620254,4660322,10000953,17082684,799504,161948,1000000,582394,0.9992069
12,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,863399.0,7809.0,275685,43.13,0.01851,2.002,20.002,15.992,20.005,799317,1611837,4657202,10002471,17070827,798421,161169,1000000,582429,0.99965245
13,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,655861.0,5596.0,295108,43.178,0.01128,2.01,19.997,16.007,20.0,803670,1612338,4657907,10000012,17073927,799572,161254,1000000,581990,1.000142
14,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,794985.0,6985.0,805660,43.155,0.01491,2.008,19.995,16.004,19.996,801980,1614084,4660151,9998173,17074388,798685,161448,1000000,582388,0.99981505
15,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,909822.0,8269.0,953078,43.09,0.02324,2.004,20.013,16.006,19.995,799981,1623645,4654969,9997290,17075885,798361,162256,1000000,581650,0.99904275
16,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,833762.0,7320.0,224747,43.115,0.01673,2.005,19.99,16.002,19.999,800613,1623045,4657554,9999518,17080730,798486,162386,1000000,582104,0.9992107
