,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,india,1000000,1000,2020-01-01,2020-12-31,hybrid,969402.0,2729.0,861882,31.154,0.03866,3.678,20.01,16.006,20.0,1787539,2850117,4350220,10000110,18987986,972017,284868,1000000,543557,0.86034137
1,india,1000000,1000,2020-01-01,2020-12-31,hybrid,966673.0,2763.0,240503,31.144,0.03684,3.678,20.017,16.001,19.997,1787062,2859950,4344660,9998413,18990085,971820,285755,1000000,543042,0.8603213
2,india,1000000,1000,2020-01-01,2020-12-31,hybrid,967983.0,2721.0,270180,31.142,0.03763,3.677,20.002,16.0,19.993,1786414,2860904,4339771,9996606,18983695,971777,286056,1000000,542466,0.8605291
3,india,1000000,1000,2020-01-01,2020-12-31,hybrid,971466.0,2743.0,141821,31.118,0.04045,3.675,20.003,16.005,19.999,1785586,2862061,4340677,9999729,18988053,971744,286167,1000000,542415,0.8602958
4,india,1000000,1000,2020-01-01,2020-12-31,hybrid,959319.0,2736.0,743646,31.129,0.03308,3.672,20.007,15.994,19.993,1784243,2862528,4334130,9996731,18977632,971766,286158,1000000,541954,0.8601306
5,india,1000000,1000,2020-01-01,2020-12-31,hybrid,966598.0,2753.0,861328,31.169,0.03691,3.68,20.008,16.004,20.004,1788474,2854214,4345156,10002025,18989869,971969,285310,1000000,543024,0.8608604
6,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960824.0,2649.0,217155,31.195,0.03377,3.658,19.998,16.013,20.003,1777761,2850501,4346862,10001304,18976428,971871,285082,1000000,542905,0.8608719
7,india,1000000,1000,2020-01-01,2020-12-31,hybrid,965277.0,2742.0,806793,31.098,0.03614,3.675,19.999,15.99,20.003,1785901,2862585,4335378,10001698,18985562,971962,286272,1000000,542264,0.8597364
8,india,1000000,1000,2020-01-01,2020-12-31,hybrid,956040.0,2798.0,639042,31.147,0.03173,3.679,20.001,15.99,19.994,1787652,2850078,4345763,9997182,18980675,971910,284991,1000000,543558,0.8606293
9,india,1000000,1000,2020-01-01,2020-12-31,hybrid,956857.0,2688.0,460235,31.147,0.03194,3.669,20.009,15.997,20.006,1783249,2853188,4348121,10003087,18987645,971993,285185,1000000,543633,0.860673
10,india,1000000,1000,2020-01-01,2020-12-31,hybrid,959455.0,2779.0,636445,31.124,0.03307,3.672,19.998,16.005,20.01,1783974,2857693,4341213,10004908,18987788,971785,285792,1000000,542484,0.86020494
11,india,1000000,1000,2020-01-01,2020-12-31,hybrid,972128.0,2774.0,207453,31.142,0.04074,3.672,19.996,16.001,20.004,1784207,2855699,4343716,10002084,18985706,971861,285620,1000000,542924,0.86036134
12,india,1000000,1000,2020-01-01,2020-12-31,hybrid,958366.0,2628.0,13345,31.165,0.03251,3.671,20.0,15.988,19.999,1784067,2853451,4338625,9999460,18975603,971963,285344,1000000,542744,0.8605739
13,india,1000000,1000,2020-01-01,2020-12-31,hybrid,968058.0,2856.0,183848,31.127,0.0378,3.671,20.014,16.0,19.994,1783883,2853552,4343559,9996800,18977794,971962,285161,1000000,542935,0.860262
14,india,1000000,1000,2020-01-01,2020-12-31,hybrid,962704.0,2752.0,109215,31.157,0.03466,3.674,20.02,15.999,20.009,1784991,2854121,4346374,10004712,18990198,971809,285121,1000000,543324,0.8606001
15,india,1000000,1000,2020-01-01,2020-12-31,hybrid,953020.0,2745.0,336837,31.151,0.03059,3.672,19.997,15.996,20.003,1785051,2852398,4337300,10001638,18976387,972240,285277,1000000,542304,0.8604418
16,india,1000000,1000,2020-01-01,2020-12-31,hybrid,969719.0,2752.0,795533,31.135,0.03894,3.673,19.991,15.995,20.003,1784671,2857100,4338632,10001677,18982080,971752,285838,1000000,542492,0.8603696
17,india,1000000,1000,2020-01-01,2020-12-31,hybrid,967216.0,2708.0,640969,31.159,0.03731,3.675,20.001,16.006,20.0,1784818,2856237,4341729,9999928,18982712,971375,285610,1000000,542522,0.86053205
18,india,1000000,1000,2020-01-01,2020-12-31,hybrid,953397.0,2810.0,771034,31.174,0.0305,3.672,19.996,15.991,20.0,1784857,2851958,4336563,9999910,18973288,972048,285246,1000000,542370,0.860609
19,india,1000000,1000,2020-01-01,2020-12-31,hybrid,965847.0,2725.0,791972,31.188,0.03633,3.675,20.003,16.002,19.999,1785579,2854292,4345000,9999682,18984553,971837,285383,1000000,543045,0.8609957
20,india,1000000,1000,2020-01-01,2020-12-31,hybrid,953434.0,2770.0,629959,31.162,0.03053,3.679,19.998,15.991,19.997,1787509,2861621,4339271,9998533,18986934,971733,286195,1000000,542723,0.8606389
21,india,1000000,1000,2020-01-01,2020-12-31,hybrid,968561.0,2774.0,558595,31.157,0.0379,3.676,19.996,15.997,20.005,1786520,2858347,4340520,10002589,18987976,971935,285899,1000000,542668,0.86072236
22,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960819.0,2737.0,461843,31.184,0.03355,3.684,19.997,16.001,20.002,1789978,2857457,4344180,10001042,18992657,971843,285782,1000000,542973,0.861044
23,india,1000000,1000,2020-01-01,2020-12-31,hybrid,946365.0,2744.0,62198,31.12,0.02817,3.683,20.011,15.994,20.004,1789880,2859698,4338548,10002159,18990285,971943,285816,1000000,542522,0.85996586
24,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960666.0,2859.0,969675,31.13,0.0336,3.673,19.998,15.995,20.01,1785352,2844565,4347473,10004914,18982304,972136,284484,1000000,543608,0.8603022
25,india,1000000,1000,2020-01-01,2020-12-31,hybrid,954909.0,2602.0,419484,31.151,0.03098,3.673,19.994,15.999,19.997,1784692,2855381,4341618,9998410,18980101,971760,285618,1000000,542738,0.8603099
26,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960239.0,2635.0,431783,31.155,0.03326,3.678,20.015,16.003,20.003,1787754,2853169,4345801,10001732,18988456,972058,285104,1000000,543115,0.8601944
27,india,1000000,1000,2020-01-01,2020-12-31,hybrid,967928.0,2750.0,456698,31.148,0.03782,3.665,20.013,15.995,19.999,1781265,2859806,4337637,9999309,18978017,971966,285795,1000000,542373,0.8602637
28,india,1000000,1000,2020-01-01,2020-12-31,hybrid,950211.0,2681.0,787412,31.162,0.02937,3.673,19.995,16.006,20.006,1784654,2852160,4349674,10002771,18989259,971838,285289,1000000,543504,0.86072445
29,india,1000000,1000,2020-01-01,2020-12-31,hybrid,952472.0,2760.0,938409,31.135,0.03012,3.685,20.002,15.997,20.003,1790611,2854549,4345707,10001700,18992567,971958,285429,1000000,543332,0.86041355
