,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,871846.0,2430.0,674761,31.775,0.01903,3.028,20.006,15.999,19.998,1427110,2716088,4436209,9998926,18578333,942521,271524,1000000,554573,0.8608945
1,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,843129.0,2408.0,431,31.838,0.01693,3.032,20.004,16.0,20.003,1430225,2707133,4439772,10001304,18578434,943321,270664,1000000,554968,0.8613834
2,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,888225.0,2503.0,876109,31.789,0.02063,3.033,20.003,16.003,19.993,1428982,2711859,4442168,9996452,18579461,942374,271142,1000000,555169,0.86083776
3,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,245918.0,703.0,257629,31.799,0.00671,3.03,19.996,16.006,19.999,1428024,2706031,4444846,9999633,18578534,942712,270663,1000000,555385,0.86106366
4,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,863016.0,2450.0,967506,31.758,0.01841,3.031,19.993,15.992,19.999,1428737,2723242,4426856,9999289,18578124,942795,272425,1000000,553637,0.86025214
5,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,858268.0,2453.0,848489,31.817,0.01789,3.032,19.998,16.001,19.997,1428110,2713699,4439759,9998403,18579971,942081,271403,1000000,554922,0.8610271
6,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,883165.0,2508.0,943004,31.769,0.02,3.028,19.992,16.012,19.999,1427969,2711899,4441479,9999540,18580887,943091,271293,1000000,554786,0.8608792
7,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,830735.0,2343.0,854912,31.832,0.01625,3.033,20.006,16.007,20.003,1429481,2710972,4441610,10001543,18583606,942743,271019,1000000,554967,0.8614692
8,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,860253.0,2388.0,419428,31.818,0.01812,3.032,20.001,16.002,20.006,1429328,2709179,4445617,10002984,18587108,942767,270907,1000000,555643,0.86116415
9,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,768956.0,2246.0,359169,31.817,0.01355,3.034,19.998,15.996,19.997,1429534,2717662,4438060,9998608,18583864,942463,271796,1000000,554881,0.8612226
10,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,756513.0,2116.0,980119,31.749,0.01318,3.025,20.01,16.004,19.998,1425451,2716625,4440012,9998933,18581021,942341,271520,1000000,554856,0.86031556
11,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,861222.0,2447.0,181214,31.781,0.01821,3.031,19.989,16.004,19.999,1428341,2705796,4444205,9999323,18577665,942630,270728,1000000,555393,0.8608905
12,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,897746.0,2474.0,667464,31.825,0.0216,3.042,20.019,16.007,19.996,1433821,2710142,4445150,9998132,18587245,942745,270754,1000000,555414,0.86150646
13,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,860671.0,2496.0,168805,31.819,0.0181,3.034,20.013,16.005,20.006,1430260,2713213,4442752,10002803,18589028,942918,271150,1000000,555176,0.8612901
14,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,896949.0,2546.0,905094,31.783,0.02151,3.039,19.994,15.996,20.004,1432318,2713803,4433887,10002081,18582089,942593,271459,1000000,554383,0.8607607
15,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,902009.0,2465.0,171353,31.788,0.02222,3.038,19.999,15.992,19.994,1432046,2714459,4432092,9997022,18575619,942754,271465,1000000,554283,0.86075497
16,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,793574.0,2172.0,66305,31.792,0.01442,3.034,20.009,15.999,20.009,1430080,2715780,4441893,10004508,18592261,942569,271453,1000000,555260,0.8610864
17,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,844791.0,2346.0,37119,31.817,0.01702,3.033,20.005,16.007,20.002,1428968,2705372,4443130,10000985,18578455,942416,270476,1000000,555155,0.86113435
18,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,772869.0,2223.0,484900,31.835,0.01368,3.034,19.995,15.987,19.994,1430049,2706420,4437824,9997003,18571296,942613,270707,1000000,555163,0.8615002
19,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,810586.0,2274.0,58179,31.77,0.01525,3.035,20.005,16.0,19.994,1430378,2723510,4431677,9996884,18582449,942697,272281,1000000,553953,0.86085224
20,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,925321.0,2572.0,838130,31.802,0.02591,3.036,20.001,15.997,20.0,1430248,2706836,4444232,9999977,18581293,942277,270674,1000000,555619,0.86107934
21,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,795208.0,2278.0,492186,31.817,0.01457,3.027,20.006,16.001,19.988,1426929,2718602,4435583,9993922,18575036,942818,271778,1000000,554412,0.8613048
22,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,729389.0,2095.0,841408,31.823,0.01244,3.035,20.007,15.999,20.001,1430894,2709120,4442530,10000739,18583283,943066,270823,1000000,555351,0.86155057
23,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,823503.0,2306.0,161008,31.841,0.01575,3.04,19.991,15.994,19.999,1433156,2710316,4438488,9999663,18581623,942748,271149,1000000,555007,0.8615461
24,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,716559.0,2026.0,98348,31.786,0.0121,3.031,19.99,16.005,19.997,1429136,2707909,4444047,9998375,18579467,942891,270921,1000000,555334,0.8608846
25,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,850730.0,2358.0,349732,31.793,0.01734,3.034,19.998,16.001,20.003,1430179,2716522,4439317,10001747,18587765,942850,271674,1000000,554897,0.8612038
